Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Асиновский район																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260					
		64.59%	72.22%	64.66%	60.78%	61.07%	62.09%	62.59%	66.89%	62.20%	60.39%	64.35%	62.36%	64.10%	60.29%	63.85%	67.54%	64.61%	73.47%	64.26%	73.13%	88.79%	85.31%	66.85%	65.14%	78.23%	55.18%	48.39%	74.18%	65.45%	64.40%	62.93%	85.84%	78.64%	84.40%	71.23%	67.92%	68.72%	58.00%	74.94%	62.96%	51.76%					
22	. Хакамада Ирина Муцуовна	598	5	43	27	28	16	52	11	11	51	33	29	19	29	21	21	12	1	24	22	4	3	15	5	5	10	2	6	34	16	5	1	1	0	7	2	5	1	11	9	1					
		3.38%	2.31%	3.64%	3.38%	3.26%	3.72%	5.13%	3.75%	1.78%	5.52%	4.88%	3.71%	2.93%	3.80%	2.19%	5.01%	1.76%	1.02%	5.11%	4.10%	3.74%	2.10%	4.11%	2.86%	2.02%	1.62%	0.81%	2.82%	4.59%	4.95%	2.16%	0.88%	0.97%	0.00%	4.79%	1.89%	1.40%	1.00%	2.65%	3.33%	0.50%					
23	. Харитонов Николай Михайлович	3812	29	258	180	188	115	213	57	162	214	143	179	145	197	218	79	180	6	78	54	4	5	89	35	34	226	105	34	128	63	55	4	7	9	23	14	77	30	50	53	72					
		21.54%	13.43%	21.86%	22.56%	21.91%	26.74%	21.03%	19.45%	26.17%	23.16%	21.15%	22.92%	22.34%	25.82%	22.71%	18.85%	26.43%	6.12%	16.60%	10.07%	3.74%	3.50%	24.38%	20.00%	13.71%	36.57%	42.34%	15.96%	17.27%	19.50%	23.71%	3.54%	6.80%	8.26%	15.75%	13.21%	21.51%	30.00%	12.05%	19.63%	36.18%					
																																															
24	Против всех	563	11	40	39	47	8	44	10	25	34	34	27	17	27	31	8	11	5	7	18	3	0	3	8	1	6	6	0	36	10	4	3	4	0	5	1	8	2	5	5	10					
		3.18%	5.09%	3.39%	4.89%	5.48%	1.86%	4.34%	3.41%	4.04%	3.68%	5.03%	3.46%	2.62%	3.54%	3.23%	1.91%	1.62%	5.10%	1.49%	3.36%	2.80%	0.00%	0.82%	4.57%	0.40%	0.97%	2.42%	0.00%	4.86%	3.10%	1.72%	2.65%	3.88%	0.00%	3.42%	0.94%	2.23%	2.00%	1.20%	1.85%	5.03%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
