Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Алексеевская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618					
		1.81%	1.98%	1.35%	2.00%	1.65%	0.93%	1.42%	5.45%	2.49%	1.53%	2.23%	5.34%	2.21%	0.80%	0.70%	2.63%	3.10%	2.26%	1.27%	1.60%	2.67%	0.00%	3.70%	1.52%	1.96%	0.00%	1.18%	0.00%	0.00%	1.52%	0.00%					
20	. Миронов Сергей Михайлович	61	9	5	4	3	0	1	1	3	0	2	0	0	0	0	0	5	3	8	1	1	1	2	4	1	0	7	0	0	0	0					
		0.56%	0.81%	0.42%	0.61%	0.83%	0.00%	0.28%	0.61%	0.83%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.75%	0.64%	0.32%	0.21%	1.27%	1.85%	1.52%	0.28%	0.00%	1.38%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	7538	751	800	446	264	83	249	109	263	111	180	161	239	169	503	42	378	303	866	177	344	61	79	172	253	29	333	46	60	44	23					
		69.77%	67.48%	67.45%	68.51%	72.73%	76.85%	70.54%	66.06%	72.65%	84.73%	66.91%	78.16%	75.39%	67.60%	70.06%	55.26%	78.10%	75.94%	68.95%	56.55%	70.64%	77.22%	73.15%	65.40%	70.67%	63.04%	65.68%	88.46%	65.22%	66.67%	88.46%					
22	. Хакамада Ирина Муцуовна	174	29	15	13	6	0	5	5	4	2	8	2	2	2	10	0	9	4	21	6	9	1	0	4	11	1	5	0	0	0	0					
		1.61%	2.61%	1.26%	2.00%	1.65%	0.00%	1.42%	3.03%	1.10%	1.53%	2.97%	0.97%	0.63%	0.80%	1.39%	0.00%	1.86%	1.00%	1.67%	1.92%	1.85%	1.27%	0.00%	1.52%	3.07%	2.17%	0.99%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	2378	233	296	162	68	18	75	38	57	13	61	28	62	67	174	29	65	70	274	101	107	15	22	69	68	16	136	2	31	18	3					
		22.01%	20.93%	24.96%	24.88%	18.73%	16.67%	21.25%	23.03%	15.75%	9.92%	22.68%	13.59%	19.56%	26.80%	24.23%	38.16%	13.43%	17.54%	21.82%	32.27%	21.97%	18.99%	20.37%	26.24%	18.99%	34.78%	26.82%	3.85%	33.70%	27.27%	11.54%					
																																					
24	Против всех	116	21	19	1	4	0	6	1	3	0	4	1	2	1	4	1	4	2	23	5	1	1	0	1	6	0	4	0	0	1	0					
		1.07%	1.89%	1.60%	0.15%	1.10%	0.00%	1.70%	0.61%	0.83%	0.00%	1.49%	0.49%	0.63%	0.40%	0.56%	1.32%	0.83%	0.50%	1.83%	1.60%	0.21%	1.27%	0.00%	0.38%	1.68%	0.00%	0.79%	0.00%	0.00%	1.52%	0.00%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
