Выборы Президента Российской Федерации																																																									
																																																									
"Наименование Избирательной комиссии:    Владимир, Ленинская"																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390					
15	"Число открепительных удостоверений, выданных в ТИК"	47	0	0	0	4	4	2	0	0	0	2	0	0	2	0	2	1	2	2	0	2	0	1	1	2	1	1	2	2	3	1	1	2	0	0	0	1	0	0	0	0	2	0	0	0	1	2	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	3729	23	123	39	109	134	68	58	97	88	92	76	67	95	97	114	104	111	104	111	83	64	74	96	75	90	143	51	97	85	95	61	48	24	52	14	91	40	45	40	64	97	68	5	91	53	36	80	107	32	18					
		6.00%	3.16%	8.53%	5.18%	7.99%	8.19%	7.29%	5.52%	7.05%	5.68%	5.56%	5.91%	5.62%	6.77%	7.20%	7.88%	7.12%	7.96%	6.97%	7.20%	6.15%	5.46%	5.14%	6.86%	5.04%	6.22%	8.58%	4.48%	6.05%	5.72%	5.90%	5.71%	4.41%	5.37%	5.56%	3.59%	6.19%	6.30%	4.82%	3.70%	4.78%	7.04%	5.09%	2.48%	3.33%	5.42%	3.31%	7.03%	6.73%	4.79%	2.39%					
19	. Малышкин Олег Александрович	1171	13	25	2	24	37	15	17	18	17	32	28	15	20	15	33	22	18	33	30	29	19	21	31	24	25	25	20	23	24	26	21	37	8	15	6	31	14	19	36	40	28	28	2	58	19	37	26	21	10	34					
		1.89%	1.79%	1.73%	0.27%	1.76%	2.26%	1.61%	1.62%	1.31%	1.10%	1.93%	2.18%	1.26%	1.43%	1.11%	2.28%	1.51%	1.29%	2.21%	1.95%	2.15%	1.62%	1.46%	2.21%	1.61%	1.73%	1.50%	1.76%	1.43%	1.61%	1.61%	1.97%	3.40%	1.79%	1.60%	1.54%	2.11%	2.20%	2.03%	3.33%	2.99%	2.03%	2.09%	0.99%	2.12%	1.94%	3.41%	2.28%	1.32%	1.50%	4.52%					
20	. Миронов Сергей Михайлович	603	7	13	8	14	19	12	9	14	17	23	12	13	15	23	15	16	6	7	14	16	12	15	17	9	19	20	8	15	12	16	8	8	5	7	9	13	4	7	13	10	14	11	2	14	12	17	14	12	3	4					
		0.97%	0.96%	0.90%	1.06%	1.03%	1.16%	1.29%	0.86%	1.02%	1.10%	1.39%	0.93%	1.09%	1.07%	1.71%	1.04%	1.10%	0.43%	0.47%	0.91%	1.19%	1.02%	1.04%	1.21%	0.60%	1.31%	1.20%	0.70%	0.94%	0.81%	0.99%	0.75%	0.74%	1.12%	0.75%	2.31%	0.88%	0.63%	0.75%	1.20%	0.75%	1.02%	0.82%	0.99%	0.51%	1.23%	1.57%	1.23%	0.76%	0.45%	0.53%					
21	. Путин Владимир Владимирович	41888	555	884	544	859	1056	618	740	918	999	1086	823	788	940	869	939	942	927	993	977	906	835	963	933	1021	956	1033	807	1104	959	1116	720	779	322	562	308	992	454	711	784	1009	907	912	167	2161	664	712	725	991	478	440					
		67.45%	76.24%	61.30%	72.24%	62.98%	64.51%	66.24%	70.48%	66.72%	64.45%	65.66%	64.05%	66.11%	67.00%	64.47%	64.94%	64.52%	66.45%	66.55%	63.40%	67.11%	71.18%	66.83%	66.64%	68.62%	66.02%	62.00%	70.91%	68.87%	64.49%	69.32%	67.42%	71.60%	72.04%	60.11%	78.97%	67.53%	71.50%	76.12%	72.46%	75.35%	65.82%	68.21%	82.67%	79.07%	67.96%	65.56%	63.71%	62.37%	71.56%	58.43%					
22	. Хакамада Ирина Муцуовна	3196	28	98	49	71	74	46	40	63	76	99	90	87	57	74	77	62	79	93	93	65	56	84	88	71	78	91	46	111	84	77	52	62	23	80	7	65	38	28	50	39	59	68	5	88	61	45	63	110	21	25					
		5.15%	3.85%	6.80%	6.51%	5.21%	4.52%	4.93%	3.81%	4.58%	4.90%	5.99%	7.00%	7.30%	4.06%	5.49%	5.33%	4.25%	5.66%	6.23%	6.04%	4.81%	4.77%	5.83%	6.29%	4.77%	5.39%	5.46%	4.04%	6.92%	5.65%	4.78%	4.87%	5.70%	5.15%	8.56%	1.79%	4.42%	5.98%	3.00%	4.62%	2.91%	4.28%	5.09%	2.48%	3.22%	6.24%	4.14%	5.54%	6.92%	3.14%	3.32%					
23	. Харитонов Николай Михайлович	7438	18	214	45	198	232	118	137	174	257	239	185	154	199	180	174	213	163	181	227	159	124	168	134	185	181	233	115	168	222	188	133	98	46	161	18	183	50	87	99	95	174	155	15	159	102	175	164	237	95	7					
		11.98%	2.47%	14.84%	5.98%	14.52%	14.17%	12.65%	13.05%	12.65%	16.58%	14.45%	14.40%	12.92%	14.18%	13.35%	12.03%	14.59%	11.68%	12.13%	14.73%	11.78%	10.57%	11.66%	9.57%	12.43%	12.50%	13.99%	10.11%	10.48%	14.93%	11.68%	12.45%	9.01%	10.29%	17.22%	4.62%	12.46%	7.87%	9.31%	9.15%	7.09%	12.63%	11.59%	7.43%	5.82%	10.44%	16.11%	14.41%	14.92%	14.22%	0.93%					
																																																									
24	Против всех	3451	80	70	64	73	74	47	40	82	87	72	55	60	67	77	78	72	80	69	75	83	61	104	84	80	84	103	73	75	87	82	55	50	15	51	6	81	28	28	44	65	86	86	4	157	50	51	55	100	26	175					
		5.56%	10.99%	4.85%	8.50%	5.35%	4.52%	5.04%	3.81%	5.96%	5.61%	4.35%	4.28%	5.03%	4.78%	5.71%	5.39%	4.93%	5.73%	4.62%	4.87%	6.15%	5.20%	7.22%	6.00%	5.38%	5.80%	6.18%	6.41%	4.68%	5.85%	5.09%	5.15%	4.60%	3.36%	5.45%	1.54%	5.51%	4.41%	3.00%	4.07%	4.85%	6.24%	6.43%	1.98%	5.74%	5.12%	4.70%	4.83%	6.29%	3.89%	23.24%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
