Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Сосновская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2498	УИК №2499					
11	Число полученных открепительных  удостоверений	340	15	15	15	15	15	15	15	15	15	5	5	15	5	5	5	5	15	5	5	5	5	5	5	5	5	5	5	5	5	15	5	15	10	15	5	15	5					
12	Число выданных открепительных удостоверений	109	14	4	10	5	8	5	7	1	7	2	1	2	0	0	1	0	8	0	0	1	0	1	0	2	0	0	1	1	0	6	0	2	0	7	0	13	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	5	2	1	8	9	4	6	8	2	3	3	1	1	1	0	0	0	0	2	1	1	1	2	2	1	0	1	3	1	2	2	1	0	0	0	2	1					
14	Число неиспользованных открепительных удостоверений	231	1	11	5	10	7	10	8	14	8	3	4	13	5	5	4	5	7	5	5	4	5	4	5	3	5	5	4	4	5	9	5	13	10	8	5	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	405	24	15	28	31	30	34	17	11	7	5	1	19	2	5	2	12	46	14	3	12	2	10	5	6	2	8	7	1	10	5	5	7	6	4	1	6	2					
		3.18%	3.23%	3.01%	3.50%	3.92%	4.77%	4.99%	2.88%	4.21%	1.24%	1.60%	1.20%	3.04%	0.83%	2.53%	1.55%	4.29%	5.75%	9.15%	2.03%	3.55%	1.16%	3.50%	3.52%	2.38%	1.74%	2.52%	4.00%	0.37%	9.43%	1.56%	5.81%	1.31%	2.75%	1.60%	0.87%	1.75%	1.36%					
19	. Малышкин Олег Александрович	331	18	12	21	17	16	25	24	7	18	6	0	14	1	3	2	13	21	1	2	6	4	9	6	7	2	10	11	11	1	9	2	13	2	1	0	11	5					
		2.60%	2.42%	2.41%	2.62%	2.15%	2.54%	3.67%	4.06%	2.68%	3.18%	1.92%	0.00%	2.24%	0.41%	1.52%	1.55%	4.64%	2.62%	0.65%	1.35%	1.78%	2.33%	3.15%	4.23%	2.78%	1.74%	3.15%	6.29%	4.09%	0.94%	2.81%	2.33%	2.43%	0.92%	0.40%	0.00%	3.21%	3.40%					
20	. Миронов Сергей Михайлович	92	9	3	1	7	2	4	4	4	1	4	0	7	1	0	1	3	8	0	2	0	0	2	1	5	0	0	6	0	0	0	2	2	1	4	0	4	4					
		0.72%	1.21%	0.60%	0.12%	0.88%	0.32%	0.59%	0.68%	1.53%	0.18%	1.28%	0.00%	1.12%	0.41%	0.00%	0.78%	1.07%	1.00%	0.00%	1.35%	0.00%	0.00%	0.70%	0.70%	1.98%	0.00%	0.00%	3.43%	0.00%	0.00%	0.00%	2.33%	0.37%	0.46%	1.60%	0.00%	1.17%	2.72%					
21	. Путин Владимир Владимирович	9081	510	317	570	579	419	471	421	182	439	245	67	484	199	142	110	204	513	130	87	240	125	208	98	152	84	226	89	206	77	176	67	458	183	170	89	238	106					
		71.40%	68.55%	63.65%	71.25%	73.20%	66.61%	69.06%	71.24%	69.73%	77.56%	78.27%	80.72%	77.44%	82.57%	71.72%	85.27%	72.86%	64.12%	84.97%	58.78%	71.01%	72.67%	72.73%	69.01%	60.32%	73.04%	71.29%	50.86%	76.58%	72.64%	55.00%	77.91%	85.45%	83.94%	68.00%	77.39%	69.39%	72.11%					
22	. Хакамада Ирина Муцуовна	191	12	10	15	10	16	8	5	5	7	5	0	6	1	2	2	1	19	0	5	9	1	5	3	2	2	4	3	5	2	7	2	4	2	5	2	4	0					
		1.50%	1.61%	2.01%	1.88%	1.26%	2.54%	1.17%	0.85%	1.92%	1.24%	1.60%	0.00%	0.96%	0.41%	1.01%	1.55%	0.36%	2.38%	0.00%	3.38%	2.66%	0.58%	1.75%	2.11%	0.79%	1.74%	1.26%	1.71%	1.86%	1.89%	2.19%	2.33%	0.75%	0.92%	2.00%	1.74%	1.17%	0.00%					
23	. Харитонов Николай Михайлович	2146	118	120	128	103	113	98	93	28	89	44	14	72	33	45	12	44	157	7	45	46	32	47	28	68	23	62	53	45	16	110	8	48	23	55	21	71	27					
		16.87%	15.86%	24.10%	16.00%	13.02%	17.97%	14.37%	15.74%	10.73%	15.72%	14.06%	16.87%	11.52%	13.69%	22.73%	9.30%	15.71%	19.62%	4.58%	30.41%	13.61%	18.60%	16.43%	19.72%	26.98%	20.00%	19.56%	30.29%	16.73%	15.09%	34.38%	9.30%	8.96%	10.55%	22.00%	18.26%	20.70%	18.37%					
																																												
24	Против всех	343	47	19	24	31	28	31	14	19	1	0	0	14	1	1	0	1	35	0	2	19	6	5	1	10	0	5	0	1	0	9	0	2	1	7	0	9	0					
		2.70%	6.32%	3.82%	3.00%	3.92%	4.45%	4.55%	2.37%	7.28%	0.18%	0.00%	0.00%	2.24%	0.41%	0.51%	0.00%	0.36%	4.38%	0.00%	1.35%	5.62%	3.49%	1.75%	0.70%	3.97%	0.00%	1.58%	0.00%	0.37%	0.00%	2.81%	0.00%	0.37%	0.46%	2.80%	0.00%	2.62%	0.00%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
