Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Борзинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420					
11	Число полученных открепительных  удостоверений	500	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	15	10	10	10	15	20	20	20	30	45	15					
12	Число выданных открепительных удостоверений	120	3	0	0	0	0	0	0	2	5	7	2	0	4	1	1	2	1	7	2	5	2	1	0	15	4	1	8	6	9	5	3	2	6	1	4	4	3	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	0	0	3	0	1	0	2	0	0	1	0	0	1	2	0	1	1	2	7	1	1	3	1	5	1	1	2	4	4	4	3	1	7	4	1	6	1	0	0					
14	Число неиспользованных открепительных удостоверений	380	7	10	10	10	10	10	10	8	5	3	8	10	6	9	9	8	9	3	8	5	8	9	10	5	6	9	2	4	6	5	7	8	9	19	16	16	27	45	11					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	545	7	10	11	6	2	0	10	5	6	11	3	4	3	7	1	10	18	45	71	40	20	35	6	28	12	5	21	9	12	12	5	13	20	11	18	27	5	12	4					
		2.74%	2.93%	4.35%	2.94%	3.19%	1.94%	0.00%	4.37%	1.37%	1.90%	2.86%	1.46%	1.41%	0.65%	1.96%	0.62%	2.70%	5.59%	4.10%	6.37%	3.98%	4.98%	4.24%	3.09%	2.29%	3.45%	1.44%	2.69%	1.87%	2.12%	2.76%	1.51%	2.74%	3.12%	2.10%	2.55%	2.78%	0.64%	0.73%	1.87%					
19	. Малышкин Олег Александрович	837	6	15	14	12	1	11	21	33	6	9	6	8	15	7	9	18	34	123	134	52	22	18	4	30	11	6	19	10	10	10	13	12	22	28	13	36	19	15	5					
		4.21%	2.51%	6.52%	3.74%	6.38%	0.97%	5.88%	9.17%	9.04%	1.90%	2.34%	2.91%	2.82%	3.25%	1.96%	5.59%	4.86%	10.56%	11.20%	12.03%	5.17%	5.47%	2.18%	2.06%	2.45%	3.16%	1.72%	2.44%	2.08%	1.77%	2.30%	3.93%	2.53%	3.44%	5.34%	1.84%	3.70%	2.44%	0.92%	2.34%					
20	. Миронов Сергей Михайлович	151	0	1	1	1	0	0	2	2	1	0	3	2	3	2	1	0	4	16	24	11	6	10	0	12	2	8	2	3	6	3	3	3	3	1	4	8	3	0	0					
		0.76%	0.00%	0.43%	0.27%	0.53%	0.00%	0.00%	0.87%	0.55%	0.32%	0.00%	1.46%	0.70%	0.65%	0.56%	0.62%	0.00%	1.24%	1.46%	2.15%	1.09%	1.49%	1.21%	0.00%	0.98%	0.57%	2.30%	0.26%	0.62%	1.06%	0.69%	0.91%	0.63%	0.47%	0.19%	0.57%	0.82%	0.39%	0.00%	0.00%					
21	. Путин Владимир Владимирович	14183	147	172	198	131	86	131	155	231	260	328	137	216	270	274	106	288	157	605	604	542	222	453	156	956	244	263	451	375	434	331	240	367	497	401	553	785	709	1534	174					
		71.35%	61.51%	74.78%	52.94%	69.68%	83.50%	70.05%	67.69%	63.29%	82.54%	85.19%	66.50%	76.06%	58.57%	76.54%	65.84%	77.84%	48.76%	55.10%	54.22%	53.88%	55.22%	54.91%	80.41%	78.04%	70.11%	75.57%	57.82%	77.96%	76.68%	76.27%	72.51%	77.43%	77.66%	76.53%	78.22%	80.76%	91.13%	93.59%	81.31%					
22	. Хакамада Ирина Муцуовна	293	3	0	4	2	0	1	1	1	14	6	2	10	4	2	0	3	10	29	41	30	7	20	6	7	2	5	8	0	8	1	3	3	13	4	6	0	14	20	3					
		1.47%	1.26%	0.00%	1.07%	1.06%	0.00%	0.53%	0.44%	0.27%	4.44%	1.56%	0.97%	3.52%	0.87%	0.56%	0.00%	0.81%	3.11%	2.64%	3.68%	2.98%	1.74%	2.42%	3.09%	0.57%	0.57%	1.44%	1.03%	0.00%	1.41%	0.23%	0.91%	0.63%	2.03%	0.76%	0.85%	0.00%	1.80%	1.22%	1.40%					
23	. Харитонов Николай Михайлович	3200	70	28	137	33	12	37	32	84	25	22	46	38	158	61	40	47	92	236	189	272	112	263	17	166	69	57	123	81	70	70	56	63	72	67	106	94	15	21	19					
		16.10%	29.29%	12.17%	36.63%	17.55%	11.65%	19.79%	13.97%	23.01%	7.94%	5.71%	22.33%	13.38%	34.27%	17.04%	24.84%	12.70%	28.57%	21.49%	16.97%	27.04%	27.86%	31.88%	8.76%	13.55%	19.83%	16.38%	15.77%	16.84%	12.37%	16.13%	16.92%	13.29%	11.25%	12.79%	14.99%	9.67%	1.93%	1.28%	8.88%					
																																														
24	Против всех	457	0	2	3	2	0	7	3	1	0	5	2	3	3	1	1	3	5	36	37	39	8	17	3	17	4	2	138	1	18	5	5	6	8	7	7	11	11	31	5					
		2.30%	0.00%	0.87%	0.80%	1.06%	0.00%	3.74%	1.31%	0.27%	0.00%	1.30%	0.97%	1.06%	0.65%	0.28%	0.62%	0.81%	1.55%	3.28%	3.32%	3.88%	1.99%	2.06%	1.55%	1.39%	1.15%	0.57%	17.69%	0.21%	3.18%	1.15%	1.51%	1.27%	1.25%	1.34%	0.99%	1.13%	1.41%	1.89%	2.34%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
