Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Ейская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1499					
		63.20%	57.17%	57.66%	62.21%	60.99%	59.88%	62.78%	59.19%	60.64%	59.11%	62.22%	63.32%	65.52%	66.67%	63.00%	61.73%	62.90%	61.54%	55.35%	62.30%	62.30%	64.61%	59.18%	60.36%	58.40%	61.84%	61.20%	62.37%	62.44%	60.85%	65.34%	72.56%	62.53%	59.68%	81.82%	75.38%	66.23%	58.05%	60.00%	66.45%	68.10%					
22	. Хакамада Ирина Муцуовна	1351	29	34	50	34	27	47	29	44	34	37	36	34	21	35	23	26	46	34	43	31	27	32	41	49	32	61	71	35	25	16	5	49	41	61	33	26	14	25	11	3					
		2.87%	2.65%	3.10%	3.71%	2.31%	2.32%	3.84%	2.27%	3.01%	4.00%	3.98%	3.85%	2.78%	2.63%	2.44%	2.01%	2.45%	3.57%	2.96%	2.94%	3.18%	3.02%	2.53%	3.17%	2.66%	3.13%	4.53%	4.25%	2.54%	1.84%	1.48%	1.88%	3.28%	3.63%	2.25%	1.80%	3.78%	1.53%	3.21%	2.40%	0.86%					
23	. Харитонов Николай Михайлович	9066	212	208	174	304	193	221	299	301	180	203	168	242	166	289	219	181	232	293	311	189	175	305	301	445	234	291	296	317	347	253	37	310	255	117	142	103	244	161	94	54					
		19.23%	19.36%	18.98%	12.92%	20.69%	16.58%	18.04%	23.38%	20.60%	21.15%	21.85%	17.97%	19.82%	20.80%	20.14%	19.18%	17.04%	18.03%	25.50%	21.24%	19.36%	19.60%	24.13%	23.26%	24.20%	22.90%	21.59%	17.74%	22.99%	25.53%	23.45%	13.91%	20.78%	22.55%	4.32%	7.75%	14.99%	26.73%	20.64%	20.48%	15.52%					
																																															
24	Против всех	1935	35	51	87	55	45	51	60	48	34	31	49	37	23	38	48	49	57	39	55	47	44	43	48	85	39	56	85	32	42	28	10	74	50	121	118	31	42	20	11	17					
		4.10%	3.20%	4.65%	6.46%	3.74%	3.87%	4.16%	4.69%	3.29%	4.00%	3.34%	5.24%	3.03%	2.88%	2.65%	4.20%	4.61%	4.43%	3.39%	3.76%	4.82%	4.93%	3.40%	3.71%	4.62%	3.82%	4.15%	5.09%	2.32%	3.09%	2.59%	3.76%	4.96%	4.42%	4.47%	6.44%	4.51%	4.60%	2.56%	2.40%	4.89%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
