Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Ардатовская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47					
11	Число полученных открепительных  удостоверений	565	20	20	30	30	30	30	20	20	20	25	25	15	30	6	6	6	2	5	8	15	5	3	3	5	15	15	2	5	5	3	3	15	15	5	19	3	5	10	3	2	3	2	10	5	3	20	18					
12	Число выданных открепительных удостоверений	239	8	6	21	18	23	10	3	8	5	9	13	0	10	4	1	6	1	1	5	7	5	1	0	0	2	9	0	1	0	0	2	2	0	2	14	1	1	0	2	1	3	0	3	3	2	14	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	0	2	2	18	8	0	1	1	0	1	1	0	1	0	3	2	0	0	0	1	2	0	2	0	0	1	2	7	5	3	0	2	2	0	0	2	0	3	2	0	0	0	2	2	0	0	1					
14	Число неиспользованных открепительных удостоверений	326	12	14	9	12	7	20	17	12	15	16	12	15	20	2	5	0	1	4	3	8	0	2	3	5	13	6	2	4	5	3	1	13	15	3	5	2	4	10	1	1	0	2	7	2	1	6	6					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	156	10	4	6	13	12	26	4	10	12	7	16	3	2	1	0	0	0	1	1	1	0	1	2	0	2	1	0	0	1	0	0	0	1	1	1	2	0	1	3	0	0	0	0	3	0	3	5					
		0.67%	1.36%	0.54%	0.58%	1.15%	1.04%	2.18%	0.56%	1.07%	1.47%	0.72%	1.58%	0.61%	0.14%	0.56%	0.00%	0.00%	0.00%	0.27%	0.37%	0.13%	0.00%	0.90%	1.04%	0.00%	0.36%	0.18%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.17%	0.44%	0.14%	1.15%	0.00%	0.13%	1.42%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.47%	0.66%					
19	. Малышкин Олег Александрович	96	3	5	11	5	7	14	1	6	3	3	3	1	2	1	0	0	1	1	1	3	1	0	1	0	0	1	0	0	0	2	2	0	1	0	1	0	0	3	2	0	1	0	1	0	0	5	4					
		0.41%	0.41%	0.68%	1.07%	0.44%	0.60%	1.18%	0.14%	0.64%	0.37%	0.31%	0.30%	0.20%	0.14%	0.56%	0.00%	0.00%	1.11%	0.27%	0.37%	0.40%	0.32%	0.00%	0.52%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	1.34%	1.19%	0.00%	0.17%	0.00%	0.14%	0.00%	0.00%	0.39%	0.95%	0.00%	0.53%	0.00%	0.32%	0.00%	0.00%	0.78%	0.52%					
20	. Миронов Сергей Михайлович	44	1	2	4	3	6	3	0	3	5	2	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	3	0	0	0	0	0	0	0	2	0					
		0.19%	0.14%	0.27%	0.39%	0.26%	0.52%	0.25%	0.00%	0.32%	0.61%	0.21%	0.10%	0.20%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.44%	0.14%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%					
21	. Путин Владимир Владимирович	22062	691	707	929	1030	1056	1083	694	887	776	905	953	476	1361	169	210	265	86	362	264	718	304	105	184	196	549	524	80	327	278	139	159	415	567	221	680	166	330	747	199	56	187	75	309	230	104	570	739					
		94.86%	94.14%	96.06%	90.02%	90.75%	91.19%	91.01%	97.06%	94.97%	94.75%	93.49%	94.08%	96.16%	95.11%	94.41%	99.06%	98.51%	95.56%	98.91%	97.42%	96.38%	98.06%	94.59%	95.34%	98.49%	98.39%	95.62%	98.77%	97.03%	98.23%	93.29%	94.64%	99.05%	97.93%	96.51%	97.98%	95.40%	97.63%	96.39%	94.31%	100.00%	98.42%	96.15%	97.48%	90.91%	92.04%	89.06%	96.98%					
22	. Хакамада Ирина Муцуовна	61	2	2	4	5	6	8	3	4	2	3	4	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	2	1	0	0	0	1	1	0	2	2					
		0.26%	0.27%	0.27%	0.39%	0.44%	0.52%	0.67%	0.42%	0.43%	0.24%	0.31%	0.39%	0.20%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.52%	0.00%	0.18%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.14%	0.57%	0.00%	0.26%	0.47%	0.00%	0.00%	0.00%	0.32%	0.40%	0.00%	0.31%	0.26%					
23	. Харитонов Николай Михайлович	688	25	15	73	69	58	48	9	15	17	41	31	10	58	5	2	4	3	2	4	21	4	3	3	2	6	20	1	8	3	8	6	2	4	6	9	3	6	10	6	0	2	3	5	9	8	31	10					
		2.96%	3.41%	2.04%	7.07%	6.08%	5.01%	4.03%	1.26%	1.61%	2.08%	4.24%	3.06%	2.02%	4.05%	2.79%	0.94%	1.49%	3.33%	0.55%	1.48%	2.82%	1.29%	2.70%	1.55%	1.01%	1.08%	3.65%	1.23%	2.37%	1.06%	5.37%	3.57%	0.48%	0.69%	2.62%	1.30%	1.72%	1.78%	1.29%	2.84%	0.00%	1.05%	3.85%	1.58%	3.56%	7.08%	4.84%	1.31%					
																																																						
24	Против всех	69	2	1	3	3	9	5	2	5	1	5	3	2	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	2	2	6	0	0	0	0	1	1	1	5	0					
		0.30%	0.27%	0.14%	0.29%	0.26%	0.78%	0.42%	0.28%	0.54%	0.12%	0.52%	0.30%	0.40%	0.14%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.90%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.17%	0.00%	0.14%	1.15%	0.59%	0.77%	0.00%	0.00%	0.00%	0.00%	0.32%	0.40%	0.88%	0.78%	0.00%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
