Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Кропоткинская городская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435					
11	Число полученных открепительных  удостоверений	888	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	38					
12	Число выданных открепительных удостоверений	267	3	8	2	5	13	6	1	6	5	5	10	4	9	13	12	6	15	21	24	11	6	5	5	8	9	6	2	7	17	12	1	3	5	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	118	4	1	2	6	2	4	2	0	0	5	1	0	8	5	0	7	5	13	9	4	2	4	1	3	7	3	0	1	4	6	1	0	3	1	4					
14	Число неиспользованных открепительных удостоверений	621	22	17	23	20	12	19	24	19	20	20	15	21	16	12	13	19	10	4	1	14	19	20	20	17	16	19	23	18	8	13	24	22	20	24	37					
15	"Число открепительных удостоверений, выданных в ТИК"	112	0	0	0	0	1	0	0	0	0	1	0	0	0	106	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	1843	36	59	46	101	60	51	43	34	63	44	104	47	57	86	58	55	43	64	75	36	33	33	54	39	69	26	46	28	107	95	25	22	30	35	39					
		4.47%	4.09%	3.68%	4.57%	5.63%	4.56%	4.20%	4.31%	4.07%	4.28%	3.46%	5.14%	3.44%	4.20%	5.76%	6.50%	5.10%	3.15%	4.40%	6.10%	4.91%	3.66%	2.76%	5.45%	4.39%	4.61%	3.51%	3.23%	3.24%	5.09%	5.36%	4.24%	3.75%	4.04%	4.83%	4.95%					
19	. Малышкин Олег Александрович	979	19	31	25	65	29	33	30	17	33	41	51	30	24	25	27	16	36	31	31	14	25	33	22	14	37	22	22	16	40	43	21	21	23	14	18					
		2.38%	2.16%	1.93%	2.48%	3.62%	2.20%	2.72%	3.01%	2.04%	2.24%	3.23%	2.52%	2.20%	1.77%	1.67%	3.03%	1.48%	2.63%	2.13%	2.52%	1.91%	2.77%	2.76%	2.22%	1.57%	2.47%	2.97%	1.54%	1.85%	1.90%	2.42%	3.57%	3.58%	3.10%	1.93%	2.28%					
20	. Миронов Сергей Михайлович	272	4	10	7	22	5	12	6	9	17	11	7	9	3	17	4	9	11	3	9	1	3	9	11	7	6	1	9	4	13	5	3	4	8	11	2					
		0.66%	0.45%	0.62%	0.70%	1.23%	0.38%	0.99%	0.60%	1.08%	1.15%	0.87%	0.35%	0.66%	0.22%	1.14%	0.45%	0.83%	0.80%	0.21%	0.73%	0.14%	0.33%	0.75%	1.11%	0.79%	0.40%	0.13%	0.63%	0.46%	0.62%	0.28%	0.51%	0.68%	1.08%	1.52%	0.25%					
21	. Путин Владимир Владимирович	27774	609	1092	675	1152	828	780	695	558	1071	885	1316	992	974	1039	541	710	999	989	770	504	599	838	664	574	946	491	953	640	1441	1203	394	396	497	485	474					
		67.43%	69.13%	68.08%	67.03%	64.21%	62.87%	64.30%	69.71%	66.83%	72.76%	69.63%	65.02%	72.67%	71.78%	69.54%	60.65%	65.86%	73.08%	68.02%	62.65%	68.76%	66.41%	70.13%	67.07%	64.57%	63.24%	66.26%	66.92%	74.07%	68.52%	67.81%	66.89%	67.58%	66.98%	66.90%	60.15%					
22	. Хакамада Ирина Муцуовна	998	18	37	18	35	22	20	18	16	23	39	47	30	26	45	32	29	24	36	35	25	28	26	31	26	37	19	32	15	49	62	27	18	12	16	25					
		2.42%	2.04%	2.31%	1.79%	1.95%	1.67%	1.65%	1.81%	1.92%	1.56%	3.07%	2.32%	2.20%	1.92%	3.01%	3.59%	2.69%	1.76%	2.48%	2.85%	3.41%	3.10%	2.18%	3.13%	2.92%	2.47%	2.56%	2.25%	1.74%	2.33%	3.49%	4.58%	3.07%	1.62%	2.21%	3.17%					
23	. Харитонов Николай Михайлович	7575	159	302	207	364	318	270	166	174	222	207	385	212	230	214	188	201	189	245	258	117	182	206	173	190	336	146	317	131	339	261	89	105	144	141	187					
		18.39%	18.05%	18.83%	20.56%	20.29%	24.15%	22.26%	16.65%	20.84%	15.08%	16.29%	19.02%	15.53%	16.95%	14.32%	21.08%	18.65%	13.83%	16.85%	20.99%	15.96%	20.18%	17.24%	17.47%	21.37%	22.46%	19.70%	22.26%	15.16%	16.12%	14.71%	15.11%	17.92%	19.41%	19.45%	23.73%					
																																										
24	Против всех	1541	32	66	25	49	49	35	28	19	37	39	100	41	43	65	41	54	57	74	46	30	32	41	29	19	65	30	33	23	114	96	23	20	27	23	36					
		3.74%	3.63%	4.11%	2.48%	2.73%	3.72%	2.89%	2.81%	2.28%	2.51%	3.07%	4.94%	3.00%	3.17%	4.35%	4.60%	5.01%	4.17%	5.09%	3.74%	4.09%	3.55%	3.43%	2.93%	2.14%	4.34%	4.05%	2.32%	2.66%	5.42%	5.41%	3.90%	3.41%	3.64%	3.17%	4.57%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
