Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Катав-Ивановская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997					
11	Число полученных открепительных  удостоверений	291	13	10	10	10	5	15	10	20	5	5	10	10	5	10	10	5	10	10	10	13	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	114	10	5	5	8	1	10	4	15	0	0	1	5	0	5	3	0	0	8	1	10	7	0	0	3	0	0	3	0	3	0	2	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	2	2	1	0	0	5	1	2	1	1	1	0	0	2	2	0	2	3	2	0	4	3	3	3	4	1	2	0	0	2	0	2	1	1	1					
14	Число неиспользованных открепительных удостоверений	177	3	5	5	2	4	5	6	5	5	5	9	5	5	5	7	5	10	2	9	3	3	10	10	7	5	5	2	5	2	5	3	0	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	33	1	0	0	3	0	2	1	1	0	4	0	3	0	0	4	2	1	1	2	3	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	580	37	54	25	26	10	40	15	24	5	3	18	4	2	42	14	8	28	33	19	15	37	22	24	11	1	2	25	9	10	0	6	3	3	2	3					
		3.26%	4.93%	7.92%	3.91%	3.02%	3.29%	4.85%	2.31%	2.94%	2.04%	0.89%	2.86%	1.38%	1.54%	4.17%	1.85%	2.45%	4.09%	3.28%	2.52%	1.85%	3.32%	2.89%	3.10%	1.80%	1.45%	2.44%	13.30%	2.29%	4.76%	0.00%	2.15%	0.99%	2.46%	2.60%	3.80%					
19	. Малышкин Олег Александрович	486	21	11	10	24	6	16	12	16	7	3	13	10	5	30	21	14	21	27	12	21	35	36	26	21	0	2	3	24	7	6	10	7	4	4	1					
		2.73%	2.80%	1.61%	1.56%	2.79%	1.97%	1.94%	1.85%	1.96%	2.86%	0.89%	2.07%	3.46%	3.85%	2.98%	2.78%	4.29%	3.07%	2.69%	1.59%	2.58%	3.14%	4.74%	3.36%	3.44%	0.00%	2.44%	1.60%	6.11%	3.33%	2.84%	3.58%	2.31%	3.28%	5.19%	1.27%					
20	. Миронов Сергей Михайлович	154	6	6	6	10	3	8	2	5	1	3	5	5	0	2	9	2	6	8	7	4	10	7	9	2	0	1	1	2	5	1	9	4	3	2	0					
		0.87%	0.80%	0.88%	0.94%	1.16%	0.99%	0.97%	0.31%	0.61%	0.41%	0.89%	0.79%	1.73%	0.00%	0.20%	1.19%	0.61%	0.88%	0.80%	0.93%	0.49%	0.90%	0.92%	1.16%	0.33%	0.00%	1.22%	0.53%	0.51%	2.38%	0.47%	3.23%	1.32%	2.46%	2.60%	0.00%					
21	. Путин Владимир Владимирович	11344	442	388	423	524	150	511	453	517	117	210	436	203	94	605	492	202	452	660	511	525	752	466	498	439	35	49	105	264	161	167	163	159	80	47	44					
		63.83%	58.93%	56.89%	66.09%	60.86%	49.34%	62.01%	69.91%	63.28%	47.76%	62.13%	69.32%	70.24%	72.31%	60.14%	65.08%	61.96%	65.99%	65.67%	67.86%	64.58%	67.50%	61.32%	64.34%	71.85%	50.72%	59.76%	55.85%	67.18%	76.67%	79.15%	58.42%	52.48%	65.57%	61.04%	55.70%					
22	. Хакамада Ирина Муцуовна	435	25	29	19	25	3	19	22	11	7	8	9	5	2	21	23	10	19	28	11	25	33	24	27	7	1	0	8	4	0	3	1	5	0	0	1					
		2.45%	3.33%	4.25%	2.97%	2.90%	0.99%	2.31%	3.40%	1.35%	2.86%	2.37%	1.43%	1.73%	1.54%	2.09%	3.04%	3.07%	2.77%	2.79%	1.46%	3.08%	2.96%	3.16%	3.49%	1.15%	1.45%	0.00%	4.26%	1.02%	0.00%	1.42%	0.36%	1.65%	0.00%	0.00%	1.27%					
23	. Харитонов Николай Михайлович	4101	189	158	136	196	123	175	114	208	98	103	130	53	25	247	167	74	139	221	165	187	211	181	170	118	31	27	41	82	20	28	87	118	29	20	30					
		23.07%	25.20%	23.17%	21.25%	22.76%	40.46%	21.24%	17.59%	25.46%	40.00%	30.47%	20.67%	18.34%	19.23%	24.55%	22.09%	22.70%	20.29%	21.99%	21.91%	23.00%	18.94%	23.82%	21.96%	19.31%	44.93%	32.93%	21.81%	20.87%	9.52%	13.27%	31.18%	38.94%	23.77%	25.97%	37.97%					
																																										
24	Против всех	501	24	31	14	49	7	49	26	33	5	3	13	3	1	46	26	11	14	19	14	22	27	19	12	6	1	1	4	7	5	1	3	4	0	1	0					
		2.82%	3.20%	4.55%	2.19%	5.69%	2.30%	5.95%	4.01%	4.04%	2.04%	0.89%	2.07%	1.04%	0.77%	4.57%	3.44%	3.37%	2.04%	1.89%	1.86%	2.71%	2.42%	2.50%	1.55%	0.98%	1.45%	1.22%	2.13%	1.78%	2.38%	0.47%	1.08%	1.32%	0.00%	1.30%	0.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
