Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Воротынская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586					
11	Число полученных открепительных  удостоверений	220	10	15	20	10	10	10	5	5	10	5	5	5	5	5	5	5	5	5	3	2	5	10	2	2	6	5	10	5	5	5	3	2	5	5	2	2	1					
12	Число выданных открепительных удостоверений	106	10	10	13	10	5	10	0	0	7	1	0	0	5	1	0	1	5	0	0	0	0	5	0	0	0	5	5	0	1	4	1	2	2	2	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	6	3	5	2	3	6	0	4	8	2	3	3	2	1	3	2	1	3	2	2	2	1	2	2	3	2	0	2	4	3	4	1	9	2	1	2	2					
14	Число неиспользованных открепительных удостоверений	114	0	5	7	0	5	0	5	5	3	4	5	5	0	4	5	4	0	5	3	2	5	5	2	2	6	0	5	5	4	1	2	0	3	3	2	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	259	19	10	27	23	12	19	0	5	8	5	2	7	4	5	10	9	8	8	2	1	2	4	0	0	4	0	4	12	4	7	7	4	16	4	0	1	6					
		2.46%	3.88%	2.25%	3.25%	3.05%	3.64%	2.50%	0.00%	4.24%	2.39%	2.69%	2.50%	6.54%	4.44%	1.67%	3.08%	2.93%	3.08%	5.30%	2.35%	1.89%	1.57%	0.57%	0.00%	0.00%	1.77%	0.00%	1.48%	4.14%	1.27%	1.94%	1.94%	1.92%	2.44%	1.22%	0.00%	2.00%	4.05%					
19	. Малышкин Олег Александрович	275	19	17	24	25	4	6	10	4	11	3	0	3	1	14	4	16	2	1	0	0	1	14	0	1	11	3	3	12	4	6	10	6	23	11	0	0	6					
		2.62%	3.88%	3.83%	2.89%	3.32%	1.21%	0.79%	7.04%	3.39%	3.28%	1.61%	0.00%	2.80%	1.11%	4.67%	1.23%	5.21%	0.77%	0.66%	0.00%	0.00%	0.79%	2.01%	0.00%	2.00%	4.87%	1.80%	1.11%	4.14%	1.27%	1.66%	2.78%	2.88%	3.51%	3.34%	0.00%	0.00%	4.05%					
20	. Миронов Сергей Михайлович	107	5	10	14	6	6	5	0	0	1	3	1	5	1	3	4	4	1	0	2	0	0	3	0	2	3	3	5	3	3	3	1	0	5	3	0	1	1					
		1.02%	1.02%	2.25%	1.69%	0.80%	1.82%	0.66%	0.00%	0.00%	0.30%	1.61%	1.25%	4.67%	1.11%	1.00%	1.23%	1.30%	0.38%	0.00%	2.35%	0.00%	0.00%	0.43%	0.00%	4.00%	1.33%	1.80%	1.85%	1.03%	0.95%	0.83%	0.28%	0.00%	0.76%	0.91%	0.00%	2.00%	0.68%					
21	. Путин Владимир Владимирович	6483	322	258	499	435	192	527	85	71	172	123	63	64	65	190	227	167	160	94	57	29	100	399	24	42	135	125	188	177	178	261	254	80	381	175	50	31	83					
		61.67%	65.71%	58.11%	60.12%	57.69%	58.18%	69.34%	59.86%	60.17%	51.34%	66.13%	78.75%	59.81%	72.22%	63.33%	69.85%	54.40%	61.54%	62.25%	67.06%	54.72%	78.74%	57.33%	58.54%	84.00%	59.73%	74.85%	69.37%	61.03%	56.51%	72.30%	70.56%	38.46%	58.08%	53.19%	71.43%	62.00%	56.08%					
22	. Хакамада Ирина Муцуовна	224	11	3	19	19	11	19	0	0	9	4	0	2	1	5	2	12	2	5	0	4	4	18	1	1	3	2	9	4	9	10	6	7	11	4	2	0	5					
		2.13%	2.24%	0.68%	2.29%	2.52%	3.33%	2.50%	0.00%	0.00%	2.69%	2.15%	0.00%	1.87%	1.11%	1.67%	0.62%	3.91%	0.77%	3.31%	0.00%	7.55%	3.15%	2.59%	2.44%	2.00%	1.33%	1.20%	3.32%	1.38%	2.86%	2.77%	1.67%	3.37%	1.68%	1.22%	2.86%	0.00%	3.38%					
23	. Харитонов Николай Михайлович	2846	98	129	209	227	90	158	47	33	121	44	14	25	17	81	68	89	81	40	23	13	14	228	15	4	65	25	55	77	112	67	77	102	201	123	17	17	40					
		27.07%	20.00%	29.05%	25.18%	30.11%	27.27%	20.79%	33.10%	27.97%	36.12%	23.66%	17.50%	23.36%	18.89%	27.00%	20.92%	28.99%	31.15%	26.49%	27.06%	24.53%	11.02%	32.76%	36.59%	8.00%	28.76%	14.97%	20.30%	26.55%	35.56%	18.56%	21.39%	49.04%	30.64%	37.39%	24.29%	34.00%	27.03%					
																																												
24	Против всех	198	13	12	32	17	7	15	0	3	6	3	0	1	1	1	6	7	3	0	1	5	5	11	0	0	1	5	4	4	2	3	4	5	9	6	1	0	5					
		1.88%	2.65%	2.70%	3.86%	2.25%	2.12%	1.97%	0.00%	2.54%	1.79%	1.61%	0.00%	0.93%	1.11%	0.33%	1.85%	2.28%	1.15%	0.00%	1.18%	9.43%	3.94%	1.58%	0.00%	0.00%	0.44%	2.99%	1.48%	1.38%	0.63%	0.83%	1.11%	2.40%	1.37%	1.82%	1.43%	0.00%	3.38%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
