Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Инжавинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  1041					
		1.81%	1.69%	1.94%	1.73%	1.90%	2.48%	0.21%	1.73%	2.98%	2.25%	1.23%	3.20%	1.09%	1.66%	1.68%	2.20%	1.44%	1.51%	1.11%	0.00%	0.68%	3.30%	2.77%	2.17%	2.55%	2.01%	1.86%	3.68%	0.40%	0.00%	1.18%	2.80%	1.20%	2.73%	0.62%	1.07%	0.86%	1.19%	2.05%	2.14%	0.53%	0.66%	1.89%					
19	. Малышкин Олег Александрович	309	9	16	18	9	14	17	8	16	5	8	6	2	6	3	4	6	12	1	3	5	0	3	2	11	5	5	8	5	14	6	13	8	6	3	5	5	18	2	9	7	2	4					
		2.00%	1.08%	2.07%	2.39%	1.14%	1.93%	3.58%	2.31%	2.98%	1.61%	2.45%	1.37%	0.44%	3.31%	2.52%	1.10%	4.32%	3.02%	0.56%	2.75%	3.38%	0.00%	0.41%	0.48%	3.50%	1.67%	1.33%	2.11%	1.99%	5.20%	2.35%	3.31%	2.40%	2.34%	1.88%	0.89%	2.16%	3.07%	0.68%	3.20%	3.74%	1.32%	1.89%					
20	. Миронов Сергей Михайлович	73	1	2	4	10	2	4	2	1	1	0	2	1	2	0	0	2	3	0	1	0	0	1	2	1	1	6	4	4	0	1	2	1	2	1	4	0	2	1	0	0	2	0					
		0.47%	0.12%	0.26%	0.53%	1.26%	0.28%	0.84%	0.58%	0.19%	0.32%	0.00%	0.46%	0.22%	1.10%	0.00%	0.00%	1.44%	0.76%	0.00%	0.92%	0.00%	0.00%	0.14%	0.48%	0.32%	0.33%	1.60%	1.05%	1.59%	0.00%	0.39%	0.51%	0.30%	0.78%	0.62%	0.71%	0.00%	0.34%	0.34%	0.00%	0.00%	1.32%	0.00%					
21	. Путин Владимир Владимирович	9710	610	449	524	573	506	286	205	375	236	221	329	230	97	101	229	66	226	108	65	96	76	388	279	183	163	212	226	150	124	122	180	183	154	112	377	188	394	156	150	103	89	169					
		62.96%	73.49%	58.16%	69.59%	72.44%	69.60%	60.21%	59.08%	69.83%	75.88%	67.79%	75.11%	50.22%	53.59%	84.87%	62.91%	47.48%	56.93%	60.00%	59.63%	64.86%	83.52%	53.67%	67.39%	58.28%	54.52%	56.38%	59.47%	59.76%	46.10%	47.84%	45.80%	54.79%	60.16%	70.00%	66.96%	81.03%	67.12%	53.42%	53.38%	55.08%	58.94%	79.72%					
22	. Хакамада Ирина Муцуовна	185	8	12	9	8	6	16	2	7	1	3	0	6	3	0	5	2	8	1	2	0	0	8	9	4	3	4	3	3	6	1	8	2	4	2	6	4	9	1	4	2	3	0					
		1.20%	0.96%	1.55%	1.20%	1.01%	0.83%	3.37%	0.58%	1.30%	0.32%	0.92%	0.00%	1.31%	1.66%	0.00%	1.37%	1.44%	2.02%	0.56%	1.83%	0.00%	0.00%	1.11%	2.17%	1.27%	1.00%	1.06%	0.79%	1.20%	2.23%	0.39%	2.04%	0.60%	1.56%	1.25%	1.07%	1.72%	1.53%	0.34%	1.42%	1.07%	1.99%	0.00%					
23	. Харитонов Николай Михайлович	4487	175	247	161	162	164	133	117	101	52	83	74	208	64	13	111	58	123	64	37	44	10	283	96	99	117	134	116	85	120	118	169	125	80	39	156	29	151	120	106	61	50	32					
		29.09%	21.08%	31.99%	21.38%	20.48%	22.56%	28.00%	33.72%	18.81%	16.72%	25.46%	16.89%	45.41%	35.36%	10.92%	30.49%	41.73%	30.98%	35.56%	33.94%	29.73%	10.99%	39.14%	23.19%	31.53%	39.13%	35.64%	30.53%	33.86%	44.61%	46.27%	43.00%	37.43%	31.25%	24.38%	27.71%	12.50%	25.72%	41.10%	37.72%	32.62%	33.11%	15.09%					
																																																	
24	Против всех	256	11	21	13	10	16	15	3	12	6	4	5	5	2	0	5	3	13	4	1	2	1	19	7	4	2	4	6	3	5	3	5	5	3	2	7	1	5	2	3	11	4	3					
		1.66%	1.33%	2.72%	1.73%	1.26%	2.20%	3.16%	0.86%	2.23%	1.93%	1.23%	1.14%	1.09%	1.10%	0.00%	1.37%	2.16%	3.27%	2.22%	0.92%	1.35%	1.10%	2.63%	1.69%	1.27%	0.67%	1.06%	1.58%	1.20%	1.86%	1.18%	1.27%	1.50%	1.17%	1.25%	1.24%	0.43%	0.85%	0.68%	1.07%	5.88%	2.65%	1.42%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
