Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Усть-Джегутинская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227					
		1.03%	1.20%	0.58%	0.72%	0.38%	2.16%	1.46%	0.74%	2.99%	2.51%	2.13%	0.70%	0.85%	0.87%	0.71%	1.17%	0.93%	0.62%	0.20%	0.45%	0.00%	0.85%	0.07%	0.78%	0.00%					
23	. Харитонов Николай Михайлович	3135	303	163	52	49	155	159	200	198	244	189	37	144	129	82	41	17	21	362	57	277	50	58	137	11					
		9.94%	20.23%	9.51%	6.20%	6.26%	8.38%	10.53%	18.47%	9.69%	17.53%	12.61%	2.00%	10.25%	12.42%	9.65%	9.60%	1.97%	3.24%	14.34%	3.63%	15.63%	4.23%	4.11%	9.72%	2.81%					
																															
24	Против всех	235	20	14	4	8	0	12	15	7	19	27	6	21	17	6	0	11	2	2	4	0	0	3	35	2					
		0.74%	1.34%	0.82%	0.48%	1.02%	0.00%	0.79%	1.39%	0.34%	1.36%	1.80%	0.32%	1.49%	1.64%	0.71%	0.00%	1.28%	0.31%	0.08%	0.25%	0.00%	0.00%	0.21%	2.48%	0.51%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
