Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Инсарская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289					
21	. Путин Владимир Владимирович	11945	1154	1244	1122	1212	623	673	617	273	52	479	125	282	434	293	278	244	281	152	51	422	72	186	198	249	400	255	65	264	245					
		99.01%	98.80%	98.26%	97.91%	99.10%	99.52%	99.56%	99.20%	99.64%	100.00%	99.79%	100.00%	99.65%	100.00%	99.66%	100.00%	100.00%	99.29%	100.00%	100.00%	99.76%	100.00%	100.00%	100.00%	90.88%	99.26%	100.00%	100.00%	99.62%	99.59%					
22	. Хакамада Ирина Муцуовна	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0					
		0.04%	0.00%	0.00%	0.09%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.25%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	102	14	20	21	9	3	3	5	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	19	1	0	0	1	0					
		0.85%	1.20%	1.58%	1.83%	0.74%	0.48%	0.44%	0.80%	0.36%	0.00%	0.21%	0.00%	0.35%	0.00%	0.34%	0.00%	0.00%	0.35%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	6.93%	0.25%	0.00%	0.00%	0.38%	0.00%					
																																				
24	Против всех	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
