Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Целинская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №2580					
		0.28%	1.61%	0.28%	1.97%	0.49%	0.11%	0.11%	0.14%	0.44%	0.57%	0.07%	0.25%	0.00%	0.26%	0.31%	0.85%	0.00%	0.42%	0.00%	0.00%	0.00%	0.19%	0.00%	0.28%	0.00%	0.00%	0.00%	0.13%	0.77%					
20	. Миронов Сергей Михайлович	31	2	0	1	6	0	4	1	1	1	2	2	0	0	2	0	0	4	1	0	1	1	0	0	0	0	0	0	2					
		0.12%	0.16%	0.00%	0.49%	0.22%	0.00%	0.23%	0.05%	0.15%	0.28%	0.13%	0.50%	0.00%	0.00%	0.31%	0.00%	0.00%	0.84%	0.11%	0.00%	0.11%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%					
21	. Путин Владимир Владимирович	24004	978	340	154	2335	1798	1452	2120	616	330	1503	358	221	747	629	658	894	460	896	197	884	1038	988	691	893	263	347	1971	243					
		92.84%	78.55%	94.97%	75.86%	87.39%	98.14%	82.64%	98.65%	89.67%	94.02%	98.43%	89.72%	96.93%	98.03%	96.03%	92.94%	94.01%	96.84%	95.93%	96.57%	98.00%	98.67%	98.11%	95.84%	98.02%	98.13%	98.02%	86.26%	93.82%					
22	. Хакамада Ирина Муцуовна	98	11	0	2	5	2	53	0	1	1	1	3	0	1	1	4	0	4	0	0	0	1	0	2	0	0	0	4	2					
		0.38%	0.88%	0.00%	0.99%	0.19%	0.11%	3.02%	0.00%	0.15%	0.28%	0.07%	0.75%	0.00%	0.13%	0.15%	0.56%	0.00%	0.84%	0.00%	0.00%	0.00%	0.10%	0.00%	0.28%	0.00%	0.00%	0.00%	0.18%	0.77%					
23	. Харитонов Николай Михайлович	1396	194	16	37	283	25	162	11	57	13	17	32	7	10	19	32	50	0	32	6	17	3	17	16	18	4	7	302	9					
		5.40%	15.58%	4.47%	18.23%	10.59%	1.36%	9.22%	0.51%	8.30%	3.70%	1.11%	8.02%	3.07%	1.31%	2.90%	4.52%	5.26%	0.00%	3.43%	2.94%	1.88%	0.29%	1.69%	2.22%	1.98%	1.49%	1.98%	13.22%	3.47%					
																																			
24	Против всех	84	17	1	1	10	2	33	1	2	2	1	2	0	0	0	3	0	0	0	0	0	4	1	4	0	0	0	0	0					
		0.32%	1.37%	0.28%	0.49%	0.37%	0.11%	1.88%	0.05%	0.29%	0.57%	0.07%	0.50%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.10%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
