Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Юрьевецкая																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854					
		2.59%	2.62%	2.70%	0.75%	1.79%	2.84%	1.85%	2.41%	2.63%	5.88%	1.80%	2.72%	2.42%	3.00%	4.85%	3.75%	2.31%	3.88%	1.01%	1.06%	2.94%	2.73%	5.79%	1.70%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
