Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Первомайская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338					
12	Число выданных открепительных удостоверений	125	1	3	0	5	3	7	0	0	1	0	0	1	0	0	0	0	7	0	0	0	1	2	0	0	3	2	20	12	11	13	0	2	0	0	0	0	0	1	0	7	2	4	1	8	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	1	0	0	8	0	2	1	1	2	1	0	1	0	0	0	1	2	1	0	0	0	0	0	3	5	0	5	3	15	4	0	0	0	0	0	0	0	0	0	0	10	2	0	1	0					
14	Число неиспользованных открепительных удостоверений	272	4	2	3	0	0	3	3	10	4	3	4	9	3	3	3	3	3	3	3	4	3	8	4	5	5	5	30	38	39	17	5	3	5	5	3	3	5	4	3	3	3	1	2	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	374	1	8	2	7	0	9	1	4	5	2	0	6	0	0	0	5	29	9	5	1	2	13	1	4	21	6	47	26	52	24	28	3	5	1	1	1	1	6	1	8	10	6	1	9	3					
		2.57%	0.72%	1.81%	0.74%	1.65%	0.00%	1.93%	0.54%	1.02%	1.70%	1.29%	0.00%	0.89%	0.00%	0.00%	0.00%	5.95%	5.26%	5.77%	2.94%	1.08%	1.33%	2.51%	0.86%	1.48%	3.61%	1.26%	4.06%	4.67%	5.52%	2.82%	10.81%	1.71%	4.27%	0.97%	0.65%	1.30%	0.45%	2.33%	1.41%	1.63%	3.11%	1.71%	0.46%	1.71%	0.60%					
19	. Малышкин Олег Александрович	546	5	2	0	16	4	21	3	12	5	17	8	20	0	0	0	1	22	8	9	0	6	17	3	10	18	22	59	26	31	31	13	10	7	2	1	2	8	17	1	13	36	14	2	23	21					
		3.75%	3.62%	0.45%	0.00%	3.77%	2.09%	4.50%	1.61%	3.06%	1.70%	10.97%	5.67%	2.97%	0.00%	0.00%	0.00%	1.19%	3.99%	5.13%	5.29%	0.00%	4.00%	3.29%	2.59%	3.69%	3.10%	4.63%	5.09%	4.67%	3.29%	3.64%	5.02%	5.71%	5.98%	1.94%	0.65%	2.60%	3.57%	6.59%	1.41%	2.65%	11.18%	3.99%	0.92%	4.36%	4.18%					
20	. Миронов Сергей Михайлович	111	0	2	1	4	0	4	0	3	1	0	0	3	0	0	0	1	6	3	4	1	1	5	0	2	10	5	7	12	5	5	3	0	2	0	0	0	0	1	0	1	6	3	0	1	9					
		0.76%	0.00%	0.45%	0.37%	0.94%	0.00%	0.86%	0.00%	0.77%	0.34%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	1.19%	1.09%	1.92%	2.35%	1.08%	0.67%	0.97%	0.00%	0.74%	1.72%	1.05%	0.60%	2.15%	0.53%	0.59%	1.16%	0.00%	1.71%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.20%	1.86%	0.85%	0.00%	0.19%	1.79%					
21	. Путин Владимир Владимирович	9385	97	331	227	274	123	261	148	195	203	90	97	383	54	65	50	64	360	92	123	73	107	307	85	198	399	301	710	328	590	543	143	130	76	58	130	57	185	190	52	308	185	246	163	360	224					
		64.54%	70.29%	74.72%	84.39%	64.62%	64.40%	55.89%	79.57%	49.74%	69.05%	58.06%	68.79%	56.91%	80.60%	71.43%	54.95%	76.19%	65.34%	58.97%	72.35%	78.49%	71.33%	59.38%	73.28%	73.06%	68.67%	63.37%	61.31%	58.89%	62.63%	63.81%	55.21%	74.29%	64.96%	56.31%	84.42%	74.03%	82.59%	73.64%	73.24%	62.73%	57.45%	70.09%	75.12%	68.31%	44.62%					
22	. Хакамада Ирина Муцуовна	272	13	7	7	5	2	11	1	7	5	3	0	11	6	1	0	0	8	2	1	4	1	4	0	0	5	10	28	25	10	22	6	4	5	1	7	0	5	3	1	17	3	9	4	4	4					
		1.87%	9.42%	1.58%	2.60%	1.18%	1.05%	2.36%	0.54%	1.79%	1.70%	1.94%	0.00%	1.63%	8.96%	1.10%	0.00%	0.00%	1.45%	1.28%	0.59%	4.30%	0.67%	0.77%	0.00%	0.00%	0.86%	2.11%	2.42%	4.49%	1.06%	2.59%	2.32%	2.29%	4.27%	0.97%	4.55%	0.00%	2.23%	1.16%	1.41%	3.46%	0.93%	2.56%	1.84%	0.76%	0.80%					
23	. Харитонов Николай Михайлович	3410	17	87	25	106	56	153	31	162	70	37	32	234	6	21	33	12	115	41	28	12	33	150	25	50	105	119	255	101	220	191	60	24	18	39	12	17	25	39	16	135	71	64	36	120	207					
		23.45%	12.32%	19.64%	9.29%	25.00%	29.32%	32.76%	16.67%	41.33%	23.81%	23.87%	22.70%	34.77%	8.96%	23.08%	36.26%	14.29%	20.87%	26.28%	16.47%	12.90%	22.00%	29.01%	21.55%	18.45%	18.07%	25.05%	22.02%	18.13%	23.35%	22.44%	23.17%	13.71%	15.38%	37.86%	7.79%	22.08%	11.16%	15.12%	22.54%	27.49%	22.05%	18.23%	16.59%	22.77%	41.24%					
																																																				
24	Против всех	290	1	4	2	3	4	4	1	5	4	6	3	5	0	4	0	0	4	0	0	0	0	14	2	5	15	9	43	37	27	16	1	2	4	0	2	0	0	1	0	6	7	8	4	6	31					
		1.99%	0.72%	0.90%	0.74%	0.71%	2.09%	0.86%	0.54%	1.28%	1.36%	3.87%	2.13%	0.74%	0.00%	4.40%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	2.71%	1.72%	1.85%	2.58%	1.89%	3.71%	6.64%	2.87%	1.88%	0.39%	1.14%	3.42%	0.00%	1.30%	0.00%	0.00%	0.39%	0.00%	1.22%	2.17%	2.28%	1.84%	1.14%	6.18%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
