Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Кочубеевская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	1115	62	57	53	51	28	56	38	33	34	23	58	45	18	26	5	36	33	4	11	5	7	23	0	3	28	12	18	33	29	11	0	21	28	12	9	12	6	0	5	0	4	4	38	3	3	30	11	49	15	25					
		3.16%	4.28%	4.09%	4.38%	3.21%	2.22%	3.91%	3.20%	3.27%	5.11%	2.31%	4.44%	3.23%	2.32%	3.68%	2.53%	2.64%	2.74%	2.26%	2.73%	1.69%	3.11%	3.65%	0.00%	1.76%	4.15%	1.83%	1.75%	3.15%	4.07%	3.34%	0.00%	2.32%	2.81%	2.24%	2.33%	4.14%	1.95%	0.00%	1.62%	0.00%	1.93%	1.14%	6.54%	0.90%	1.57%	3.13%	1.94%	3.86%	3.47%	3.85%					
19	. Малышкин Олег Александрович	1037	39	36	40	27	36	38	31	38	18	40	43	48	23	34	10	27	27	5	9	10	17	18	1	10	18	20	17	29	24	2	7	22	30	10	8	6	7	4	5	9	5	14	26	13	10	41	9	43	22	11					
		2.94%	2.69%	2.58%	3.31%	1.70%	2.85%	2.65%	2.61%	3.76%	2.71%	4.02%	3.29%	3.44%	2.96%	4.81%	5.05%	1.98%	2.24%	2.82%	2.23%	3.38%	7.56%	2.86%	0.84%	5.88%	2.67%	3.05%	1.66%	2.77%	3.37%	0.61%	4.55%	2.43%	3.01%	1.87%	2.07%	2.07%	2.27%	2.99%	1.62%	9.47%	2.42%	3.98%	4.48%	3.89%	5.24%	4.28%	1.59%	3.39%	5.09%	1.69%					
20	. Миронов Сергей Михайлович	222	7	13	13	7	5	2	9	8	7	6	3	14	5	9	4	7	8	2	3	0	2	4	0	0	1	2	12	7	2	2	1	3	5	2	2	0	4	2	3	0	1	3	3	6	2	6	3	4	5	3					
		0.63%	0.48%	0.93%	1.07%	0.44%	0.40%	0.14%	0.76%	0.79%	1.05%	0.60%	0.23%	1.00%	0.64%	1.27%	2.02%	0.51%	0.67%	1.13%	0.74%	0.00%	0.89%	0.63%	0.00%	0.00%	0.15%	0.31%	1.17%	0.67%	0.28%	0.61%	0.65%	0.33%	0.50%	0.37%	0.52%	0.00%	1.30%	1.49%	0.97%	0.00%	0.48%	0.85%	0.52%	1.80%	1.05%	0.63%	0.53%	0.32%	1.16%	0.46%					
21	. Путин Владимир Владимирович	23444	1000	886	786	1075	955	1037	830	650	424	703	867	915	589	478	125	843	813	131	275	172	127	443	91	132	419	415	687	638	449	222	98	692	742	371	288	186	207	105	184	53	154	250	292	221	74	543	310	795	272	430					
		66.48%	68.97%	63.51%	64.96%	67.61%	75.61%	72.32%	69.98%	64.36%	63.76%	70.65%	66.34%	65.59%	75.80%	67.61%	63.13%	61.89%	67.58%	74.01%	68.24%	58.11%	56.44%	70.32%	76.47%	77.65%	62.17%	63.36%	66.96%	60.88%	62.97%	67.48%	63.64%	76.46%	74.50%	69.35%	74.61%	64.14%	67.21%	78.36%	59.55%	55.79%	74.40%	71.02%	50.26%	66.17%	38.74%	56.62%	54.77%	62.70%	62.96%	66.26%					
22	. Хакамада Ирина Муцуовна	704	37	40	30	31	29	24	19	23	17	16	33	33	14	9	3	21	15	2	7	6	4	8	1	5	13	8	18	20	16	5	3	16	20	12	7	5	4	5	12	6	4	9	9	12	7	9	7	19	13	18					
		2.00%	2.55%	2.87%	2.48%	1.95%	2.30%	1.67%	1.60%	2.28%	2.56%	1.61%	2.52%	2.37%	1.80%	1.27%	1.52%	1.54%	1.25%	1.13%	1.74%	2.03%	1.78%	1.27%	0.84%	2.94%	1.93%	1.22%	1.75%	1.91%	2.24%	1.52%	1.95%	1.77%	2.01%	2.24%	1.81%	1.72%	1.30%	3.73%	3.88%	6.32%	1.93%	2.56%	1.55%	3.59%	3.66%	0.94%	1.24%	1.50%	3.01%	2.77%					
23	. Харитонов Николай Михайлович	7449	251	307	226	320	146	205	220	237	141	161	261	297	106	133	46	369	272	30	94	97	59	112	26	17	172	179	242	283	146	76	38	134	138	105	52	55	71	14	90	25	31	54	193	73	84	302	220	311	95	133					
		21.12%	17.31%	22.01%	18.68%	20.13%	11.56%	14.30%	18.55%	23.47%	21.20%	16.18%	19.97%	21.29%	13.64%	18.81%	23.23%	27.09%	22.61%	16.95%	23.33%	32.77%	26.22%	17.78%	21.85%	10.00%	25.52%	27.33%	23.59%	27.00%	20.48%	23.10%	24.68%	14.81%	13.86%	19.63%	13.47%	18.97%	23.05%	10.45%	29.13%	26.32%	14.98%	15.34%	33.22%	21.86%	43.98%	31.49%	38.87%	24.53%	21.99%	20.49%					
																																																									
24	Против всех	1067	50	52	55	67	61	64	33	18	22	36	30	29	19	17	5	56	23	3	3	6	5	19	0	2	22	12	26	28	36	8	6	15	24	15	19	20	8	4	7	1	8	15	9	2	10	19	4	41	6	27					
		3.03%	3.45%	3.73%	4.55%	4.21%	4.83%	4.46%	2.78%	1.78%	3.31%	3.62%	2.30%	2.08%	2.45%	2.40%	2.53%	4.11%	1.91%	1.69%	0.74%	2.03%	2.22%	3.02%	0.00%	1.18%	3.26%	1.83%	2.53%	2.67%	5.05%	2.43%	3.90%	1.66%	2.41%	2.80%	4.92%	6.90%	2.60%	2.99%	2.27%	1.05%	3.86%	4.26%	1.55%	0.60%	5.24%	1.98%	0.71%	3.23%	1.39%	4.16%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
