Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    район Ивановское 																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009					
21	. Путин Владимир Владимирович	31485	891	828	1054	1000	876	755	1043	965	716	1014	1094	1096	659	649	929	1185	897	886	779	871	839	809	1026	909	981	775	625	888	1035	1079	1073	1051	1133	1075					
		69.99%	69.45%	64.09%	66.88%	64.47%	71.63%	67.83%	68.48%	68.54%	66.92%	68.70%	69.02%	71.68%	73.47%	72.92%	75.16%	77.20%	69.91%	71.68%	66.92%	73.01%	73.99%	74.70%	67.28%	70.19%	72.94%	67.16%	62.50%	69.38%	68.18%	74.21%	69.49%	68.25%	71.80%	72.88%					
22	. Хакамада Ирина Муцуовна	3203	112	149	150	142	75	67	118	120	86	107	120	110	48	40	67	80	69	92	97	63	50	62	115	118	91	109	105	81	107	98	93	92	95	75					
		7.12%	8.73%	11.53%	9.52%	9.16%	6.13%	6.02%	7.75%	8.52%	8.04%	7.25%	7.57%	7.19%	5.35%	4.49%	5.42%	5.21%	5.38%	7.44%	8.33%	5.28%	4.41%	5.72%	7.54%	9.11%	6.77%	9.45%	10.50%	6.33%	7.05%	6.74%	6.02%	5.97%	6.02%	5.08%					
23	. Харитонов Николай Михайлович	3578	104	97	130	127	67	93	112	133	82	146	124	112	68	81	90	72	107	86	98	89	111	68	139	100	96	107	107	110	131	91	124	120	136	120					
		7.95%	8.11%	7.51%	8.25%	8.19%	5.48%	8.36%	7.35%	9.45%	7.66%	9.89%	7.82%	7.33%	7.58%	9.10%	7.28%	4.69%	8.34%	6.96%	8.42%	7.46%	9.79%	6.28%	9.11%	7.72%	7.14%	9.27%	10.70%	8.59%	8.63%	6.26%	8.03%	7.79%	8.62%	8.14%					
																																									
24	Против всех	2767	91	98	105	113	81	92	105	78	85	87	114	83	48	28	62	84	91	66	73	68	51	46	117	66	67	80	80	73	95	73	92	103	88	84					
		6.15%	7.09%	7.59%	6.66%	7.29%	6.62%	8.27%	6.89%	5.54%	7.94%	5.89%	7.19%	5.43%	5.35%	3.15%	5.02%	5.47%	7.09%	5.34%	6.27%	5.70%	4.50%	4.25%	7.67%	5.10%	4.98%	6.93%	8.00%	5.70%	6.26%	5.02%	5.96%	6.69%	5.58%	5.69%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
