Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Курчалоевская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171					
		4.18%	3.03%	6.29%	4.08%	4.82%	0.27%	0.70%	1.55%	0.33%	1.02%	2.17%	7.86%	1.72%	3.07%	6.78%	5.50%	17.91%	1.75%	4.37%	15.34%	12.86%	3.10%	6.15%	2.22%	3.51%	5.26%					
23	. Харитонов Николай Михайлович	1285	70	21	70	65	4	64	50	12	28	32	259	103	35	123	26	171	20	2	3	52	27	0	0	13	35					
		3.09%	2.66%	0.86%	2.64%	3.73%	0.18%	3.18%	2.10%	0.43%	0.95%	1.45%	12.33%	4.79%	1.42%	5.31%	1.13%	8.85%	1.59%	0.46%	0.60%	7.87%	7.61%	0.00%	0.00%	4.15%	7.37%					
																																
24	Против всех	225	36	9	35	2	0	0	5	5	0	0	26	42	4	32	0	18	1	2	6	0	0	2	0	0	0					
		0.54%	1.37%	0.37%	1.32%	0.11%	0.00%	0.00%	0.21%	0.18%	0.00%	0.00%	1.24%	1.95%	0.16%	1.38%	0.00%	0.93%	0.08%	0.46%	1.20%	0.00%	0.00%	1.54%	0.00%	0.00%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
