Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Комсомольская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401					
14	Число неиспользованных открепительных удостоверений	157	4	2	8	0	1	4	0	4	2	4	5	1	2	0	8	3	0	0	5	10	9	5	0	0	8	2	13	11	17	0	2	0	8	3	5	1	0	0	0	0	10	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	180	18	23	6	1	12	1	1	1	7	3	4	1	3	6	1	5	6	2	5	4	5	0	4	0	0	9	3	5	2	3	2	4	3	0	0	3	7	1	1	2	6	6	4					
		1.22%	2.05%	2.45%	1.46%	0.56%	2.87%	1.16%	0.68%	1.15%	1.69%	1.33%	1.37%	0.58%	1.44%	2.47%	0.52%	1.52%	1.80%	0.40%	2.08%	1.37%	1.39%	0.00%	0.91%	0.00%	0.00%	0.86%	0.63%	0.86%	0.44%	0.65%	0.44%	1.27%	1.38%	0.00%	0.00%	1.54%	1.49%	0.79%	0.29%	0.53%	1.20%	2.31%	1.57%					
19	. Малышкин Олег Александрович	205	11	15	7	2	6	2	2	5	10	5	9	2	2	8	0	6	4	5	3	3	3	1	4	5	0	6	0	5	8	5	2	9	2	5	7	3	5	2	4	2	8	9	3					
		1.39%	1.25%	1.60%	1.70%	1.13%	1.44%	2.33%	1.36%	5.75%	2.42%	2.22%	3.09%	1.16%	0.96%	3.29%	0.00%	1.82%	1.20%	1.01%	1.25%	1.03%	0.83%	0.65%	0.91%	2.51%	0.00%	0.57%	0.00%	0.86%	1.74%	1.09%	0.44%	2.85%	0.92%	2.00%	5.04%	1.54%	1.07%	1.57%	1.15%	0.53%	1.60%	3.46%	1.18%					
20	. Миронов Сергей Михайлович	105	7	3	4	0	0	0	2	1	3	1	4	1	2	7	3	0	2	4	1	1	2	3	2	3	0	4	3	6	2	6	1	5	1	0	0	3	1	0	1	4	7	2	3					
		0.71%	0.80%	0.32%	0.97%	0.00%	0.00%	0.00%	1.36%	1.15%	0.72%	0.44%	1.37%	0.58%	0.96%	2.88%	1.55%	0.00%	0.60%	0.81%	0.42%	0.34%	0.56%	1.94%	0.46%	1.51%	0.00%	0.38%	0.63%	1.04%	0.44%	1.30%	0.22%	1.58%	0.46%	0.00%	0.00%	1.54%	0.21%	0.00%	0.29%	1.06%	1.40%	0.77%	1.18%					
21	. Путин Владимир Владимирович	9781	540	557	266	134	200	59	108	60	293	162	228	131	154	126	143	259	239	371	127	173	230	108	270	130	89	657	261	337	381	327	307	197	161	160	89	132	350	96	232	302	311	164	160					
		66.22%	61.57%	59.45%	64.56%	75.71%	47.85%	68.60%	73.47%	68.97%	70.77%	72.00%	78.35%	75.72%	73.68%	51.85%	73.71%	78.72%	71.77%	75.10%	52.92%	59.45%	63.89%	69.68%	61.64%	65.33%	78.76%	62.51%	55.18%	58.20%	83.01%	71.09%	67.92%	62.34%	74.19%	64.00%	64.03%	67.69%	74.63%	75.59%	66.86%	79.68%	62.08%	63.08%	62.99%					
22	. Хакамада Ирина Муцуовна	154	13	11	4	2	3	0	0	0	9	0	3	1	2	1	1	2	2	3	2	6	2	3	7	2	2	14	1	10	3	5	6	9	2	3	1	3	1	1	4	2	3	2	3					
		1.04%	1.48%	1.17%	0.97%	1.13%	0.72%	0.00%	0.00%	0.00%	2.17%	0.00%	1.03%	0.58%	0.96%	0.41%	0.52%	0.61%	0.60%	0.61%	0.83%	2.06%	0.56%	1.94%	1.60%	1.01%	1.77%	1.33%	0.21%	1.73%	0.65%	1.09%	1.33%	2.85%	0.92%	1.20%	0.72%	1.54%	0.21%	0.79%	1.15%	0.53%	0.60%	0.77%	1.18%					
23	. Харитонов Николай Михайлович	3956	260	288	120	36	186	23	29	17	77	48	41	33	43	91	43	46	77	87	94	95	115	36	129	52	21	339	200	201	57	108	123	83	44	67	37	44	91	26	97	57	154	71	70					
		26.78%	29.65%	30.74%	29.13%	20.34%	44.50%	26.74%	19.73%	19.54%	18.60%	21.33%	14.09%	19.08%	20.57%	37.45%	22.16%	13.98%	23.12%	17.61%	39.17%	32.65%	31.94%	23.23%	29.45%	26.13%	18.58%	32.25%	42.28%	34.72%	12.42%	23.48%	27.21%	26.27%	20.28%	26.80%	26.62%	22.56%	19.40%	20.47%	27.95%	15.04%	30.74%	27.31%	27.56%					
																																																		
24	Против всех	130	11	17	4	1	2	1	5	0	6	1	1	2	2	2	1	4	2	1	2	2	2	2	8	2	0	3	0	1	3	3	4	1	1	4	0	4	3	1	4	8	4	3	2					
		0.88%	1.25%	1.81%	0.97%	0.56%	0.48%	1.16%	3.40%	0.00%	1.45%	0.44%	0.34%	1.16%	0.96%	0.82%	0.52%	1.22%	0.60%	0.20%	0.83%	0.69%	0.56%	1.29%	1.83%	1.01%	0.00%	0.29%	0.00%	0.17%	0.65%	0.65%	0.88%	0.32%	0.46%	1.60%	0.00%	2.05%	0.64%	0.79%	1.15%	2.11%	0.80%	1.15%	0.79%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
