Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Бирская  городская 																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703					
		93.00%	93.03%	94.94%	91.37%	93.03%	92.98%	94.01%	81.01%	98.50%	87.07%	94.49%	96.25%	95.56%	96.74%	85.61%	96.46%	90.14%	88.72%	90.98%	85.46%	91.53%	95.86%	95.04%	94.71%	98.81%	81.25%	95.25%	89.49%	97.32%	97.33%	94.73%	96.07%	91.73%	89.43%	97.51%	95.65%	94.62%	92.93%	91.96%	94.95%	96.05%	89.20%	86.63%	86.82%	94.81%					
22	. Хакамада Ирина Муцуовна	358	20	17	20	12	21	10	37	3	33	19	30	22	18	15	2	7	6	0	1	7	2	6	0	2	0	1	3	0	0	3	0	9	5	2	1	0	2	5	1	2	0	6	6	2					
		0.95%	1.19%	1.00%	0.83%	0.84%	1.09%	0.52%	2.58%	0.30%	1.89%	1.11%	1.28%	0.90%	0.71%	2.20%	0.39%	1.41%	1.54%	0.00%	0.35%	0.86%	0.59%	2.29%	0.00%	0.30%	0.00%	0.28%	1.09%	0.00%	0.00%	0.61%	0.00%	0.80%	1.51%	0.45%	1.09%	0.00%	0.22%	0.77%	0.34%	0.38%	0.00%	1.60%	1.36%	0.47%					
23	. Харитонов Николай Михайлович	1138	49	8	80	49	61	30	146	7	105	32	8	46	20	52	8	13	29	33	2	33	3	0	3	3	8	7	11	2	4	13	22	54	23	4	0	1	47	22	8	9	38	29	12	4					
		3.01%	2.92%	0.47%	3.34%	3.42%	3.17%	1.55%	10.20%	0.70%	6.01%	1.88%	0.34%	1.89%	0.79%	7.64%	1.57%	2.62%	7.44%	9.02%	0.71%	4.05%	0.89%	0.00%	1.76%	0.45%	8.33%	1.96%	3.99%	0.60%	2.67%	2.64%	2.99%	4.80%	6.95%	0.90%	0.00%	0.77%	5.11%	3.40%	2.69%	1.69%	10.80%	7.75%	2.73%	0.94%					
																																																			
24	Против всех	234	0	9	33	4	25	18	19	3	21	12	16	8	16	5	3	7	3	0	0	3	2	0	2	1	0	0	0	0	0	1	0	8	1	1	1	0	2	1	0	0	0	5	4	0					
		0.62%	0.00%	0.53%	1.38%	0.28%	1.30%	0.93%	1.33%	0.30%	1.20%	0.70%	0.68%	0.33%	0.63%	0.73%	0.59%	1.41%	0.77%	0.00%	0.00%	0.37%	0.59%	0.00%	1.18%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.71%	0.30%	0.23%	1.09%	0.00%	0.22%	0.15%	0.00%	0.00%	0.00%	1.34%	0.91%	0.00%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
