Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Сунженская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	32	2	0	1	3	1	4	0	0	1	3	0	3	1	4	0	2	0	2	2	0	0	0	0	1	2					
		0.11%	0.13%	0.00%	0.09%	0.27%	0.09%	0.37%	0.00%	0.00%	0.10%	0.18%	0.00%	0.30%	0.04%	0.19%	0.00%	0.28%	0.00%	0.15%	0.31%	0.00%	0.00%	0.00%	0.00%	0.67%	0.12%					
19	. Малышкин Олег Александрович	54	2	7	1	7	1	1	2	0	0	2	3	5	2	1	0	3	0	2	0	1	2	0	0	2	10					
		0.19%	0.13%	1.07%	0.09%	0.62%	0.09%	0.09%	0.09%	0.00%	0.00%	0.12%	0.22%	0.50%	0.08%	0.05%	0.00%	0.42%	0.00%	0.15%	0.00%	0.19%	0.51%	0.00%	0.00%	1.34%	0.61%					
20	. Миронов Сергей Михайлович	186	9	3	2	26	0	13	5	2	0	46	0	9	2	1	1	5	0	7	30	0	15	2	0	5	3					
		0.66%	0.60%	0.46%	0.19%	2.31%	0.00%	1.21%	0.21%	0.11%	0.00%	2.76%	0.00%	0.89%	0.08%	0.05%	0.09%	0.71%	0.00%	0.54%	4.60%	0.00%	3.80%	0.71%	0.00%	3.36%	0.18%					
21	. Путин Владимир Владимирович	27797	1491	644	1048	1081	1080	1059	2331	1835	970	1585	1354	964	2478	2135	1090	689	629	1286	613	515	374	279	569	138	1560					
		98.01%	99.14%	98.47%	98.87%	96.09%	98.36%	98.33%	99.53%	97.24%	99.59%	95.08%	99.41%	95.45%	99.80%	98.84%	98.91%	97.45%	98.74%	99.15%	94.02%	98.10%	94.68%	99.29%	98.10%	92.62%	95.59%					
22	. Хакамада Ирина Муцуовна	33	0	0	0	1	1	0	0	0	1	4	0	0	0	5	0	0	0	0	2	3	3	0	0	1	12					
		0.12%	0.00%	0.00%	0.00%	0.09%	0.09%	0.00%	0.00%	0.00%	0.10%	0.24%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.31%	0.57%	0.76%	0.00%	0.00%	0.67%	0.74%					
23	. Харитонов Николай Михайлович	142	0	0	0	7	0	0	4	50	2	2	1	29	0	6	7	8	8	0	2	1	1	0	9	2	3					
		0.50%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.17%	2.65%	0.21%	0.12%	0.07%	2.87%	0.00%	0.28%	0.64%	1.13%	1.26%	0.00%	0.31%	0.19%	0.25%	0.00%	1.55%	1.34%	0.18%					
																																
24	Против всех	23	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	2	0	11					
		0.08%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.34%	0.00%	0.67%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
