Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Косихинская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922					
23	. Харитонов Николай Михайлович	1986	88	241	84	24	171	131	110	62	105	74	38	27	114	31	13	108	27	136	19	32	75	60	77	24	48	11	56					
		17.95%	14.38%	13.89%	14.00%	14.81%	17.03%	22.51%	15.90%	14.35%	21.92%	13.31%	17.19%	16.27%	19.55%	21.23%	11.93%	19.64%	16.77%	38.97%	20.21%	17.49%	21.74%	25.53%	26.01%	26.67%	22.54%	10.78%	15.38%					
																																		
24	Против всех	127	11	18	15	1	19	6	9	4	2	5	2	1	8	0	0	6	2	3	2	5	2	1	3	0	1	0	1					
		1.15%	1.80%	1.04%	2.50%	0.62%	1.89%	1.03%	1.30%	0.93%	0.42%	0.90%	0.90%	0.60%	1.37%	0.00%	0.00%	1.09%	1.24%	0.86%	2.13%	2.73%	0.58%	0.43%	1.01%	0.00%	0.47%	0.00%	0.27%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
