Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Иссинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395					
18	. Глазьев Сергей Юрьевич	189	22	2	2	12	0	5	2	4	4	5	13	22	16	34	3	8	1	3	1	5	6	2	4	6	7					
		2.49%	4.02%	2.82%	1.57%	3.61%	0.00%	2.01%	2.70%	1.06%	3.05%	4.10%	6.74%	2.46%	1.74%	3.48%	1.19%	2.20%	0.88%	1.14%	0.99%	4.46%	1.92%	1.47%	1.13%	2.91%	3.08%					
19	. Малышкин Олег Александрович	179	12	0	1	6	0	5	1	10	0	0	4	20	16	24	2	20	1	5	6	3	15	6	3	7	12					
		2.36%	2.19%	0.00%	0.79%	1.81%	0.00%	2.01%	1.35%	2.65%	0.00%	0.00%	2.07%	2.23%	1.74%	2.45%	0.79%	5.51%	0.88%	1.90%	5.94%	2.68%	4.79%	4.41%	0.85%	3.40%	5.29%					
20	. Миронов Сергей Михайлович	68	4	1	1	5	3	0	2	2	3	0	0	7	9	15	1	2	1	2	0	0	3	2	1	4	0					
		0.90%	0.73%	1.41%	0.79%	1.51%	2.34%	0.00%	2.70%	0.53%	2.29%	0.00%	0.00%	0.78%	0.98%	1.53%	0.40%	0.55%	0.88%	0.76%	0.00%	0.00%	0.96%	1.47%	0.28%	1.94%	0.00%					
21	. Путин Владимир Владимирович	5024	348	49	82	176	63	175	57	293	86	68	129	591	581	634	207	257	64	214	81	77	165	73	275	142	137					
		66.22%	63.62%	69.01%	64.57%	53.01%	49.22%	70.28%	77.03%	77.51%	65.65%	55.74%	66.84%	66.03%	63.02%	64.83%	82.14%	70.80%	56.64%	81.37%	80.20%	68.75%	52.72%	53.68%	77.68%	68.93%	60.35%					
22	. Хакамада Ирина Муцуовна	99	5	1	0	4	3	7	2	7	2	3	3	18	12	14	1	2	2	3	0	1	1	1	1	4	2					
		1.30%	0.91%	1.41%	0.00%	1.20%	2.34%	2.81%	2.70%	1.85%	1.53%	2.46%	1.55%	2.01%	1.30%	1.43%	0.40%	0.55%	1.77%	1.14%	0.00%	0.89%	0.32%	0.74%	0.28%	1.94%	0.88%					
23	. Харитонов Николай Михайлович	1829	128	16	40	115	58	55	7	51	36	46	39	214	269	231	33	71	44	33	12	22	116	49	46	36	62					
		24.11%	23.40%	22.54%	31.50%	34.64%	45.31%	22.09%	9.46%	13.49%	27.48%	37.70%	20.21%	23.91%	29.18%	23.62%	13.10%	19.56%	38.94%	12.55%	11.88%	19.64%	37.06%	36.03%	12.99%	17.48%	27.31%					
																																
24	Против всех	122	11	1	0	11	0	2	2	9	0	0	5	16	14	26	1	2	0	2	1	1	5	3	4	3	3					
		1.61%	2.01%	1.41%	0.00%	3.31%	0.00%	0.80%	2.70%	2.38%	0.00%	0.00%	2.59%	1.79%	1.52%	2.66%	0.40%	0.55%	0.00%	0.76%	0.99%	0.89%	1.60%	2.21%	1.13%	1.46%	1.32%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
