Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Нюксенская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673					
24	Против всех	115	1	2	1	3	1	4	4	0	5	10	6	1	0	2	2	0	8	2	6	18	10	24	5					
		1.64%	0.37%	0.84%	0.66%	0.99%	0.42%	1.69%	2.65%	0.00%	2.27%	1.82%	2.88%	2.50%	0.00%	1.57%	1.29%	0.00%	1.69%	2.70%	1.69%	1.71%	3.58%	2.17%	1.46%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
