Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Партизанская городская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК  748	УИК  749	УИК  750	УИК  751	УИК  752	УИК  753	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК №790					
11	Число полученных открепительных  удостоверений	572	21	10	12	10	15	11	13	17	22	19	19	7	20	9	7	37	30	28	7	10	33	17	8	13	27	5	5	15	15	15	20	1	18	7	20	5	5	3	5	5	1	5	0					
12	Число выданных открепительных удостоверений	527	17	10	12	9	14	10	12	16	22	19	18	5	16	7	7	37	29	28	7	10	31	17	7	13	27	5	5	14	13	12	18	1	18	5	20	2	4	3	0	2	1	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	413	1	26	6	4	5	6	6	8	4	5	7	3	6	9	6	6	33	10	15	4	8	6	18	5	9	8	30	15	13	10	2	2	8	3	4	7	4	6	6	17	7	2	53					
14	Число неиспользованных открепительных удостоверений	45	4	0	0	1	1	1	1	1	0	0	1	2	4	2	0	0	1	0	0	0	2	0	1	0	0	0	0	1	2	3	2	0	0	2	0	3	1	0	5	3	0	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	23	0	0	1	0	0	1	2	0	0	3	1	3	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	2	0	1	0	0	0	1	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	1332	17	59	37	32	22	28	40	43	67	39	27	31	40	31	33	55	65	57	11	13	64	32	38	33	51	15	4	35	38	21	31	0	80	25	62	2	10	4	2	9	14	7	8					
		5.38%	4.02%	6.58%	4.83%	7.84%	4.75%	5.85%	7.18%	6.57%	6.59%	4.99%	4.07%	6.44%	5.08%	4.81%	6.61%	5.77%	6.94%	5.97%	4.00%	4.06%	5.91%	4.55%	7.79%	4.42%	4.30%	9.04%	1.69%	4.26%	5.54%	5.29%	5.33%	0.00%	5.10%	5.18%	5.13%	1.39%	12.05%	2.21%	2.20%	5.36%	4.05%	3.24%	5.06%					
19	. Малышкин Олег Александрович	1411	20	50	38	34	23	29	33	47	62	29	37	33	52	43	21	43	50	49	15	28	70	44	28	42	64	12	9	77	48	21	32	1	79	46	41	12	5	13	3	9	10	7	2					
		5.70%	4.73%	5.58%	4.96%	8.33%	4.97%	6.05%	5.92%	7.19%	6.10%	3.71%	5.58%	6.86%	6.61%	6.67%	4.21%	4.51%	5.34%	5.14%	5.45%	8.75%	6.46%	6.26%	5.74%	5.63%	5.40%	7.23%	3.81%	9.38%	7.00%	5.29%	5.50%	1.52%	5.04%	9.52%	3.39%	8.33%	6.02%	7.18%	3.30%	5.36%	2.89%	3.24%	1.27%					
20	. Миронов Сергей Михайлович	321	9	10	10	5	9	9	3	6	9	14	10	6	7	4	7	5	12	16	2	7	21	6	4	6	18	3	3	12	9	5	5	2	25	7	18	2	2	3	0	3	3	3	1					
		1.30%	2.13%	1.12%	1.31%	1.23%	1.94%	1.88%	0.54%	0.92%	0.88%	1.79%	1.51%	1.25%	0.89%	0.62%	1.40%	0.52%	1.28%	1.68%	0.73%	2.19%	1.94%	0.85%	0.82%	0.80%	1.52%	1.81%	1.27%	1.46%	1.31%	1.26%	0.86%	3.03%	1.59%	1.45%	1.49%	1.39%	2.41%	1.66%	0.00%	1.79%	0.87%	1.39%	0.63%					
21	. Путин Владимир Владимирович	13820	212	434	420	205	247	221	318	324	552	450	373	284	478	393	289	553	529	493	152	178	608	412	272	433	806	83	203	452	374	227	376	52	747	224	571	65	42	126	60	102	238	144	98					
		55.81%	50.12%	48.44%	54.83%	50.25%	53.35%	46.14%	57.09%	49.54%	54.28%	57.54%	56.26%	59.04%	60.74%	60.93%	57.92%	58.03%	56.52%	51.68%	55.27%	55.62%	56.14%	58.61%	55.74%	58.04%	68.02%	50.00%	86.02%	55.05%	54.52%	57.18%	64.60%	78.79%	47.64%	46.38%	47.27%	45.14%	50.60%	69.61%	65.93%	60.71%	68.79%	66.67%	62.03%					
22	. Хакамада Ирина Муцуовна	1058	22	44	26	15	34	21	20	42	70	38	32	24	30	34	32	47	32	42	18	21	56	39	21	35	29	9	1	30	26	7	13	3	43	14	39	3	5	12	0	8	14	4	3					
		4.27%	5.20%	4.91%	3.39%	3.68%	7.34%	4.38%	3.59%	6.42%	6.88%	4.86%	4.83%	4.99%	3.81%	5.27%	6.41%	4.93%	3.42%	4.40%	6.55%	6.56%	5.17%	5.55%	4.30%	4.69%	2.45%	5.42%	0.42%	3.65%	3.79%	1.76%	2.23%	4.55%	2.74%	2.90%	3.23%	2.08%	6.02%	6.63%	0.00%	4.76%	4.05%	1.85%	1.90%					
23	. Харитонов Николай Михайлович	5412	124	233	190	90	88	147	114	160	170	162	141	83	140	107	96	189	175	236	68	54	183	141	103	155	163	39	13	169	155	100	95	6	491	150	427	42	16	17	25	29	45	48	33					
		21.86%	29.31%	26.00%	24.80%	22.06%	19.01%	30.69%	20.47%	24.46%	16.72%	20.72%	21.27%	17.26%	17.79%	16.59%	19.24%	19.83%	18.70%	24.74%	24.73%	16.88%	16.90%	20.06%	21.11%	20.78%	13.76%	23.49%	5.51%	20.58%	22.59%	25.19%	16.32%	9.09%	31.31%	31.06%	35.35%	29.17%	19.28%	9.39%	27.47%	17.26%	13.01%	22.22%	20.89%					
																																																		
24	Против всех	1068	17	54	35	13	31	16	27	24	70	47	35	13	31	29	16	61	61	44	7	17	64	20	15	25	44	3	3	33	24	13	26	2	57	6	36	12	2	1	1	4	15	2	12					
		4.31%	4.02%	6.03%	4.57%	3.19%	6.70%	3.34%	4.85%	3.67%	6.88%	6.01%	5.28%	2.70%	3.94%	4.50%	3.21%	6.40%	6.52%	4.61%	2.55%	5.31%	5.91%	2.84%	3.07%	3.35%	3.71%	1.81%	1.27%	4.02%	3.50%	3.27%	4.47%	3.03%	3.64%	1.24%	2.98%	8.33%	2.41%	0.55%	1.10%	2.38%	4.34%	0.93%	7.59%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
