Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Краснокаменская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459					
18	. Глазьев Сергей Юрьевич	1138	45	28	28	23	27	7	28	29	44	45	43	42	53	33	45	31	50	40	58	53	24	71	39	50	47	45	4	23	5	14	17	8	12	1	9	1	7	6	3					
		3.93%	4.31%	3.35%	3.92%	3.34%	3.93%	1.31%	3.75%	3.60%	5.24%	4.99%	3.90%	4.28%	5.60%	3.74%	4.10%	3.35%	5.45%	4.71%	5.09%	5.03%	2.88%	6.25%	4.30%	4.51%	4.26%	3.99%	2.72%	2.87%	1.60%	2.51%	2.72%	1.53%	3.30%	0.60%	2.68%	0.30%	1.44%	2.52%	1.73%					
19	. Малышкин Олег Александрович	919	34	16	38	32	21	28	22	31	26	15	34	17	26	28	32	29	34	37	39	24	28	40	41	36	37	40	3	32	7	10	13	20	4	0	11	9	12	9	4					
		3.17%	3.26%	1.91%	5.31%	4.64%	3.06%	5.22%	2.95%	3.85%	3.10%	1.66%	3.09%	1.73%	2.75%	3.17%	2.92%	3.14%	3.71%	4.35%	3.42%	2.28%	3.36%	3.52%	4.52%	3.25%	3.35%	3.55%	2.04%	3.99%	2.24%	1.79%	2.08%	3.82%	1.10%	0.00%	3.27%	2.73%	2.47%	3.78%	2.31%					
20	. Миронов Сергей Михайлович	288	14	12	7	5	8	1	6	8	5	7	14	11	13	12	13	12	15	8	11	12	12	14	5	6	10	13	4	8	2	3	7	2	3	0	1	1	2	1	0					
		0.99%	1.34%	1.44%	0.98%	0.73%	1.16%	0.19%	0.80%	0.99%	0.60%	0.78%	1.27%	1.12%	1.37%	1.36%	1.19%	1.30%	1.64%	0.94%	0.97%	1.14%	1.44%	1.23%	0.55%	0.54%	0.91%	1.15%	2.72%	1.00%	0.64%	0.54%	1.12%	0.38%	0.82%	0.00%	0.30%	0.30%	0.41%	0.42%	0.00%					
21	. Путин Владимир Владимирович	20862	734	579	499	483	493	442	546	578	613	631	755	661	659	584	781	667	649	598	811	753	612	822	650	813	812	783	107	591	238	423	475	421	272	139	267	243	340	182	156					
		72.01%	70.31%	69.26%	69.79%	70.10%	71.76%	82.46%	73.19%	71.80%	73.06%	69.96%	68.51%	67.38%	69.66%	66.21%	71.19%	72.11%	70.77%	70.35%	71.20%	71.51%	73.38%	72.36%	71.66%	73.38%	73.55%	69.48%	72.79%	73.69%	76.04%	75.81%	75.88%	80.50%	74.73%	83.23%	79.46%	73.64%	69.96%	76.47%	90.17%					
22	. Хакамада Ирина Муцуовна	1071	50	30	32	39	22	9	25	24	29	42	37	52	38	39	39	40	42	41	45	45	42	38	41	41	50	56	5	30	2	3	9	6	8	1	5	5	1	3	5					
		3.70%	4.79%	3.59%	4.48%	5.66%	3.20%	1.68%	3.35%	2.98%	3.46%	4.66%	3.36%	5.30%	4.02%	4.42%	3.56%	4.32%	4.58%	4.82%	3.95%	4.27%	5.04%	3.35%	4.52%	3.70%	4.53%	4.97%	3.40%	3.74%	0.64%	0.54%	1.44%	1.15%	2.20%	0.60%	1.49%	1.52%	0.21%	1.26%	2.89%					
23	. Харитонов Николай Михайлович	3376	110	125	69	82	76	33	87	99	92	123	148	148	117	137	126	89	85	97	122	125	77	105	80	115	106	128	17	76	46	93	87	50	48	24	33	62	109	27	3					
		11.65%	10.54%	14.95%	9.65%	11.90%	11.06%	6.16%	11.66%	12.30%	10.97%	13.64%	13.43%	15.09%	12.37%	15.53%	11.49%	9.62%	9.27%	11.41%	10.71%	11.87%	9.23%	9.24%	8.82%	10.38%	9.60%	11.36%	11.56%	9.48%	14.70%	16.67%	13.90%	9.56%	13.19%	14.37%	9.82%	18.79%	22.43%	11.34%	1.73%					
																																														
24	Против всех	1060	49	39	29	19	29	12	24	30	28	32	65	36	29	41	51	44	39	27	47	40	36	41	48	43	40	51	6	29	5	4	9	10	8	1	4	3	3	8	1					
		3.66%	4.69%	4.67%	4.06%	2.76%	4.22%	2.24%	3.22%	3.73%	3.34%	3.55%	5.90%	3.67%	3.07%	4.65%	4.65%	4.76%	4.25%	3.18%	4.13%	3.80%	4.32%	3.61%	5.29%	3.88%	3.62%	4.53%	4.08%	3.62%	1.60%	0.72%	1.44%	1.91%	2.20%	0.60%	1.19%	0.91%	0.62%	3.36%	0.58%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
