Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Ахвахская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91					
		0.48%	0.04%	0.00%	0.00%	0.00%	2.52%	0.00%	0.60%	0.00%	1.91%	1.20%	0.15%	0.00%	0.34%	0.00%	2.74%	0.00%	0.51%	0.77%	2.46%	0.34%	0.00%	3.72%	3.33%	0.00%	0.85%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10310	2541	124	391	103	221	291	479	376	243	319	636	578	279	352	125	301	561	371	341	282	236	194	51	60	220	342	293					
		93.64%	98.99%	89.86%	99.49%	94.50%	92.86%	92.38%	95.61%	96.16%	92.75%	95.80%	97.70%	80.61%	94.58%	89.80%	85.62%	95.25%	94.60%	95.62%	93.17%	95.27%	91.12%	90.23%	85.00%	82.19%	94.02%	75.50%	94.82%					
22	. Хакамада Ирина Муцуовна	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	480	10	11	0	2	4	16	8	0	11	7	10	130	11	35	14	11	8	5	10	12	13	9	0	12	10	111	10					
		4.36%	0.39%	7.97%	0.00%	1.83%	1.68%	5.08%	1.60%	0.00%	4.20%	2.10%	1.54%	18.13%	3.73%	8.93%	9.59%	3.48%	1.35%	1.29%	2.73%	4.05%	5.02%	4.19%	0.00%	16.44%	4.27%	24.50%	3.24%					
																																		
24	Против всех	18	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	5	1	1	0	0	0	0	0	1	0	2					
		0.16%	0.12%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.84%	0.26%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.65%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
