Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Донская городская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311					
12	Число выданных открепительных удостоверений	761	4	21	36	30	29	40	0	26	23	29	22	28	3	13	6	12	0	17	9	8	20	15	29	22	18	24	17	1	0	30	35	45	0	30	30	2	31	46	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	573	7	16	7	9	17	8	71	5	64	11	9	11	3	10	12	10	87	14	6	7	2	7	6	7	8	10	11	1	37	9	8	6	34	18	1	1	6	9	8					
14	Число неиспользованных открепительных удостоверений	305	6	9	4	0	11	10	0	14	7	1	8	2	7	7	4	8	0	13	11	2	10	15	11	18	12	16	3	9	0	0	15	25	0	10	0	8	9	4	16					
15	"Число открепительных удостоверений, выданных в ТИК"	54	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	1331	18	47	70	33	42	63	0	54	38	63	47	43	6	30	44	29	2	29	14	14	30	37	93	50	56	52	36	11	0	17	40	25	0	18	60	10	52	44	14					
		4.74%	8.14%	5.52%	5.64%	3.80%	3.90%	4.88%	0.00%	5.64%	4.81%	6.31%	5.80%	4.44%	2.19%	3.67%	8.09%	4.78%	1.42%	4.68%	3.76%	4.32%	3.18%	4.67%	8.72%	6.35%	5.26%	4.40%	4.40%	6.59%	0.00%	3.06%	4.44%	2.19%	0.00%	2.18%	5.23%	3.61%	6.64%	3.46%	3.41%					
19	. Малышкин Олег Александрович	741	8	23	41	21	32	31	3	23	15	32	15	20	9	15	9	18	1	20	8	7	18	28	22	26	31	37	24	5	4	15	19	35	1	32	17	4	20	43	9					
		2.64%	3.62%	2.70%	3.30%	2.42%	2.97%	2.40%	4.17%	2.40%	1.90%	3.20%	1.85%	2.07%	3.28%	1.83%	1.65%	2.97%	0.71%	3.23%	2.15%	2.16%	1.91%	3.54%	2.06%	3.30%	2.91%	3.13%	2.93%	2.99%	10.81%	2.70%	2.11%	3.07%	2.94%	3.88%	1.48%	1.44%	2.55%	3.38%	2.19%					
20	. Миронов Сергей Михайлович	165	4	6	7	5	7	8	0	4	2	7	4	9	0	7	6	1	1	7	1	4	7	2	3	4	7	7	7	0	1	2	5	3	1	5	5	1	4	10	1					
		0.59%	1.81%	0.71%	0.56%	0.58%	0.65%	0.62%	0.00%	0.42%	0.25%	0.70%	0.49%	0.93%	0.00%	0.86%	1.10%	0.16%	0.71%	1.13%	0.27%	1.23%	0.74%	0.25%	0.28%	0.51%	0.66%	0.59%	0.85%	0.00%	2.70%	0.36%	0.55%	0.26%	2.94%	0.61%	0.44%	0.36%	0.51%	0.79%	0.24%					
21	. Путин Владимир Владимирович	18532	144	558	781	550	748	880	54	635	560	653	522	622	188	583	356	401	100	398	261	204	597	495	673	472	715	692	523	96	29	398	635	805	31	571	787	192	476	888	259					
		66.06%	65.16%	65.57%	62.88%	63.36%	69.45%	68.11%	75.00%	66.35%	70.89%	65.37%	64.44%	64.26%	68.61%	71.27%	65.44%	66.06%	70.92%	64.19%	70.16%	62.96%	63.38%	62.50%	63.13%	59.97%	67.14%	58.50%	63.86%	57.49%	78.38%	71.58%	70.48%	70.55%	91.18%	69.30%	68.61%	69.31%	60.79%	69.76%	63.02%					
22	. Хакамада Ирина Муцуовна	622	8	24	31	31	31	47	3	29	22	20	16	27	6	16	9	12	1	16	10	9	20	13	22	17	14	8	12	1	0	10	7	19	0	10	26	6	24	38	7					
		2.22%	3.62%	2.82%	2.50%	3.57%	2.88%	3.64%	4.17%	3.03%	2.78%	2.00%	1.98%	2.79%	2.19%	1.96%	1.65%	1.98%	0.71%	2.58%	2.69%	2.78%	2.12%	1.64%	2.06%	2.16%	1.31%	0.68%	1.47%	0.60%	0.00%	1.80%	0.78%	1.67%	0.00%	1.21%	2.27%	2.17%	3.07%	2.99%	1.70%					
23	. Харитонов Николай Михайлович	5200	24	141	243	171	156	195	5	172	118	170	166	198	50	139	94	128	32	114	65	65	219	181	193	174	185	349	170	43	2	103	124	185	1	136	209	52	155	169	104					
		18.54%	10.86%	16.57%	19.57%	19.70%	14.48%	15.09%	6.94%	17.97%	14.94%	17.02%	20.49%	20.45%	18.25%	16.99%	17.28%	21.09%	22.70%	18.39%	17.47%	20.06%	23.25%	22.85%	18.11%	22.11%	17.37%	29.50%	20.76%	25.75%	5.41%	18.53%	13.76%	16.21%	2.94%	16.50%	18.22%	18.77%	19.80%	13.28%	25.30%					
																																														
24	Против всех	1201	11	44	63	48	52	64	7	32	29	48	33	41	12	24	22	15	3	27	12	18	35	32	46	36	44	31	41	10	1	9	34	52	0	47	40	9	46	68	15					
		4.28%	4.98%	5.17%	5.07%	5.53%	4.83%	4.95%	9.72%	3.34%	3.67%	4.80%	4.07%	4.24%	4.38%	2.93%	4.04%	2.47%	2.13%	4.35%	3.23%	5.56%	3.72%	4.04%	4.32%	4.57%	4.13%	2.62%	5.01%	5.99%	2.70%	1.62%	3.77%	4.56%	0.00%	5.70%	3.49%	3.25%	5.87%	5.34%	3.65%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
