Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Березниковская городская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367					
11	Число полученных открепительных  удостоверений	1703	50	30	30	5	15	10	25	25	40	20	5	10	20	25	45	13	31	29	15	30	25	35	25	15	25	20	25	30	25	30	30	40	35	31	29	25	30	25	25	30	25	30	25	25	25	30	20	25	24	50	25	30	60	30	35	25	25	25	26	30	25	20	35	5	0	0	0					
12	Число выданных открепительных удостоверений	1417	40	28	28	4	14	9	22	21	39	17	0	10	13	24	43	11	29	26	11	21	17	27	22	13	18	18	19	28	21	29	28	29	29	31	28	13	30	19	17	22	16	22	17	15	24	30	9	18	24	41	21	28	45	27	32	18	21	19	22	23	25	20	28	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1071	15	38	13	5	37	4	9	96	32	26	4	3	5	17	25	12	22	9	5	12	16	19	9	15	10	9	13	13	5	18	10	8	7	13	14	18	18	2	11	7	8	25	11	16	10	18	7	14	7	9	13	14	10	11	10	19	9	9	13	14	8	14	18	19	22	107	12					
14	Число неиспользованных открепительных удостоверений	286	10	2	2	1	1	1	3	4	1	3	5	0	7	1	2	2	2	3	4	9	8	8	3	2	7	2	6	2	4	1	2	11	6	0	1	12	0	6	8	8	9	8	8	10	1	0	11	7	0	9	4	2	15	3	3	7	4	6	4	7	0	0	7	1	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	159	4	5	7	0	3	1	3	0	3	3	0	2	1	3	5	1	6	2	0	2	3	5	1	1	0	0	3	1	2	4	5	2	1	0	4	8	3	2	3	3	2	4	3	0	0	6	3	3	5	2	0	1	4	3	2	3	2	4	2	4	2	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																										
18	. Глазьев Сергей Юрьевич	3367	93	56	51	3	18	1	49	40	71	75	3	18	41	53	73	31	67	88	27	72	46	56	44	39	30	46	41	58	71	66	55	57	96	71	72	47	70	51	51	71	64	60	35	33	57	85	60	55	44	72	49	60	54	78	64	43	81	53	29	86	44	30	16	2	9	35	1					
		4.26%	5.81%	4.07%	3.65%	2.88%	2.72%	0.60%	4.35%	3.50%	4.63%	5.63%	3.00%	3.12%	3.31%	3.91%	4.14%	4.63%	5.33%	7.20%	3.95%	4.75%	3.04%	3.83%	3.82%	3.64%	3.65%	3.65%	3.35%	3.78%	5.53%	4.98%	3.34%	3.93%	5.89%	4.52%	4.58%	3.47%	4.88%	5.11%	4.36%	4.54%	4.47%	3.93%	3.24%	4.14%	4.49%	5.29%	5.19%	3.98%	3.98%	5.21%	4.45%	3.61%	3.64%	4.37%	3.87%	3.93%	6.06%	4.57%	2.61%	4.83%	3.21%	3.35%	1.72%	2.11%	3.53%	5.62%	0.89%					
19	. Малышкин Олег Александрович	2163	32	35	46	1	18	6	29	27	41	27	9	19	24	40	42	7	38	24	23	41	46	30	37	34	18	41	39	36	36	43	53	37	35	47	37	52	36	26	31	46	37	37	33	19	36	46	45	39	35	35	33	55	33	52	56	24	24	23	32	46	41	29	35	0	8	19	2					
		2.74%	2.00%	2.55%	3.29%	0.96%	2.72%	3.57%	2.57%	2.36%	2.67%	2.03%	9.00%	3.30%	1.94%	2.95%	2.38%	1.04%	3.02%	1.96%	3.36%	2.71%	3.04%	2.05%	3.21%	3.18%	2.19%	3.26%	3.19%	2.35%	2.80%	3.24%	3.21%	2.55%	2.15%	2.99%	2.36%	3.84%	2.51%	2.60%	2.65%	2.94%	2.59%	2.42%	3.06%	2.38%	2.84%	2.86%	3.90%	2.82%	3.16%	2.53%	3.00%	3.31%	2.23%	2.91%	3.39%	2.20%	1.80%	1.98%	2.89%	2.58%	2.99%	3.24%	3.76%	0.00%	3.14%	3.05%	1.79%					
20	. Миронов Сергей Михайлович	589	9	10	14	2	3	2	7	7	2	19	0	5	8	6	7	8	12	13	1	14	7	10	8	6	3	12	9	8	4	11	14	12	13	12	12	13	11	10	11	10	15	11	5	4	8	11	8	5	14	14	4	9	14	15	7	8	10	8	7	17	26	4	2	0	6	12	0					
		0.75%	0.56%	0.73%	1.00%	1.92%	0.45%	1.19%	0.62%	0.61%	0.13%	1.43%	0.00%	0.87%	0.65%	0.44%	0.40%	1.19%	0.95%	1.06%	0.15%	0.92%	0.46%	0.68%	0.69%	0.56%	0.36%	0.95%	0.74%	0.52%	0.31%	0.83%	0.85%	0.83%	0.80%	0.76%	0.76%	0.96%	0.77%	1.00%	0.94%	0.64%	1.05%	0.72%	0.46%	0.50%	0.63%	0.68%	0.69%	0.36%	1.27%	1.01%	0.36%	0.54%	0.94%	0.84%	0.42%	0.73%	0.75%	0.69%	0.63%	0.96%	1.90%	0.45%	0.22%	0.00%	2.35%	1.93%	0.00%					
21	. Путин Владимир Владимирович	59254	1211	1026	982	86	511	143	810	837	1166	924	69	428	946	1030	1346	466	930	817	513	1060	1188	1123	874	819	669	949	936	1185	924	998	1248	1080	1220	1152	1180	1049	1080	723	859	1153	1033	1163	800	602	971	1194	854	1067	837	1043	848	1266	1117	1331	1252	820	991	850	844	1313	1033	699	780	86	189	464	97					
		74.96%	75.69%	74.62%	70.19%	82.69%	77.31%	85.12%	71.87%	73.16%	76.01%	69.32%	69.00%	74.31%	76.48%	75.96%	76.26%	69.55%	73.99%	66.80%	75.00%	69.97%	78.47%	76.87%	75.80%	76.54%	81.29%	75.38%	76.47%	77.30%	71.91%	75.26%	75.68%	74.48%	74.80%	73.38%	75.11%	77.47%	75.26%	72.37%	73.48%	73.77%	72.19%	76.16%	74.14%	75.44%	76.52%	74.25%	73.94%	77.15%	75.68%	75.52%	77.02%	76.13%	75.32%	74.57%	75.70%	75.02%	74.12%	73.34%	76.10%	73.76%	75.35%	78.01%	83.87%	90.53%	74.12%	74.48%	86.61%					
22	. Хакамада Ирина Муцуовна	4241	87	78	98	4	20	1	84	100	99	104	3	33	64	73	106	59	69	83	33	133	68	74	57	42	14	69	61	82	73	69	85	79	92	72	76	60	75	57	67	66	83	65	84	41	44	113	73	57	66	54	51	86	72	87	91	61	64	66	49	106	58	38	29	2	11	21	0					
		5.36%	5.44%	5.67%	7.01%	3.85%	3.03%	0.60%	7.45%	8.74%	6.45%	7.80%	3.00%	5.73%	5.17%	5.38%	6.01%	8.81%	5.49%	6.79%	4.82%	8.78%	4.49%	5.07%	4.94%	3.93%	1.70%	5.48%	4.98%	5.35%	5.68%	5.20%	5.15%	5.45%	5.64%	4.59%	4.84%	4.43%	5.23%	5.71%	5.73%	4.22%	5.80%	4.26%	7.78%	5.14%	3.47%	7.03%	6.32%	4.12%	5.97%	3.91%	4.63%	5.17%	4.86%	4.87%	5.50%	5.58%	4.79%	5.69%	4.42%	5.96%	4.23%	4.24%	3.12%	2.11%	4.31%	3.37%	0.00%					
23	. Харитонов Николай Михайлович	5452	101	97	121	3	66	12	95	65	58	104	7	43	105	93	100	59	70	122	58	102	99	113	94	82	56	83	78	101	100	77	84	108	101	154	117	82	94	81	98	110	111	105	50	59	81	104	59	103	74	90	69	103	98	141	103	73	95	83	89	125	103	44	40	4	19	31	3					
		6.90%	6.31%	7.05%	8.65%	2.88%	9.98%	7.14%	8.43%	5.68%	3.78%	7.80%	7.00%	7.47%	8.49%	6.86%	5.67%	8.81%	5.57%	9.98%	8.48%	6.73%	6.54%	7.73%	8.15%	7.66%	6.80%	6.59%	6.37%	6.59%	7.78%	5.81%	5.09%	7.45%	6.19%	9.81%	7.45%	6.06%	6.55%	8.11%	8.38%	7.04%	7.76%	6.88%	4.63%	7.39%	6.38%	6.47%	5.11%	7.45%	6.69%	6.52%	6.27%	6.19%	6.61%	7.90%	6.23%	6.68%	7.11%	7.16%	8.03%	7.02%	7.51%	4.91%	4.30%	4.21%	7.45%	4.98%	2.68%					
																																																																										
24	Против всех	3567	63	65	82	5	23	2	45	63	90	80	9	28	42	52	80	39	64	74	27	86	53	48	37	43	26	50	52	55	72	57	104	62	64	52	65	47	62	47	46	92	76	78	70	35	59	48	50	54	31	61	43	78	88	76	69	60	66	68	45	80	56	42	24	1	12	35	9					
		4.51%	3.94%	4.73%	5.86%	4.81%	3.48%	1.19%	3.99%	5.51%	5.87%	6.00%	9.00%	4.86%	3.40%	3.83%	4.53%	5.82%	5.09%	6.05%	3.95%	5.68%	3.50%	3.29%	3.21%	4.02%	3.16%	3.97%	4.25%	3.59%	5.60%	4.30%	6.31%	4.28%	3.92%	3.31%	4.14%	3.47%	4.32%	4.70%	3.93%	5.89%	5.31%	5.11%	6.49%	4.39%	4.65%	2.99%	4.33%	3.90%	2.80%	4.42%	3.91%	4.69%	5.93%	4.26%	4.17%	5.49%	4.94%	5.87%	4.06%	4.49%	4.08%	4.69%	2.58%	1.05%	4.71%	5.62%	8.04%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
