Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Варненская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639					
		0.57%	1.79%	0.95%	0.00%	0.61%	1.49%	1.08%	0.67%	0.47%	0.43%	0.19%	0.00%	0.27%	0.00%	0.98%	0.00%	0.00%	0.00%	2.46%	0.00%	1.32%	0.00%	0.00%	0.78%	0.00%	0.26%	0.95%	0.39%	0.00%	0.64%	0.38%	0.00%	0.66%	0.94%	0.33%	0.00%	1.00%	0.75%	0.12%	1.24%	0.36%					
21	. Путин Владимир Владимирович	11809	426	149	296	685	99	542	583	1052	791	813	205	284	100	404	127	113	141	148	45	377	87	119	178	77	456	167	377	64	457	131	119	65	257	190	229	177	88	644	183	364					
		69.98%	76.21%	70.62%	75.13%	69.26%	73.88%	65.14%	64.85%	69.90%	68.66%	75.77%	94.91%	75.33%	80.65%	79.53%	86.39%	86.92%	75.81%	72.91%	76.27%	62.42%	59.18%	76.77%	69.53%	77.00%	59.07%	79.15%	73.20%	87.67%	73.59%	49.62%	54.09%	43.05%	48.13%	63.33%	84.19%	88.06%	65.67%	76.48%	75.62%	64.65%					
22	. Хакамада Ирина Муцуовна	241	6	1	2	14	0	17	15	39	14	21	1	4	1	7	1	1	0	0	1	14	4	2	4	0	7	0	7	1	11	4	5	4	12	4	0	2	1	5	2	7					
		1.43%	1.07%	0.47%	0.51%	1.42%	0.00%	2.04%	1.67%	2.59%	1.22%	1.96%	0.46%	1.06%	0.81%	1.38%	0.68%	0.77%	0.00%	0.00%	1.69%	2.32%	2.72%	1.29%	1.56%	0.00%	0.91%	0.00%	1.36%	1.37%	1.77%	1.52%	2.27%	2.65%	2.25%	1.33%	0.00%	1.00%	0.75%	0.59%	0.83%	1.24%					
23	. Харитонов Николай Михайлович	3309	87	48	77	221	24	185	190	252	229	123	5	55	10	52	11	12	30	29	6	138	42	23	53	17	254	23	80	5	119	110	72	59	201	68	19	11	32	145	33	159					
		19.61%	15.56%	22.75%	19.54%	22.35%	17.91%	22.24%	21.13%	16.74%	19.88%	11.46%	2.31%	14.59%	8.06%	10.24%	7.48%	9.23%	16.13%	14.29%	10.17%	22.85%	28.57%	14.84%	20.70%	17.00%	32.90%	10.90%	15.53%	6.85%	19.16%	41.67%	32.73%	39.07%	37.64%	22.67%	6.99%	5.47%	23.88%	17.22%	13.64%	28.24%					
																																															
24	Против всех	363	5	5	3	8	2	21	36	49	31	39	0	7	8	11	5	1	0	6	1	17	2	3	3	1	11	3	20	0	6	5	5	3	19	6	1	0	3	6	4	7					
		2.15%	0.89%	2.37%	0.76%	0.81%	1.49%	2.52%	4.00%	3.26%	2.69%	3.63%	0.00%	1.86%	6.45%	2.17%	3.40%	0.77%	0.00%	2.96%	1.69%	2.81%	1.36%	1.94%	1.17%	1.00%	1.42%	1.42%	3.88%	0.00%	0.97%	1.89%	2.27%	1.99%	3.56%	2.00%	0.37%	0.00%	2.24%	0.71%	1.65%	1.24%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
