Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Панинская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК  2839	УИК  2840	УИК  2841					
11	Число полученных открепительных  удостоверений	241	45	10	15	10	2	2	5	2	3	2	4	2	2	2	2	2	23	2	2	2	2	3	2	3	8	8	5	3	7	3	2	3	2	23	14	3	2	2	2	2	3					
12	Число выданных открепительных удостоверений	178	41	10	11	9	0	2	5	2	3	0	2	0	0	1	0	0	23	2	0	0	0	0	0	2	7	8	4	0	2	3	0	3	0	22	9	3	0	2	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	115	18	3	6	4	6	2	3	2	3	3	1	2	2	1	1	0	2	1	2	1	2	4	2	2	4	4	4	2	1	3	3	6	0	3	2	0	0	4	2	2	2					
14	Число неиспользованных открепительных удостоверений	63	4	0	4	1	2	0	0	0	0	2	2	2	2	1	2	2	0	0	2	2	2	3	2	1	1	0	1	3	5	0	2	0	2	1	5	0	2	0	2	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	268	14	22	16	18	7	22	12	3	1	0	0	3	5	0	0	0	26	5	1	0	2	3	3	8	13	12	4	4	3	4	2	11	0	0	7	9	5	11	1	7	4					
		1.41%	1.19%	1.76%	2.16%	2.32%	3.66%	2.38%	1.64%	1.03%	0.49%	0.00%	0.00%	0.83%	1.33%	0.00%	0.00%	0.00%	2.17%	1.36%	0.49%	0.00%	0.77%	0.57%	1.36%	1.31%	2.33%	1.88%	1.10%	0.56%	0.85%	0.51%	1.01%	4.87%	0.00%	0.00%	3.18%	1.77%	1.68%	2.13%	0.42%	2.88%	0.87%					
19	. Малышкин Олег Александрович	444	30	20	7	24	2	28	18	7	3	5	1	7	10	0	1	0	37	12	8	1	7	3	3	16	15	9	16	11	11	10	8	5	3	19	7	20	17	20	1	5	17					
		2.33%	2.56%	1.60%	0.94%	3.09%	1.05%	3.03%	2.47%	2.41%	1.46%	1.62%	0.47%	1.94%	2.65%	0.00%	0.24%	0.00%	3.09%	3.27%	3.88%	1.04%	2.69%	0.57%	1.36%	2.61%	2.69%	1.41%	4.42%	1.55%	3.11%	1.27%	4.02%	2.21%	1.94%	3.54%	3.18%	3.94%	5.72%	3.88%	0.42%	2.06%	3.70%					
20	. Миронов Сергей Михайлович	122	2	11	3	10	6	6	10	1	0	1	1	1	2	0	0	0	7	0	3	0	1	0	2	2	9	0	4	2	3	6	1	2	5	7	2	3	3	1	3	1	1					
		0.64%	0.17%	0.88%	0.40%	1.29%	3.14%	0.65%	1.37%	0.34%	0.00%	0.32%	0.47%	0.28%	0.53%	0.00%	0.00%	0.00%	0.58%	0.00%	1.46%	0.00%	0.38%	0.00%	0.90%	0.33%	1.62%	0.00%	1.10%	0.28%	0.85%	0.76%	0.50%	0.88%	3.23%	1.30%	0.91%	0.59%	1.01%	0.19%	1.26%	0.41%	0.22%					
21	. Путин Владимир Владимирович	14234	796	967	502	547	137	577	476	213	161	243	176	310	309	297	401	215	844	307	159	58	216	420	153	476	352	519	294	551	288	656	164	173	91	333	145	338	241	405	192	197	335					
		74.79%	67.80%	77.36%	67.75%	70.40%	71.73%	62.38%	65.21%	73.45%	78.16%	78.90%	82.63%	86.11%	81.96%	87.87%	96.63%	88.11%	70.45%	83.65%	77.18%	60.42%	83.08%	79.85%	69.23%	77.65%	63.20%	81.09%	81.22%	77.50%	81.36%	83.57%	82.41%	76.55%	58.71%	62.01%	65.91%	66.54%	81.14%	78.49%	80.67%	81.07%	72.98%					
22	. Хакамада Ирина Муцуовна	241	21	18	11	18	0	23	14	4	2	4	2	1	2	2	1	0	31	4	4	0	1	2	1	4	12	5	2	15	1	1	2	4	2	5	2	10	0	1	3	2	4					
		1.27%	1.79%	1.44%	1.48%	2.32%	0.00%	2.49%	1.92%	1.38%	0.97%	1.30%	0.94%	0.28%	0.53%	0.59%	0.24%	0.00%	2.59%	1.09%	1.94%	0.00%	0.38%	0.38%	0.45%	0.65%	2.15%	0.78%	0.55%	2.11%	0.28%	0.13%	1.01%	1.77%	1.29%	0.93%	0.91%	1.97%	0.00%	0.19%	1.26%	0.82%	0.87%					
23	. Харитонов Николай Михайлович	3310	261	181	153	140	36	244	175	57	33	54	29	32	44	37	10	26	232	37	27	37	30	93	57	98	139	88	36	117	42	86	22	31	53	157	53	117	31	66	33	25	91					
		17.39%	22.23%	14.48%	20.65%	18.02%	18.85%	26.38%	23.97%	19.66%	16.02%	17.53%	13.62%	8.89%	11.67%	10.95%	2.41%	10.66%	19.37%	10.08%	13.11%	38.54%	11.54%	17.68%	25.79%	15.99%	24.96%	13.75%	9.94%	16.46%	11.86%	10.96%	11.06%	13.72%	34.19%	29.24%	24.09%	23.03%	10.44%	12.79%	13.87%	10.29%	19.83%					
																																																
24	Против всех	295	41	23	37	13	3	14	19	5	6	0	2	5	3	2	2	3	5	2	1	0	0	5	2	9	13	5	5	9	4	7	0	0	1	9	4	10	0	10	4	6	6					
		1.55%	3.49%	1.84%	4.99%	1.67%	1.57%	1.51%	2.60%	1.72%	2.91%	0.00%	0.94%	1.39%	0.80%	0.59%	0.48%	1.23%	0.42%	0.54%	0.49%	0.00%	0.00%	0.95%	0.90%	1.47%	2.33%	0.78%	1.38%	1.27%	1.13%	0.89%	0.00%	0.00%	0.65%	1.68%	1.82%	1.97%	0.00%	1.94%	1.68%	2.47%	1.31%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
