Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Пензенская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099					
		2.35%	1.70%	3.57%	0.85%	2.43%	2.19%	2.58%	0.00%	1.83%	0.00%	3.27%	1.40%	4.10%	0.79%	2.13%	1.32%	2.11%	2.85%	1.39%	2.41%	1.52%	0.86%	1.76%	2.12%	0.77%	1.06%	3.08%	2.72%	2.90%	3.29%	2.88%	3.23%	1.70%	0.58%	3.96%	0.68%	1.89%	3.66%	2.89%	1.79%	2.24%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
