Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Икрянинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165					
11	Число полученных открепительных  удостоверений	394	15	24	23	27	4	20	4	4	32	27	24	2	7	2	8	2	3	5	4	3	3	20	2	6	12	8	8	11	5	8	8	5	15	2	8	6	13	10	4					
12	Число выданных открепительных удостоверений	133	7	9	5	11	0	3	1	2	11	12	11	0	3	1	6	0	1	1	0	0	0	5	0	3	8	6	0	3	3	4	3	0	4	2	2	3	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	123	2	7	2	8	2	6	3	3	13	7	2	0	1	0	1	0	0	3	3	8	0	3	1	4	2	1	4	13	10	0	4	1	2	0	0	0	4	2	1					
14	Число неиспользованных открепительных удостоверений	261	8	15	18	16	4	17	3	2	21	15	13	2	4	1	2	2	2	4	4	3	3	15	2	3	4	2	8	8	2	4	5	5	11	0	6	3	10	10	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	721	67	28	36	81	2	32	13	11	73	55	34	0	12	4	4	2	6	9	1	6	0	50	0	31	12	5	14	14	16	10	10	6	23	3	7	5	19	11	9					
		3.38%	8.14%	2.30%	3.61%	5.81%	1.04%	3.25%	4.41%	3.72%	4.51%	3.58%	3.40%	0.00%	2.40%	3.92%	1.19%	1.03%	3.11%	2.49%	0.36%	2.33%	0.00%	5.07%	0.00%	8.78%	3.43%	2.53%	2.92%	2.23%	4.83%	2.31%	1.64%	2.02%	2.47%	2.56%	1.52%	1.23%	2.23%	1.83%	2.89%					
19	. Малышкин Олег Александрович	547	20	27	26	42	2	19	5	4	56	33	34	0	13	4	5	5	0	4	10	10	6	40	3	5	5	3	11	24	13	11	18	5	23	2	4	4	15	21	15					
		2.56%	2.43%	2.21%	2.61%	3.01%	1.04%	1.93%	1.69%	1.35%	3.46%	2.15%	3.40%	0.00%	2.61%	3.92%	1.49%	2.56%	0.00%	1.11%	3.65%	3.89%	3.17%	4.05%	1.90%	1.42%	1.43%	1.52%	2.29%	3.82%	3.93%	2.55%	2.96%	1.68%	2.47%	1.71%	0.87%	0.99%	1.76%	3.50%	4.82%					
20	. Миронов Сергей Михайлович	145	6	9	5	10	3	6	1	0	16	12	2	2	4	0	2	0	0	1	5	5	2	10	1	6	0	0	3	2	1	5	7	0	5	0	0	3	8	0	3					
		0.68%	0.73%	0.74%	0.50%	0.72%	1.55%	0.61%	0.34%	0.00%	0.99%	0.78%	0.20%	2.11%	0.80%	0.00%	0.60%	0.00%	0.00%	0.28%	1.82%	1.95%	1.06%	1.01%	0.63%	1.70%	0.00%	0.00%	0.62%	0.32%	0.30%	1.16%	1.15%	0.00%	0.54%	0.00%	0.00%	0.74%	0.94%	0.00%	0.96%					
21	. Путин Владимир Владимирович	14668	505	768	706	896	158	705	202	212	1139	1039	703	70	374	71	153	135	173	211	186	191	131	606	136	221	284	144	301	342	179	260	476	231	704	87	310	301	677	439	242					
		68.67%	61.36%	63.00%	70.74%	64.28%	81.87%	71.50%	68.47%	71.62%	70.44%	67.60%	70.30%	73.68%	74.95%	69.61%	45.67%	69.23%	89.64%	58.45%	67.88%	74.32%	69.31%	61.40%	86.08%	62.61%	81.14%	72.73%	62.71%	54.37%	54.08%	60.19%	78.16%	77.78%	75.62%	74.36%	67.25%	74.32%	79.37%	73.17%	77.81%					
22	. Хакамада Ирина Муцуовна	424	11	27	34	24	3	18	9	4	50	38	19	1	10	1	4	3	1	7	2	5	5	33	2	9	2	5	12	9	5	4	8	10	11	1	7	8	9	8	5					
		1.99%	1.34%	2.21%	3.41%	1.72%	1.55%	1.83%	3.05%	1.35%	3.09%	2.47%	1.90%	1.05%	2.00%	0.98%	1.19%	1.54%	0.52%	1.94%	0.73%	1.95%	2.65%	3.34%	1.27%	2.55%	0.57%	2.53%	2.50%	1.43%	1.51%	0.93%	1.31%	3.37%	1.18%	0.85%	1.52%	1.98%	1.06%	1.33%	1.61%					
23	. Харитонов Николай Михайлович	4098	183	307	159	286	19	176	58	55	199	287	175	16	71	21	149	47	11	119	65	28	36	216	13	65	40	29	125	216	106	122	75	36	120	21	122	78	105	114	28					
		19.19%	22.24%	25.18%	15.93%	20.52%	9.84%	17.85%	19.66%	18.58%	12.31%	18.67%	17.50%	16.84%	14.23%	20.59%	44.48%	24.10%	5.70%	32.96%	23.72%	10.89%	19.05%	21.88%	8.23%	18.41%	11.43%	14.65%	26.04%	34.34%	32.02%	28.24%	12.32%	12.12%	12.89%	17.95%	26.46%	19.26%	12.31%	19.00%	9.00%					
																																														
24	Против всех	515	24	29	20	37	5	25	7	2	72	63	32	2	11	1	11	3	0	8	2	6	6	20	2	16	2	8	11	15	8	6	7	8	21	2	3	3	9	4	4					
		2.41%	2.92%	2.38%	2.00%	2.65%	2.59%	2.54%	2.37%	0.68%	4.45%	4.10%	3.20%	2.11%	2.20%	0.98%	3.28%	1.54%	0.00%	2.22%	0.73%	2.33%	3.17%	2.03%	1.27%	4.53%	0.57%	4.04%	2.29%	2.38%	2.42%	1.39%	1.15%	2.69%	2.26%	1.71%	0.65%	0.74%	1.06%	0.67%	1.29%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
