Выборы Президента Российской Федерации																																																												
																																																												
"Наименование Избирательной комиссии:    Воронеж, Железнодорожная"																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953					
11	Число полученных открепительных  удостоверений	1246	17	17	25	35	130	20	30	40	10	20	20	20	30	31	20	25	20	20	40	20	17	20	20	30	30	22	25	20	10	20	20	25	30	22	30	30	28	15	15	15	45	20	20	10	7	20	20	20	5	10	15	15	5					
12	Число выданных открепительных удостоверений	915	13	10	19	22	120	14	24	31	4	17	13	16	17	22	19	19	14	16	29	16	16	17	16	26	27	18	20	11	9	19	14	16	26	13	25	19	16	7	6	9	30	12	13	3	4	10	13	14	0	6	8	12	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	704	14	10	13	29	18	15	15	14	6	12	5	15	11	13	16	18	13	12	11	12	4	9	13	15	11	6	5	12	16	12	4	28	20	53	16	10	12	9	11	7	15	11	18	6	4	16	13	14	11	6	9	5	31					
14	Число неиспользованных открепительных удостоверений	331	4	7	6	13	10	6	6	9	6	3	7	4	13	9	1	6	6	4	11	4	1	3	4	4	3	4	5	9	1	1	6	9	4	9	5	11	12	8	9	6	15	8	7	7	3	10	7	6	5	4	7	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	2819	48	21	42	53	69	77	74	75	66	76	55	66	55	69	75	90	64	61	72	66	52	58	85	71	60	55	44	28	55	59	58	41	51	56	56	56	49	29	48	30	45	49	71	35	21	35	74	66	21	16	25	22	24					
		5.28%	4.66%	4.17%	4.87%	5.30%	4.79%	6.71%	6.63%	6.63%	5.75%	5.82%	3.58%	5.59%	5.56%	6.10%	5.69%	7.48%	5.95%	6.21%	6.70%	6.48%	4.59%	5.09%	7.71%	6.41%	6.51%	5.86%	4.41%	3.62%	6.15%	5.73%	6.09%	3.87%	4.45%	5.47%	4.61%	5.09%	4.58%	3.65%	5.50%	3.28%	4.19%	4.80%	6.13%	3.50%	2.23%	3.54%	6.61%	6.13%	4.20%	3.63%	3.85%	3.20%	7.00%					
19	. Малышкин Олег Александрович	839	20	15	13	21	7	15	9	6	25	16	30	17	7	22	15	16	15	12	13	20	15	10	17	17	10	13	18	13	8	24	17	26	23	18	20	17	17	19	15	19	16	22	16	31	17	17	18	16	7	4	11	9	5					
		1.57%	1.94%	2.98%	1.51%	2.10%	0.49%	1.31%	0.81%	0.53%	2.18%	1.23%	1.95%	1.44%	0.71%	1.94%	1.14%	1.33%	1.40%	1.22%	1.21%	1.96%	1.33%	0.88%	1.54%	1.53%	1.09%	1.38%	1.80%	1.68%	0.89%	2.33%	1.79%	2.45%	2.01%	1.76%	1.64%	1.55%	1.59%	2.39%	1.72%	2.08%	1.49%	2.16%	1.38%	3.10%	1.80%	1.72%	1.61%	1.49%	1.40%	0.91%	1.69%	1.31%	1.46%					
20	. Миронов Сергей Михайлович	580	10	8	13	14	11	17	10	11	12	10	12	13	7	15	12	8	17	12	10	14	9	10	13	15	8	11	9	10	10	12	11	13	11	11	13	10	11	7	11	6	9	5	22	2	7	14	17	17	10	10	6	10	4					
		1.09%	0.97%	1.59%	1.51%	1.40%	0.76%	1.48%	0.90%	0.97%	1.05%	0.77%	0.78%	1.10%	0.71%	1.33%	0.91%	0.67%	1.58%	1.22%	0.93%	1.38%	0.80%	0.88%	1.18%	1.35%	0.87%	1.17%	0.90%	1.29%	1.12%	1.17%	1.16%	1.23%	0.96%	1.07%	1.07%	0.91%	1.03%	0.88%	1.26%	0.66%	0.84%	0.49%	1.90%	0.20%	0.74%	1.41%	1.52%	1.58%	2.00%	2.27%	0.92%	1.46%	1.17%					
21	. Путин Владимир Владимирович	33726	641	318	526	587	989	666	698	712	797	868	1201	728	564	632	839	663	654	557	597	601	684	669	634	642	517	546	636	527	564	639	600	661	746	662	760	700	706	500	539	556	716	680	715	688	750	676	685	677	336	290	458	490	239					
		63.17%	62.17%	63.10%	60.95%	58.70%	68.73%	58.01%	62.54%	62.95%	69.43%	66.51%	78.09%	61.69%	57.03%	55.83%	63.61%	55.11%	60.84%	56.66%	55.53%	59.04%	60.42%	58.74%	57.48%	57.94%	56.13%	58.15%	63.73%	68.18%	63.09%	62.04%	63.03%	62.36%	65.04%	64.65%	62.50%	63.64%	65.98%	62.89%	61.74%	60.83%	66.60%	66.67%	61.74%	68.87%	79.62%	68.28%	61.22%	62.86%	67.20%	65.76%	70.46%	71.32%	69.68%					
22	. Хакамада Ирина Муцуовна	2335	52	23	39	55	71	63	53	72	28	57	30	67	50	75	67	59	58	72	64	61	60	50	65	36	65	39	38	32	41	35	39	42	33	42	55	47	39	35	46	38	30	46	46	28	25	18	50	44	10	10	12	12	11					
		4.37%	5.04%	4.56%	4.52%	5.50%	4.93%	5.49%	4.75%	6.37%	2.44%	4.37%	1.95%	5.68%	5.06%	6.63%	5.08%	4.90%	5.40%	7.32%	5.95%	5.99%	5.30%	4.39%	5.89%	3.25%	7.06%	4.15%	3.81%	4.14%	4.59%	3.40%	4.10%	3.96%	2.88%	4.10%	4.52%	4.27%	3.64%	4.40%	5.27%	4.16%	2.79%	4.51%	3.97%	2.80%	2.65%	1.82%	4.47%	4.09%	2.00%	2.27%	1.85%	1.75%	3.21%					
23	. Харитонов Николай Михайлович	11228	219	102	204	241	233	277	238	225	184	230	174	251	271	284	277	311	220	231	270	209	272	296	238	296	230	241	215	141	193	206	194	227	224	206	266	233	205	178	185	235	221	188	236	169	104	203	239	222	105	102	122	133	52					
		21.03%	21.24%	20.24%	23.64%	24.10%	16.19%	24.13%	21.33%	19.89%	16.03%	17.62%	11.31%	21.27%	27.40%	25.09%	21.00%	25.85%	20.47%	23.50%	25.12%	20.53%	24.03%	25.99%	21.58%	26.71%	24.97%	25.67%	21.54%	18.24%	21.59%	20.00%	20.38%	21.42%	19.53%	20.12%	21.88%	21.18%	19.16%	22.39%	21.19%	25.71%	20.56%	18.43%	20.38%	16.92%	11.04%	20.51%	21.36%	20.61%	21.00%	23.13%	18.77%	19.36%	15.16%					
																																																												
24	Против всех	1542	36	15	20	24	55	28	33	23	32	43	28	32	31	30	31	45	38	33	39	36	38	41	47	23	27	30	22	21	20	53	26	33	50	21	37	31	36	22	21	23	34	27	46	30	13	20	31	25	9	5	13	10	5					
		2.89%	3.49%	2.98%	2.32%	2.40%	3.82%	2.44%	2.96%	2.03%	2.79%	3.30%	1.82%	2.71%	3.13%	2.65%	2.35%	3.74%	3.53%	3.36%	3.63%	3.54%	3.36%	3.60%	4.26%	2.08%	2.93%	3.19%	2.20%	2.72%	2.24%	5.15%	2.73%	3.11%	4.36%	2.05%	3.04%	2.82%	3.36%	2.77%	2.41%	2.52%	3.16%	2.65%	3.97%	3.00%	1.38%	2.02%	2.77%	2.32%	1.80%	1.13%	2.00%	1.46%	1.46%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
