Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Зареченская городская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	2618	125	139	90	133	130	36	83	115	140	125	87	100	84	126	125	120	82	98	104	89	130	137	81	66	30	20	23					
		8.53%	9.06%	10.70%	7.04%	9.12%	9.25%	6.94%	7.41%	8.98%	11.60%	9.31%	7.40%	7.40%	7.63%	9.98%	9.81%	9.61%	7.34%	8.28%	9.57%	7.79%	9.08%	11.10%	6.88%	6.28%	8.45%	4.42%	3.10%					
19	. Малышкин Олег Александрович	778	30	28	27	31	25	11	28	33	33	34	24	43	40	37	48	37	28	35	33	24	25	31	30	27	2	15	19					
		2.54%	2.17%	2.16%	2.11%	2.13%	1.78%	2.12%	2.50%	2.58%	2.73%	2.53%	2.04%	3.18%	3.63%	2.93%	3.77%	2.96%	2.51%	2.96%	3.04%	2.10%	1.75%	2.51%	2.55%	2.57%	0.56%	3.32%	2.56%					
20	. Миронов Сергей Михайлович	213	15	4	5	10	11	1	16	9	7	6	9	10	11	5	6	10	8	4	6	13	7	10	7	9	7	4	3					
		0.69%	1.09%	0.31%	0.39%	0.69%	0.78%	0.19%	1.43%	0.70%	0.58%	0.45%	0.77%	0.74%	1.00%	0.40%	0.47%	0.80%	0.72%	0.34%	0.55%	1.14%	0.49%	0.81%	0.59%	0.86%	1.97%	0.88%	0.40%					
21	. Путин Владимир Владимирович	18805	857	762	797	858	841	350	650	789	705	769	691	835	687	804	771	759	675	737	645	714	915	727	711	653	213	295	595					
		61.30%	62.10%	58.66%	62.31%	58.85%	59.86%	67.44%	58.04%	61.59%	58.41%	57.30%	58.76%	61.81%	62.40%	63.66%	60.52%	60.77%	60.43%	62.30%	59.34%	62.52%	63.94%	58.91%	60.41%	62.13%	60.00%	65.27%	80.19%					
22	. Хакамада Ирина Муцуовна	1494	101	52	53	64	91	44	48	51	55	67	86	49	63	32	55	49	51	67	54	53	67	59	89	44	14	15	21					
		4.87%	7.32%	4.00%	4.14%	4.39%	6.48%	8.48%	4.29%	3.98%	4.56%	4.99%	7.31%	3.63%	5.72%	2.53%	4.32%	3.92%	4.57%	5.66%	4.97%	4.64%	4.68%	4.78%	7.56%	4.19%	3.94%	3.32%	2.83%					
23	. Харитонов Николай Михайлович	4912	149	236	241	274	227	37	208	210	203	253	211	226	147	182	185	188	204	194	173	176	212	190	181	205	74	80	46					
		16.01%	10.80%	18.17%	18.84%	18.79%	16.16%	7.13%	18.57%	16.39%	16.82%	18.85%	17.94%	16.73%	13.35%	14.41%	14.52%	15.05%	18.26%	16.40%	15.92%	15.41%	14.81%	15.40%	15.38%	19.51%	20.85%	17.70%	6.20%					
																																		
24	Против всех	1656	95	70	57	75	77	36	77	64	58	79	60	79	64	73	71	81	54	44	67	63	72	64	73	40	12	20	31					
		5.40%	6.88%	5.39%	4.46%	5.14%	5.48%	6.94%	6.87%	5.00%	4.81%	5.89%	5.10%	5.85%	5.81%	5.78%	5.57%	6.49%	4.83%	3.72%	6.16%	5.52%	5.03%	5.19%	6.20%	3.81%	3.38%	4.42%	4.18%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
