Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Сергачская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161					
		1.65%	1.84%	2.43%	1.79%	2.66%	2.33%	1.39%	0.73%	2.97%	2.48%	1.88%	1.52%	2.18%	2.29%	0.57%	1.75%	0.42%	1.65%	0.00%	0.00%	0.00%	0.83%	1.13%	2.57%	1.13%	0.34%	1.23%	0.00%	1.12%	0.85%	0.95%	0.87%	0.88%	2.45%	1.78%	2.40%	0.98%	1.68%	1.09%	0.98%	0.00%	0.75%	0.95%					
23	. Харитонов Николай Михайлович	4234	183	209	249	131	247	262	158	121	170	163	108	196	175	45	126	91	61	30	42	27	47	104	96	35	73	73	37	23	100	59	79	104	74	74	35	52	21	28	49	88	161	28					
		25.65%	19.78%	29.90%	27.85%	16.60%	30.34%	33.16%	23.20%	17.95%	23.45%	20.45%	16.39%	23.79%	26.72%	25.71%	31.42%	18.96%	25.10%	36.59%	38.53%	33.75%	38.84%	29.46%	35.29%	19.77%	24.83%	44.79%	38.14%	25.84%	28.17%	56.19%	17.14%	22.96%	25.87%	21.96%	28.00%	25.37%	17.65%	15.30%	48.04%	41.90%	40.05%	26.67%					
																																																	
24	Против всех	374	21	23	41	10	25	26	14	17	17	22	46	44	22	0	0	0	0	0	0	0	0	4	1	0	7	3	0	0	3	0	7	6	0	3	4	1	2	2	0	0	0	3					
		2.27%	2.27%	3.29%	4.59%	1.27%	3.07%	3.29%	2.06%	2.52%	2.34%	2.76%	6.98%	5.34%	3.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.13%	0.37%	0.00%	2.38%	1.84%	0.00%	0.00%	0.85%	0.00%	1.52%	1.32%	0.00%	0.89%	3.20%	0.49%	1.68%	1.09%	0.00%	0.00%	0.00%	2.86%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
