Выборы Президента Российской Федерации																																																				
																																																				
"Наименование Избирательной комиссии:    Владимир, Фрунзенская"																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464					
14	Число неиспользованных открепительных удостоверений	269	11	4	13	14	2	4	0	5	7	12	9	7	2	1	1	3	1	10	4	10	6	7	2	1	6	7	5	3	10	6	7	12	7	9	4	4	6	11	11	6	4	5	10	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	33	0	0	0	0	1	0	0	0	0	2	2	1	2	0	0	0	1	2	0	2	0	2	0	1	1	3	2	0	0	1	2	0	0	0	0	2	1	0	1	2	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	3204	32	25	34	19	69	111	86	86	109	45	49	58	62	72	74	101	76	90	87	85	74	84	88	68	99	101	70	113	81	86	46	73	66	80	99	76	88	84	79	98	79	2	67	1	32					
		5.78%	3.84%	3.37%	4.39%	4.67%	4.36%	8.59%	7.27%	5.41%	6.52%	3.51%	4.15%	4.86%	5.04%	5.36%	5.72%	8.18%	5.49%	6.94%	5.73%	6.93%	5.52%	6.57%	6.44%	5.13%	6.27%	8.09%	4.72%	7.53%	5.74%	7.00%	4.19%	5.84%	4.85%	5.91%	6.75%	5.69%	5.99%	6.02%	5.47%	6.41%	5.30%	2.67%	4.77%	0.38%	6.45%					
19	. Малышкин Олег Александрович	1165	15	16	19	15	33	17	22	31	27	27	24	25	23	40	24	24	25	20	39	24	21	24	18	31	29	31	30	29	34	27	27	16	33	22	43	21	25	43	31	54	36	1	28	13	8					
		2.10%	1.80%	2.16%	2.45%	3.69%	2.08%	1.32%	1.86%	1.95%	1.61%	2.11%	2.03%	2.09%	1.87%	2.98%	1.86%	1.94%	1.81%	1.54%	2.57%	1.96%	1.57%	1.88%	1.32%	2.34%	1.84%	2.48%	2.02%	1.93%	2.41%	2.20%	2.46%	1.28%	2.43%	1.62%	2.93%	1.57%	1.70%	3.08%	2.15%	3.53%	2.42%	1.33%	1.99%	5.00%	1.61%					
20	. Миронов Сергей Михайлович	531	6	6	5	3	8	12	11	16	11	4	11	9	12	20	26	7	16	20	17	8	8	11	12	16	20	13	14	15	10	10	12	9	9	7	15	15	12	12	20	20	21	1	11	5	5					
		0.96%	0.72%	0.81%	0.65%	0.74%	0.51%	0.93%	0.93%	1.01%	0.66%	0.31%	0.93%	0.75%	0.97%	1.49%	2.01%	0.57%	1.16%	1.54%	1.12%	0.65%	0.60%	0.86%	0.88%	1.21%	1.27%	1.04%	0.94%	1.00%	0.71%	0.81%	1.09%	0.72%	0.66%	0.52%	1.02%	1.12%	0.82%	0.86%	1.38%	1.31%	1.41%	1.33%	0.78%	1.92%	1.01%					
21	. Путин Владимир Владимирович	37335	596	519	527	288	1093	833	784	1071	1122	988	790	768	803	886	854	770	945	866	986	818	907	822	874	916	1085	844	1031	1000	918	784	773	825	957	931	953	902	1032	913	987	995	961	45	1045	184	344					
		67.33%	71.55%	70.04%	68.00%	70.76%	69.05%	64.47%	66.27%	67.36%	67.07%	77.07%	66.84%	64.32%	65.23%	65.92%	66.05%	62.35%	68.28%	66.77%	64.91%	66.72%	67.64%	64.27%	63.94%	69.13%	68.76%	67.57%	69.57%	66.67%	65.06%	63.84%	70.46%	66.00%	70.37%	68.76%	65.01%	67.57%	70.20%	65.40%	68.30%	65.12%	64.50%	60.00%	74.43%	70.77%	69.35%					
22	. Хакамада Ирина Муцуовна	2689	58	49	49	20	104	86	75	58	75	42	50	56	67	62	73	70	116	51	127	52	57	53	59	49	53	39	54	57	47	66	36	47	60	65	80	100	76	47	77	53	90	5	42	25	12					
		4.85%	6.96%	6.61%	6.32%	4.91%	6.57%	6.66%	6.34%	3.65%	4.48%	3.28%	4.23%	4.69%	5.44%	4.61%	5.65%	5.67%	8.38%	3.93%	8.36%	4.24%	4.25%	4.14%	4.32%	3.70%	3.36%	3.12%	3.64%	3.80%	3.33%	5.37%	3.28%	3.76%	4.41%	4.80%	5.46%	7.49%	5.17%	3.37%	5.33%	3.47%	6.04%	6.67%	2.99%	9.62%	2.42%					
23	. Харитонов Николай Михайлович	7084	80	95	99	47	172	160	131	218	226	105	166	214	174	183	151	174	132	158	140	160	190	206	237	174	196	154	190	203	237	184	152	213	152	174	183	136	148	192	165	210	200	17	112	5	69					
		12.78%	9.60%	12.82%	12.77%	11.55%	10.87%	12.38%	11.07%	13.71%	13.51%	8.19%	14.04%	17.92%	14.13%	13.62%	11.68%	14.09%	9.54%	12.18%	9.22%	13.05%	14.17%	16.11%	17.34%	13.13%	12.42%	12.33%	12.82%	13.53%	16.80%	14.98%	13.86%	17.04%	11.18%	12.85%	12.48%	10.19%	10.07%	13.75%	11.42%	13.74%	13.42%	22.67%	7.98%	1.92%	13.91%					
																																																				
24	Против всех	2859	33	25	37	11	98	62	67	84	90	56	78	54	65	71	75	78	64	68	114	57	67	58	74	56	76	59	74	68	66	58	49	56	77	62	81	65	81	89	73	76	87	3	70	25	22					
		5.16%	3.96%	3.37%	4.77%	2.70%	6.19%	4.80%	5.66%	5.28%	5.38%	4.37%	6.60%	4.52%	5.28%	5.28%	5.80%	6.32%	4.62%	5.24%	7.50%	4.65%	5.00%	4.53%	5.41%	4.23%	4.82%	4.72%	4.99%	4.53%	4.68%	4.72%	4.47%	4.48%	5.66%	4.58%	5.53%	4.87%	5.51%	6.38%	5.05%	4.97%	5.84%	4.00%	4.99%	9.62%	4.44%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
