Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Юрлинская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №5301	УИК №5302	УИК №5303	УИК №5304	УИК №5305	УИК №5306	УИК №5307	УИК №5308	УИК №5309	УИК №5310	УИК №5311	УИК №5312	УИК №5313	УИК №5314	УИК №5315	УИК №5316	УИК №5317	УИК №5318	УИК №5319	УИК №5320	УИК №5321	УИК №5322	УИК №5323	УИК №5324	УИК №5325	УИК №5326	УИК №5327	УИК №5328	УИК №5329					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	65	4	25	0	4	0	0	1	3	5	4	0	3	0	2	0	1	0	2	1	1	0	1	0	1	3	0	1	2	1					
		1.17%	1.37%	1.61%	0.00%	3.57%	0.00%	0.00%	1.61%	2.29%	5.26%	1.32%	0.00%	1.15%	0.00%	0.83%	0.00%	0.68%	0.00%	0.71%	0.81%	0.39%	0.00%	1.49%	0.00%	0.78%	0.92%	0.00%	1.45%	1.96%	1.39%					
19	. Малышкин Олег Александрович	125	5	28	0	0	4	4	0	3	0	7	3	11	2	4	1	1	7	11	5	9	3	2	3	4	6	0	1	1	0					
		2.24%	1.71%	1.80%	0.00%	0.00%	7.27%	1.83%	0.00%	2.29%	0.00%	2.32%	3.61%	4.20%	3.51%	1.67%	1.79%	0.68%	5.11%	3.89%	4.03%	3.54%	2.36%	2.99%	2.50%	3.10%	1.83%	0.00%	1.45%	0.98%	0.00%					
20	. Миронов Сергей Михайлович	103	3	16	2	0	0	6	0	1	2	7	1	3	2	6	0	1	0	5	5	19	3	9	0	1	3	0	2	5	1					
		1.85%	1.03%	1.03%	3.51%	0.00%	0.00%	2.74%	0.00%	0.76%	2.11%	2.32%	1.20%	1.15%	3.51%	2.50%	0.00%	0.68%	0.00%	1.77%	4.03%	7.48%	2.36%	13.43%	0.00%	0.78%	0.92%	0.00%	2.90%	4.90%	1.39%					
21	. Путин Владимир Владимирович	4289	208	1214	49	86	48	174	57	109	74	245	57	187	37	183	21	133	95	224	82	137	111	49	106	105	278	26	53	79	62					
		77.00%	71.23%	78.22%	85.96%	76.79%	87.27%	79.45%	91.94%	83.21%	77.89%	81.13%	68.67%	71.37%	64.91%	76.25%	37.50%	89.86%	69.34%	79.15%	66.13%	53.94%	87.40%	73.13%	88.33%	81.40%	85.02%	72.22%	76.81%	77.45%	86.11%					
22	. Хакамада Ирина Муцуовна	92	5	25	3	4	1	3	0	2	2	2	1	2	1	3	5	2	0	3	6	8	1	1	0	3	3	0	2	2	2					
		1.65%	1.71%	1.61%	5.26%	3.57%	1.82%	1.37%	0.00%	1.53%	2.11%	0.66%	1.20%	0.76%	1.75%	1.25%	8.93%	1.35%	0.00%	1.06%	4.84%	3.15%	0.79%	1.49%	0.00%	2.33%	0.92%	0.00%	2.90%	1.96%	2.78%					
23	. Харитонов Николай Михайлович	758	61	209	3	18	1	24	3	10	10	26	15	49	14	33	28	7	29	31	19	75	6	5	10	12	30	7	7	12	4					
		13.61%	20.89%	13.47%	5.26%	16.07%	1.82%	10.96%	4.84%	7.63%	10.53%	8.61%	18.07%	18.70%	24.56%	13.75%	50.00%	4.73%	21.17%	10.95%	15.32%	29.53%	4.72%	7.46%	8.33%	9.30%	9.17%	19.44%	10.14%	11.76%	5.56%					
																																				
24	Против всех	79	5	22	0	0	0	1	1	2	1	4	6	6	0	6	1	3	2	4	4	4	0	0	1	1	1	2	2	0	0					
		1.42%	1.71%	1.42%	0.00%	0.00%	0.00%	0.46%	1.61%	1.53%	1.05%	1.32%	7.23%	2.29%	0.00%	2.50%	1.79%	2.03%	1.46%	1.41%	3.23%	1.57%	0.00%	0.00%	0.83%	0.78%	0.31%	5.56%	2.90%	0.00%	0.00%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
