Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Хасанская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837					
11	Число полученных открепительных  удостоверений	447	7	2	3	32	43	8	18	5	15	24	33	34	22	22	2	16	3	33	28	7	66	10	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	390	6	1	2	32	42	8	15	2	10	20	33	29	17	19	2	15	1	28	18	6	63	10	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	234	1	1	2	16	6	3	5	1	0	65	18	38	7	4	3	10	1	3	2	10	17	8	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	57	1	1	1	0	1	0	3	3	5	4	0	5	5	3	0	1	2	5	10	1	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	649	3	2	1	37	32	6	42	21	14	72	59	68	42	64	24	23	23	15	8	11	22	27	12	6	0	0	1	2	1	0	5	1	1	4	0	0	0	0	0	0					
		3.80%	0.62%	0.67%	1.02%	2.60%	2.87%	1.71%	4.88%	3.87%	3.92%	5.80%	4.88%	6.27%	4.65%	8.25%	5.43%	3.49%	10.75%	3.53%	0.78%	2.14%	1.60%	4.66%	6.25%	1.12%	0.00%	0.00%	3.33%	7.69%	3.85%	0.00%	17.24%	3.12%	3.03%	14.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	646	10	2	3	50	15	10	27	11	22	66	75	45	47	41	33	24	20	27	11	15	32	20	12	12	1	0	0	6	0	1	3	0	1	0	0	3	0	0	0	1					
		3.78%	2.07%	0.67%	3.06%	3.52%	1.34%	2.86%	3.14%	2.03%	6.16%	5.31%	6.20%	4.15%	5.20%	5.28%	7.47%	3.64%	9.35%	6.35%	1.08%	2.92%	2.32%	3.45%	6.25%	2.24%	4.00%	0.00%	0.00%	23.08%	0.00%	4.17%	10.34%	0.00%	3.03%	0.00%	0.00%	13.64%	0.00%	0.00%	0.00%	5.88%					
20	. Миронов Сергей Михайлович	168	2	1	0	7	17	4	5	3	1	14	12	20	14	14	4	9	2	4	2	3	18	5	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0					
		0.98%	0.41%	0.33%	0.00%	0.49%	1.52%	1.14%	0.58%	0.55%	0.28%	1.13%	0.99%	1.84%	1.55%	1.80%	0.90%	1.37%	0.93%	0.94%	0.20%	0.58%	1.31%	0.86%	0.52%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.12%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11916	403	249	84	1009	894	232	628	405	274	733	662	624	545	421	322	480	107	230	921	397	1079	406	111	438	22	22	18	14	15	19	15	23	23	20	22	14	10	9	6	10					
		69.69%	83.26%	83.00%	85.71%	71.01%	80.11%	66.29%	73.02%	74.72%	76.75%	59.02%	54.71%	57.51%	60.35%	54.25%	72.85%	72.84%	50.00%	54.12%	90.03%	77.24%	78.36%	70.12%	57.81%	81.72%	88.00%	100.00%	60.00%	53.85%	57.69%	79.17%	51.72%	71.88%	69.70%	74.07%	81.48%	63.64%	50.00%	40.91%	50.00%	58.82%					
22	. Хакамада Ирина Муцуовна	579	17	3	0	44	26	8	30	11	9	61	69	59	42	34	9	20	9	17	9	14	34	22	9	12	0	0	0	1	2	1	1	1	2	1	0	0	1	1	0	0					
		3.39%	3.51%	1.00%	0.00%	3.10%	2.33%	2.29%	3.49%	2.03%	2.52%	4.91%	5.70%	5.44%	4.65%	4.38%	2.04%	3.03%	4.21%	4.00%	0.88%	2.72%	2.47%	3.80%	4.69%	2.24%	0.00%	0.00%	0.00%	3.85%	7.69%	4.17%	3.45%	3.12%	6.06%	3.70%	0.00%	0.00%	5.00%	4.55%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1916	35	20	8	190	66	59	75	56	25	185	187	187	144	134	32	62	37	99	24	40	89	76	34	38	0	0	3	0	0	0	0	1	1	1	0	1	2	4	0	1					
		11.21%	7.23%	6.67%	8.16%	13.37%	5.91%	16.86%	8.72%	10.33%	7.00%	14.90%	15.45%	17.24%	15.95%	17.27%	7.24%	9.41%	17.29%	23.29%	2.35%	7.78%	6.46%	13.13%	17.71%	7.09%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	3.12%	3.03%	3.70%	0.00%	4.55%	10.00%	18.18%	0.00%	5.88%					
																																															
24	Против всех	1044	12	14	2	69	59	26	47	26	10	98	136	77	59	63	16	34	12	27	40	26	76	14	9	18	2	0	8	3	8	3	5	5	5	1	5	4	7	7	6	5					
		6.11%	2.48%	4.67%	2.04%	4.86%	5.29%	7.43%	5.47%	4.80%	2.80%	7.89%	11.24%	7.10%	6.53%	8.12%	3.62%	5.16%	5.61%	6.35%	3.91%	5.06%	5.52%	2.42%	4.69%	3.36%	8.00%	0.00%	26.67%	11.54%	30.77%	12.50%	17.24%	15.62%	15.15%	3.70%	18.52%	18.18%	35.00%	31.82%	50.00%	29.41%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
