Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Кантемировская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845					
11	Число полученных открепительных  удостоверений	195	15	8	8	13	6	10	10	1	4	4	6	3	5	2	1	5	3	3	3	5	4	7	4	4	1	3	1	1	0	7	7	2	3	1	3	2	16	1	2	4	1	4	1	1	0					
12	Число выданных открепительных удостоверений	114	12	3	7	12	1	9	8	0	0	2	5	3	2	1	0	2	1	0	3	2	3	6	0	3	1	0	0	0	0	1	4	0	3	0	3	0	11	0	0	3	1	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	6	5	0	0	0	4	4	2	0	1	0	0	0	0	0	4	0	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	3	1	1	2	0	6	0	0	4					
14	Число неиспользованных открепительных удостоверений	81	3	5	1	1	5	1	2	1	4	2	1	0	3	1	1	3	2	3	0	3	1	1	4	1	0	3	1	1	0	6	3	2	0	1	0	2	5	1	2	1	0	2	1	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	573	26	18	15	39	16	17	29	0	10	4	17	7	18	6	0	16	8	8	13	14	22	18	16	38	0	2	13	1	9	18	23	2	4	1	17	9	13	29	6	17	0	19	6	4	5					
		2.68%	3.40%	2.59%	1.92%	3.58%	3.10%	1.81%	2.76%	0.00%	2.04%	0.89%	3.58%	2.87%	2.65%	2.79%	0.00%	3.05%	2.16%	2.11%	4.11%	2.85%	3.28%	4.49%	3.90%	4.87%	0.00%	0.72%	2.43%	0.60%	2.82%	2.14%	2.73%	0.70%	1.23%	0.61%	4.55%	3.46%	1.32%	4.83%	1.96%	1.97%	0.00%	3.72%	3.92%	1.98%	2.07%					
19	. Малышкин Олег Александрович	834	32	21	29	52	18	67	45	2	8	24	7	5	19	10	1	27	24	35	10	13	17	6	8	32	6	8	17	3	30	48	17	8	12	12	21	7	37	24	7	21	9	7	6	15	7					
		3.90%	4.19%	3.02%	3.72%	4.77%	3.49%	7.13%	4.29%	2.56%	1.63%	5.33%	1.47%	2.05%	2.80%	4.65%	2.13%	5.15%	6.49%	9.21%	3.16%	2.65%	2.54%	1.50%	1.95%	4.10%	5.00%	2.90%	3.18%	1.80%	9.40%	5.71%	2.01%	2.79%	3.70%	7.32%	5.61%	2.69%	3.75%	4.00%	2.29%	2.43%	5.66%	1.37%	3.92%	7.43%	2.90%					
20	. Миронов Сергей Михайлович	203	9	9	12	8	2	11	9	0	3	5	1	2	2	2	0	8	5	4	5	4	13	2	4	10	1	5	8	2	2	10	7	2	1	1	4	1	8	3	0	7	3	2	2	1	3					
		0.95%	1.18%	1.29%	1.54%	0.73%	0.39%	1.17%	0.86%	0.00%	0.61%	1.11%	0.21%	0.82%	0.29%	0.93%	0.00%	1.53%	1.35%	1.05%	1.58%	0.81%	1.94%	0.50%	0.98%	1.28%	0.83%	1.81%	1.50%	1.20%	0.63%	1.19%	0.83%	0.70%	0.31%	0.61%	1.07%	0.38%	0.81%	0.50%	0.00%	0.81%	1.89%	0.39%	1.31%	0.50%	1.24%					
21	. Путин Владимир Владимирович	12513	421	439	503	649	297	589	588	55	319	186	281	173	440	139	30	298	245	193	142	256	344	226	205	410	48	119	354	103	172	411	457	210	215	141	225	174	668	358	115	568	77	314	94	115	147					
		58.51%	55.10%	63.17%	64.49%	59.54%	57.56%	62.66%	56.00%	70.51%	64.97%	41.33%	59.16%	70.90%	64.90%	64.65%	63.83%	56.87%	66.22%	50.79%	44.94%	52.14%	51.34%	56.36%	50.00%	52.56%	40.00%	43.12%	66.17%	61.68%	53.92%	48.93%	54.15%	73.17%	66.36%	85.98%	60.16%	66.92%	67.75%	59.67%	37.58%	65.82%	48.43%	61.45%	61.44%	56.93%	61.00%					
22	. Хакамада Ирина Муцуовна	270	13	11	13	23	9	5	15	0	7	9	6	0	11	1	0	3	2	3	6	7	5	7	4	22	2	4	2	1	6	13	6	2	2	0	1	2	10	5	4	7	0	7	2	7	5					
		1.26%	1.70%	1.58%	1.67%	2.11%	1.74%	0.53%	1.43%	0.00%	1.43%	2.00%	1.26%	0.00%	1.62%	0.47%	0.00%	0.57%	0.54%	0.79%	1.90%	1.43%	0.75%	1.75%	0.98%	2.82%	1.67%	1.45%	0.37%	0.60%	1.88%	1.55%	0.71%	0.70%	0.62%	0.00%	0.27%	0.77%	1.01%	0.83%	1.31%	0.81%	0.00%	1.37%	1.31%	3.47%	2.07%					
23	. Харитонов Николай Михайлович	6327	237	166	190	275	160	229	340	20	134	208	155	47	152	48	15	158	84	129	130	164	238	128	152	242	61	124	131	50	87	314	307	56	80	7	103	57	229	161	158	223	68	151	42	53	64					
		29.58%	31.02%	23.88%	24.36%	25.23%	31.01%	24.36%	32.38%	25.64%	27.29%	46.22%	32.63%	19.26%	22.42%	22.33%	31.91%	30.15%	22.70%	33.95%	41.14%	33.40%	35.52%	31.92%	37.07%	31.03%	50.83%	44.93%	24.49%	29.94%	27.27%	37.38%	36.37%	19.51%	24.69%	4.27%	27.54%	21.92%	23.23%	26.83%	51.63%	25.84%	42.77%	29.55%	27.45%	26.24%	26.56%					
																																																				
24	Против всех	505	22	29	18	33	11	17	21	1	7	10	5	9	23	6	1	12	2	8	9	33	27	11	13	18	2	6	2	1	9	18	20	5	7	1	0	8	14	14	12	15	2	9	1	5	8					
		2.36%	2.88%	4.17%	2.31%	3.03%	2.13%	1.81%	2.00%	1.28%	1.43%	2.22%	1.05%	3.69%	3.39%	2.79%	2.13%	2.29%	0.54%	2.11%	2.85%	6.72%	4.03%	2.74%	3.17%	2.31%	1.67%	2.17%	0.37%	0.60%	2.82%	2.14%	2.37%	1.74%	2.16%	0.61%	0.00%	3.08%	1.42%	2.33%	3.92%	1.74%	1.26%	1.76%	0.65%	2.48%	3.32%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
