Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Аннинская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
		1.70%	1.50%	4.09%	2.21%	2.90%	3.49%	2.79%	3.68%	2.59%	1.94%	3.78%	3.21%	2.09%	0.80%	0.76%	0.93%	0.00%	1.61%	1.90%	1.14%	2.15%	0.26%	0.65%	1.24%	0.35%	2.05%	0.00%	0.42%	1.21%	0.94%	0.79%	1.39%	0.29%	0.52%	0.79%	1.55%	0.96%	1.65%	1.71%	2.08%	2.07%	1.51%	0.68%	0.00%	0.00%	0.66%	0.00%	1.18%	1.92%	0.32%	1.31%	1.50%	0.67%	2.14%	1.78%	0.56%	0.97%	1.11%					
19	. Малышкин Олег Александрович	812	28	17	26	40	26	22	22	22	24	39	26	18	21	13	16	11	23	6	2	19	10	3	12	6	4	2	0	9	12	1	26	2	4	13	9	6	7	4	5	5	22	5	0	6	39	4	9	11	6	32	26	11	25	13	15	7	20					
		2.33%	2.79%	2.40%	2.49%	2.47%	2.75%	1.70%	2.79%	2.19%	2.74%	3.78%	3.09%	2.09%	2.40%	2.49%	2.98%	4.78%	2.18%	1.42%	1.14%	4.08%	1.28%	0.98%	2.47%	2.11%	1.17%	1.06%	0.00%	2.18%	3.76%	0.79%	2.58%	0.58%	0.42%	2.57%	2.32%	1.92%	1.65%	2.29%	1.49%	2.59%	3.32%	0.85%	0.00%	4.55%	5.12%	1.53%	0.89%	2.11%	0.96%	3.22%	2.44%	1.46%	2.67%	1.93%	2.82%	3.40%	3.70%					
20	. Миронов Сергей Михайлович	252	8	2	7	10	15	12	8	9	9	11	13	8	8	4	6	6	6	3	0	1	9	1	2	2	2	0	0	2	2	0	7	2	5	2	1	0	1	0	3	0	7	2	0	0	4	1	0	3	8	13	12	2	3	2	2	2	4					
		0.72%	0.80%	0.28%	0.67%	0.62%	1.59%	0.93%	1.02%	0.90%	1.03%	1.06%	1.54%	0.93%	0.92%	0.76%	1.12%	2.61%	0.57%	0.71%	0.00%	0.21%	1.15%	0.33%	0.41%	0.70%	0.58%	0.00%	0.00%	0.49%	0.63%	0.00%	0.70%	0.58%	0.52%	0.40%	0.26%	0.00%	0.24%	0.00%	0.89%	0.00%	1.06%	0.34%	0.00%	0.00%	0.53%	0.38%	0.00%	0.58%	1.28%	1.31%	1.13%	0.27%	0.32%	0.30%	0.38%	0.97%	0.74%					
21	. Путин Владимир Владимирович	25575	774	463	711	1254	618	750	504	644	543	653	561	578	603	402	467	169	834	286	127	365	643	274	382	238	263	161	205	321	243	107	804	312	687	363	285	250	327	142	262	106	490	418	99	102	509	224	788	364	504	743	831	654	745	571	330	110	412					
		73.40%	77.25%	65.30%	68.17%	77.31%	65.33%	58.09%	63.96%	64.08%	61.99%	63.21%	66.63%	66.98%	68.99%	76.86%	86.96%	73.48%	78.98%	67.77%	72.57%	78.33%	82.33%	89.25%	78.76%	83.51%	76.90%	85.19%	85.77%	77.91%	76.18%	84.92%	79.84%	90.43%	71.41%	71.88%	73.45%	79.87%	77.12%	81.14%	77.98%	54.92%	74.02%	70.97%	68.75%	77.27%	66.89%	85.50%	77.64%	69.87%	80.90%	74.67%	77.95%	87.08%	79.59%	84.84%	62.15%	53.40%	76.16%					
22	. Хакамада Ирина Муцуовна	530	13	7	21	34	10	36	22	52	29	22	15	11	4	6	9	0	11	4	1	19	4	1	3	4	4	0	3	5	3	2	15	3	9	4	6	6	5	1	4	3	2	5	1	0	9	1	12	8	2	17	18	7	17	4	9	3	4					
		1.52%	1.30%	0.99%	2.01%	2.10%	1.06%	2.79%	2.79%	5.17%	3.31%	2.13%	1.78%	1.27%	0.46%	1.15%	1.68%	0.00%	1.04%	0.95%	0.57%	4.08%	0.51%	0.33%	0.62%	1.40%	1.17%	0.00%	1.26%	1.21%	0.94%	1.59%	1.49%	0.87%	0.94%	0.79%	1.55%	1.92%	1.18%	0.57%	1.19%	1.55%	0.30%	0.85%	0.69%	0.00%	1.18%	0.38%	1.18%	1.54%	0.32%	1.71%	1.69%	0.93%	1.82%	0.59%	1.69%	1.46%	0.74%					
23	. Харитонов Николай Михайлович	6030	133	153	211	183	195	356	174	182	202	203	154	210	217	81	28	38	143	108	42	36	100	24	61	32	51	25	30	51	43	14	123	20	247	111	77	38	66	25	46	73	125	149	41	24	170	25	169	103	61	161	132	69	105	65	154	79	92					
		17.31%	13.27%	21.58%	20.23%	11.28%	20.61%	27.58%	22.08%	18.11%	23.06%	19.65%	18.29%	24.33%	24.83%	15.49%	5.21%	16.52%	13.54%	25.59%	24.00%	7.73%	12.80%	7.82%	12.58%	11.23%	14.91%	13.23%	12.55%	12.38%	13.48%	11.11%	12.21%	5.80%	25.68%	21.98%	19.85%	12.14%	15.57%	14.29%	13.69%	37.82%	18.88%	25.30%	28.47%	18.18%	22.34%	9.54%	16.65%	19.77%	9.79%	16.18%	12.38%	9.19%	11.22%	9.66%	29.00%	38.35%	17.01%					
																																																																
24	Против всех	820	28	31	35	41	43	67	26	62	52	52	34	15	8	10	6	5	22	5	0	16	9	1	3	2	7	1	0	16	8	1	18	4	5	5	4	10	5	0	7	2	6	4	1	0	24	4	18	15	7	12	24	1	14	5	15	1	3					
		2.35%	2.79%	4.37%	3.36%	2.53%	4.55%	5.19%	3.30%	6.17%	5.94%	5.03%	4.04%	1.74%	0.92%	1.91%	1.12%	2.17%	2.08%	1.18%	0.00%	3.43%	1.15%	0.33%	0.62%	0.70%	2.05%	0.53%	0.00%	3.88%	2.51%	0.79%	1.79%	1.16%	0.52%	0.99%	1.03%	3.19%	1.18%	0.00%	2.08%	1.04%	0.91%	0.68%	0.69%	0.00%	3.15%	1.53%	1.77%	2.88%	1.12%	1.21%	2.25%	0.13%	1.50%	0.74%	2.82%	0.49%	0.55%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
