Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Лаишевская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК  112	УИК №113	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	179	6	1	0	14	27	26	11	10	8	1	1	0	0	3	0	0	5	2	1	0	1	1	4	1	1	0	0	0	4	10	1	27	8	0	0	4	0	0	0	1	0	0	0	0	0	0	0					
		0.73%	0.75%	1.43%	0.00%	1.29%	4.35%	2.57%	1.07%	0.93%	0.83%	0.09%	0.43%	0.00%	0.00%	0.49%	0.00%	0.00%	1.49%	0.66%	0.18%	0.00%	0.61%	0.86%	0.60%	0.18%	0.54%	0.00%	0.00%	0.00%	0.66%	0.91%	0.15%	3.12%	0.92%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	106	6	1	1	13	9	7	4	17	4	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	3	5	2	12	10	0	0	5	0	0	0	1	0	0	0	0	0	0	2					
		0.43%	0.75%	1.43%	1.03%	1.20%	1.45%	0.69%	0.39%	1.58%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.30%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.45%	0.30%	1.39%	1.15%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%					
20	. Миронов Сергей Михайлович	152	17	2	2	12	18	18	20	17	8	0	0	0	0	3	0	0	1	1	1	0	1	0	5	1	0	0	0	0	2	1	3	8	8	0	0	2	0	0	0	1	0	0	0	0	0	0	0					
		0.62%	2.13%	2.86%	2.06%	1.11%	2.90%	1.78%	1.94%	1.58%	0.83%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.30%	0.33%	0.18%	0.00%	0.61%	0.00%	0.75%	0.18%	0.00%	0.00%	0.00%	0.00%	0.33%	0.09%	0.45%	0.92%	0.92%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	22810	746	51	90	1002	483	817	855	828	888	1108	228	466	282	589	133	530	302	300	543	331	153	114	631	536	183	468	305	414	588	1049	654	617	789	1290	128	577	129	503	124	1204	107	74	526	141	165	296	473					
		93.28%	93.48%	72.86%	92.78%	92.44%	77.90%	80.73%	83.09%	77.02%	91.93%	99.28%	98.28%	100.00%	98.60%	96.24%	100.00%	100.00%	89.88%	98.68%	98.55%	98.81%	93.87%	98.28%	95.17%	98.71%	98.92%	99.36%	100.00%	99.04%	96.55%	95.02%	97.32%	71.33%	90.90%	99.85%	100.00%	93.06%	100.00%	100.00%	100.00%	99.09%	100.00%	100.00%	98.50%	98.60%	94.29%	100.00%	98.75%					
22	. Хакамада Ирина Муцуовна	171	6	1	0	11	7	23	19	13	15	5	0	0	0	1	0	0	0	0	1	0	2	0	7	2	0	0	0	0	3	4	3	21	20	0	0	4	0	0	0	2	0	0	0	0	1	0	0					
		0.70%	0.75%	1.43%	0.00%	1.01%	1.13%	2.27%	1.85%	1.21%	1.55%	0.45%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	1.23%	0.00%	1.06%	0.37%	0.00%	0.00%	0.00%	0.00%	0.49%	0.36%	0.45%	2.43%	2.30%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	507	4	2	4	21	52	83	73	36	7	2	3	0	2	12	0	0	11	1	2	0	4	0	7	3	1	0	0	3	2	10	2	118	12	2	0	8	0	0	0	3	0	0	8	2	5	0	2					
		2.07%	0.50%	2.86%	4.12%	1.94%	8.39%	8.20%	7.09%	3.35%	0.72%	0.18%	1.29%	0.00%	0.70%	1.96%	0.00%	0.00%	3.27%	0.33%	0.36%	0.00%	2.45%	0.00%	1.06%	0.55%	0.54%	0.00%	0.00%	0.72%	0.33%	0.91%	0.30%	13.64%	1.38%	0.15%	0.00%	1.29%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	1.50%	1.40%	2.86%	0.00%	0.42%					
																																																						
24	Против всех	218	7	3	0	0	11	30	26	32	0	0	0	0	2	3	0	0	2	0	2	1	0	1	9	0	0	0	0	1	4	20	3	37	12	0	0	9	0	0	0	3	0	0	0	0	0	0	0					
		0.89%	0.88%	4.29%	0.00%	0.00%	1.77%	2.96%	2.53%	2.98%	0.00%	0.00%	0.00%	0.00%	0.70%	0.49%	0.00%	0.00%	0.60%	0.00%	0.36%	0.30%	0.00%	0.86%	1.36%	0.00%	0.00%	0.00%	0.00%	0.24%	0.66%	1.81%	0.45%	4.28%	1.38%	0.00%	0.00%	1.45%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
