Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Гагаринская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87					
		2.95%	5.16%	3.51%	2.39%	4.23%	4.78%	3.07%	4.47%	3.60%	4.12%	4.44%	1.77%	4.93%	0.33%	0.87%	0.00%	4.00%	0.23%	1.48%	1.80%	2.71%	0.96%	0.00%	1.87%	0.00%	0.64%	0.92%	0.83%	0.92%	0.95%	2.65%	0.51%	0.00%	2.07%	1.23%	1.59%	0.46%	1.58%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
