Выборы Президента Российской Федерации																																																																																													
Дата голосования: 04.03.2012																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Учалинская																																																																																													
																																																																																													
Сводная таблица итогов голосования																																																																																													
																																																																																													
	Число участковых избирательных комиссий	82																																																																																											
	Число участковых избирательных комиссий, приступивших к передаче сведений	82																																																																																											
																																																																																													
		Сумма	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204									
		1.26%	0.00%	0.20%	0.47%	0.39%	0.70%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	1.36%	0.99%	1.50%	0.74%	0.48%	0.82%	1.06%	0.96%	0.85%	0.19%	0.86%	0.65%	0.19%	1.21%	0.62%	1.26%	0.47%	0.82%	0.55%	0.19%	1.16%	0.00%	0.31%	1.63%	0.59%	0.47%	0.25%	2.16%	0.00%	0.42%	0.79%	0.00%	0.00%	1.75%	0.48%	1.73%	0.95%	1.11%	1.63%	1.76%	0.70%	0.87%	2.23%	0.47%	0.77%	1.84%	1.59%	0.77%	0.74%	3.51%	3.17%	1.01%	1.52%	0.40%	2.03%	1.70%	1.47%	1.37%	1.82%	1.55%	1.16%	1.74%	1.88%	2.60%	0.39%	2.25%	1.07%	1.79%	0.95%	1.64%	3.05%									
20	Зюганов Геннадий Андреевич	6717	19	46	173	128	25	48	19	4	4	14	4	175	45	115	23	14	7	27	80	98	37	87	93	43	168	20	74	18	20	20	43	17	8	135	7	7	25	34	27	8	13	4	28	11	18	112	25	24	8	261	34	42	162	91	20	64	92	67	55	30	206	166	38	142	293	173	146	160	79	121	82	188	207	163	214	152	265	89	266	157	254	36									
		13.16%	5.54%	9.16%	16.31%	16.80%	4.39%	9.41%	8.33%	4.71%	5.06%	9.33%	4.08%	19.84%	11.17%	19.17%	8.55%	6.76%	5.74%	7.18%	19.23%	16.61%	6.98%	15.03%	20.22%	8.21%	11.96%	6.17%	23.34%	8.49%	5.49%	5.49%	8.02%	3.94%	2.88%	13.85%	5.69%	4.14%	5.81%	8.59%	6.49%	5.30%	5.46%	3.17%	14.00%	6.88%	10.53%	13.38%	10.82%	11.43%	4.44%	23.68%	14.98%	9.84%	23.51%	20.27%	4.73%	8.18%	18.81%	9.68%	14.10%	11.15%	17.22%	12.53%	9.60%	15.37%	23.67%	14.03%	14.60%	11.76%	6.35%	10.49%	7.47%	14.56%	15.66%	12.24%	16.36%	11.74%	22.05%	6.80%	19.88%	12.37%	18.14%	13.74%									
21	Миронов Сергей Михайлович	687	3	1	6	2	4	1	0	0	0	0	0	8	7	16	1	0	1	2	7	17	1	6	10	2	21	3	3	1	4	1	2	5	0	2	1	1	4	1	0	0	1	2	4	1	0	5	0	1	0	21	0	6	15	4	5	11	6	8	3	1	30	20	6	22	6	36	17	23	8	25	20	11	33	26	16	19	27	21	17	10	43	13									
		1.35%	0.87%	0.20%	0.57%	0.26%	0.70%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	1.74%	2.67%	0.37%	0.00%	0.82%	0.53%	1.68%	2.88%	0.19%	1.04%	2.17%	0.38%	1.49%	0.93%	0.95%	0.47%	1.10%	0.27%	0.37%	1.16%	0.00%	0.21%	0.81%	0.59%	0.93%	0.25%	0.00%	0.00%	0.42%	1.59%	2.00%	0.63%	0.00%	0.60%	0.00%	0.48%	0.00%	1.91%	0.00%	1.41%	2.18%	0.89%	1.18%	1.41%	1.23%	1.16%	0.77%	0.37%	2.51%	1.51%	1.52%	2.38%	0.48%	2.92%	1.70%	1.69%	0.64%	2.17%	1.82%	0.85%	2.50%	1.95%	1.22%	1.47%	2.25%	1.60%	1.27%	0.79%	3.07%	4.96%									
22	Прохоров Михаил Дмитриевич	958	2	2	3	3	2	1	0	0	0	1	1	13	2	21	2	1	0	2	6	15	1	4	8	1	19	5	4	1	2	2	1	5	0	3	1	1	7	1	3	0	2	0	3	2	0	3	2	4	2	38	4	9	23	8	7	8	16	13	4	2	28	32	11	35	6	64	9	39	10	27	19	14	72	33	48	3	36	37	23	12	100	4									
		1.88%	0.58%	0.40%	0.28%	0.39%	0.35%	0.20%	0.00%	0.00%	0.00%	0.67%	1.02%	1.47%	0.50%	3.50%	0.74%	0.48%	0.00%	0.53%	1.44%	2.54%	0.19%	0.69%	1.74%	0.19%	1.35%	1.54%	1.26%	0.47%	0.55%	0.55%	0.19%	1.16%	0.00%	0.31%	0.81%	0.59%	1.63%	0.25%	0.72%	0.00%	0.84%	0.00%	1.50%	1.25%	0.00%	0.36%	0.87%	1.90%	1.11%	3.45%	1.76%	2.11%	3.34%	1.78%	1.65%	1.02%	3.27%	1.88%	1.03%	0.74%	2.34%	2.42%	2.78%	3.79%	0.48%	5.19%	0.90%	2.87%	0.80%	2.34%	1.73%	1.08%	5.45%	2.48%	3.67%	0.23%	2.99%	2.83%	1.72%	0.95%	7.14%	1.53%									
23	Путин Владимир Владимирович	41401	319	452	872	621	533	458	209	81	75	134	93	672	344	429	231	190	113	341	312	452	490	472	342	477	1167	294	231	191	333	338	487	399	270	832	110	158	392	359	377	143	221	119	164	146	150	712	199	179	168	757	183	367	480	329	385	690	358	586	325	234	890	1054	334	656	928	905	804	1107	1002	945	947	1021	975	1058	906	1110	842	1148	1001	1078	944	201									
		81.14%	93.00%	90.04%	82.19%	81.50%	93.51%	89.80%	91.67%	95.29%	94.94%	89.33%	94.90%	76.19%	85.36%	71.50%	85.87%	91.79%	92.62%	90.69%	75.00%	76.61%	92.45%	81.52%	74.35%	91.03%	83.06%	90.74%	72.87%	90.09%	91.48%	92.86%	90.86%	92.58%	97.12%	85.33%	89.43%	93.49%	91.16%	90.66%	90.63%	94.70%	92.86%	94.44%	82.00%	91.25%	87.72%	85.07%	86.15%	85.24%	93.33%	68.69%	80.62%	85.95%	69.67%	73.27%	91.02%	88.24%	73.21%	84.68%	83.33%	86.99%	74.41%	79.55%	84.34%	70.99%	74.96%	73.40%	80.40%	81.40%	80.48%	81.89%	86.25%	79.09%	73.75%	79.43%	69.27%	85.71%	70.05%	87.70%	74.81%	84.95%	67.43%	76.72%									
																																																																																													
