Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Район Строгино																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818					
15	"Число открепительных удостоверений, выданных в ТИК"	26	0	1	1	0	0	2	1	0	1	0	0	2	1	5	0	1	0	0	0	2	0	0	1	1	0	3	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	3469	97	96	123	85	89	98	102	82	81	110	97	95	97	74	65	108	100	66	92	52	71	80	70	75	48	62	100	71	56	91	64	79	106	118	108	109	24	87	103	131	7					
		6.94%	8.33%	6.41%	9.65%	7.83%	6.89%	7.64%	6.79%	5.64%	6.28%	8.84%	7.96%	6.72%	7.57%	5.80%	4.92%	7.49%	8.80%	5.67%	6.27%	6.18%	5.87%	6.09%	6.24%	5.77%	5.17%	6.29%	6.92%	6.63%	5.70%	7.63%	6.75%	9.63%	7.92%	7.41%	6.49%	7.27%	5.33%	7.39%	7.10%	8.20%	2.52%					
19	. Малышкин Олег Александрович	623	7	16	15	9	17	15	18	28	17	22	14	25	10	9	16	16	10	7	28	9	18	19	14	21	10	7	26	12	8	10	7	24	12	21	23	15	19	13	11	23	2					
		1.25%	0.60%	1.07%	1.18%	0.83%	1.32%	1.17%	1.20%	1.93%	1.32%	1.77%	1.15%	1.77%	0.78%	0.71%	1.21%	1.11%	0.88%	0.60%	1.91%	1.07%	1.49%	1.45%	1.25%	1.62%	1.08%	0.71%	1.80%	1.12%	0.81%	0.84%	0.74%	2.93%	0.90%	1.32%	1.38%	1.00%	4.22%	1.10%	0.76%	1.44%	0.72%					
20	. Миронов Сергей Михайлович	319	7	9	4	3	4	9	8	11	7	11	7	13	4	8	15	4	7	7	15	5	7	12	9	5	5	6	8	3	5	3	5	16	10	9	10	13	3	8	7	15	2					
		0.64%	0.60%	0.60%	0.31%	0.28%	0.31%	0.70%	0.53%	0.76%	0.54%	0.88%	0.57%	0.92%	0.31%	0.63%	1.14%	0.28%	0.62%	0.60%	1.02%	0.59%	0.58%	0.91%	0.80%	0.38%	0.54%	0.61%	0.55%	0.28%	0.51%	0.25%	0.53%	1.95%	0.75%	0.57%	0.60%	0.87%	0.67%	0.68%	0.48%	0.94%	0.72%					
21	. Путин Владимир Владимирович	33710	760	1012	795	730	824	854	1006	1063	893	811	766	893	839	915	926	1000	768	804	1019	594	831	904	744	911	650	678	957	753	670	811	625	472	884	1046	1216	1004	320	769	959	1021	213					
		67.41%	65.29%	67.56%	62.40%	67.28%	63.78%	66.61%	66.98%	73.11%	69.22%	65.19%	62.84%	63.15%	65.44%	71.76%	70.10%	69.40%	67.61%	69.13%	69.46%	70.63%	68.73%	68.85%	66.31%	70.13%	69.97%	68.76%	66.23%	70.31%	68.23%	68.04%	65.93%	57.56%	66.02%	65.70%	73.12%	66.98%	71.11%	65.34%	66.09%	63.93%	76.62%					
22	. Хакамада Ирина Муцуовна	4281	90	120	143	86	123	121	144	97	101	116	114	142	115	111	139	121	116	75	113	61	89	91	94	87	74	76	145	96	83	108	84	91	126	142	95	109	21	108	156	139	19					
		8.56%	7.73%	8.01%	11.22%	7.93%	9.52%	9.44%	9.59%	6.67%	7.83%	9.32%	9.35%	10.04%	8.97%	8.71%	10.52%	8.40%	10.21%	6.45%	7.70%	7.25%	7.36%	6.93%	8.38%	6.70%	7.97%	7.71%	10.03%	8.96%	8.45%	9.06%	8.86%	11.10%	9.41%	8.92%	5.71%	7.27%	4.67%	9.18%	10.75%	8.70%	6.83%					
23	. Харитонов Николай Михайлович	3841	128	134	86	89	114	97	98	73	97	73	144	134	118	73	94	89	67	98	94	63	113	102	94	102	68	69	91	75	82	94	76	70	98	154	98	123	21	86	94	146	22					
		7.68%	11.00%	8.95%	6.75%	8.20%	8.82%	7.57%	6.52%	5.02%	7.52%	5.87%	11.81%	9.48%	9.20%	5.73%	7.12%	6.18%	5.90%	8.43%	6.41%	7.49%	9.35%	7.77%	8.38%	7.85%	7.32%	7.00%	6.30%	7.00%	8.35%	7.89%	8.02%	8.54%	7.32%	9.67%	5.89%	8.21%	4.67%	7.31%	6.48%	9.14%	7.91%					
																																																
24	Против всех	3505	74	105	104	76	114	83	105	82	87	94	71	108	90	75	64	99	68	100	104	56	77	99	91	87	66	86	110	58	78	75	87	68	98	89	107	113	42	94	113	97	11					
		7.01%	6.36%	7.01%	8.16%	7.00%	8.82%	6.47%	6.99%	5.64%	6.74%	7.56%	5.82%	7.64%	7.02%	5.88%	4.84%	6.87%	5.99%	8.60%	7.09%	6.66%	6.37%	7.54%	8.11%	6.70%	7.10%	8.72%	7.61%	5.42%	7.94%	6.29%	9.18%	8.29%	7.32%	5.59%	6.43%	7.54%	9.33%	7.99%	7.79%	6.07%	3.96%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
