Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Междуреченская городская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593					
23	. Харитонов Николай Михайлович	4187	107	73	86	110	104	131	153	93	153	82	173	99	196	105	118	76	79	79	87	168	91	59	155	101	114	139	150	101	87	34	57	9	19	33	11	44	18	65	17	33	66	69	134	55	113	141					
		9.25%	9.63%	7.34%	7.96%	11.64%	7.70%	8.83%	9.77%	6.27%	10.73%	10.58%	12.32%	9.61%	12.06%	7.24%	10.90%	8.09%	12.74%	9.38%	10.77%	12.63%	8.39%	8.71%	12.40%	9.85%	9.64%	10.25%	10.94%	8.77%	11.52%	7.01%	7.65%	7.76%	4.32%	9.54%	2.46%	8.80%	9.63%	8.92%	5.82%	8.19%	7.97%	6.39%	8.22%	7.14%	6.92%	9.69%					
																																																					
24	Против всех	2196	71	51	59	48	96	84	87	78	78	34	57	39	49	92	43	48	25	48	60	56	57	33	55	58	60	51	68	78	44	9	23	2	15	14	5	9	5	23	8	9	26	20	103	42	102	74					
		4.85%	6.39%	5.13%	5.46%	5.08%	7.11%	5.66%	5.56%	5.26%	5.47%	4.39%	4.06%	3.79%	3.02%	6.34%	3.97%	5.11%	4.03%	5.70%	7.43%	4.21%	5.26%	4.87%	4.40%	5.66%	5.07%	3.76%	4.96%	6.77%	5.83%	1.86%	3.09%	1.72%	3.41%	4.05%	1.12%	1.80%	2.67%	3.16%	2.74%	2.23%	3.14%	1.85%	6.32%	5.45%	6.25%	5.09%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
