Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Улуг-Хемская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166					
		0.24%	0.17%	0.0%	0.0%	0.20%	0.33%	0.32%	0.0%	0.0%	0.20%	0.40%	0.20%	1.43%	0.48%					
33	"16. ""Родина"" (народно-патриотический союз)"""	113	16	4	41	23	3	11	0	1	2	4	4	2	2					
		2.11%	2.86%	0.99%	6.15%	4.73%	1.01%	1.78%	0.0%	0.29%	0.41%	1.60%	0.82%	0.71%	0.97%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	29	1	3	4	4	0	5	2	1	6	2	1	0	0					
		0.54%	0.17%	0.74%	0.60%	0.82%	0.0%	0.81%	0.73%	0.29%	1.24%	0.80%	0.20%	0.0%	0.0%					
35	"18. ""ЛДПР"""	81	13	7	25	14	2	6	2	2	3	3	1	2	1					
		1.51%	2.32%	1.73%	3.75%	2.88%	0.67%	0.97%	0.73%	0.58%	0.62%	1.20%	0.20%	0.71%	0.48%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	82	18	12	16	4	7	3	2	3	4	6	5	1	1					
		1.53%	3.22%	2.97%	2.40%	0.82%	2.36%	0.48%	0.73%	0.87%	0.83%	2.40%	1.03%	0.35%	0.48%					
37	"20. ""Политическая партия ""Единая Россия"""	3566	355	297	383	305	207	374	210	248	321	170	348	193	155					
		66.77%	63.50%	73.69%	57.50%	62.75%	69.93%	60.71%	77.20%	72.30%	66.73%	68.27%	71.90%	69.17%	75.24%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	0	0	1	2	1	4	1	2	2	0	2	0	1					
		0.29%	0.0%	0.0%	0.15%	0.41%	0.33%	0.64%	0.36%	0.58%	0.41%	0.0%	0.41%	0.0%	0.48%					
39	"22. ""Развитие предпринимательства"""	5	1	0	2	0	0	1	0	1	0	0	0	0	0					
		0.09%	0.17%	0.0%	0.30%	0.0%	0.0%	0.16%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	358	35	16	71	42	19	38	15	26	48	12	15	5	16					
		6.70%	6.26%	3.97%	10.66%	8.64%	6.41%	6.16%	5.51%	7.58%	9.97%	4.81%	3.09%	1.79%	7.76%					
																				
41	Против всех	79	5	8	16	7	2	8	3	4	5	4	10	6	1					
		1.47%	0.89%	1.98%	2.40%	1.44%	0.67%	1.29%	1.10%	1.16%	1.03%	1.60%	2.06%	2.15%	0.48%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
