Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Енисейская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190					
		2.26%	1.61%	3.17%	1.14%	1.99%	0.45%	4.39%	2.98%	3.45%	2.20%	3.23%	1.83%	3.42%	1.48%	2.31%	3.23%	1.32%	1.99%	2.24%	1.54%	0.51%	2.17%	3.43%	0.98%	2.50%	1.15%	2.85%	4.00%	0.00%	1.95%	2.36%	0.00%	1.74%	4.17%	0.87%	2.50%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	76	5	10	0	0	0	2	3	4	2	0	0	2	2	6	0	4	2	1	0	0	8	1	1	1	1	4	3	0	0	2	0	5	0	4	2	0	0	1					
		0.60%	0.42%	0.71%	0.00%	0.00%	0.00%	0.40%	1.28%	1.72%	0.29%	0.00%	0.00%	0.53%	0.49%	0.99%	0.00%	0.53%	0.80%	0.75%	0.00%	0.00%	1.57%	0.43%	0.98%	0.62%	1.15%	0.67%	2.00%	0.00%	0.00%	1.57%	0.00%	0.67%	0.00%	0.87%	5.00%	0.00%	0.00%	1.72%					
21	. Путин Владимир Владимирович	8121	691	864	243	303	183	317	114	136	485	319	76	239	204	352	45	330	160	83	135	158	324	92	60	102	74	395	91	34	168	101	36	519	169	374	22	32	46	45					
		63.60%	58.41%	60.93%	69.23%	75.19%	81.70%	63.27%	48.51%	58.62%	71.22%	60.65%	69.72%	62.89%	50.25%	58.09%	48.39%	43.48%	63.75%	61.94%	69.23%	81.03%	63.78%	39.48%	58.82%	63.75%	85.06%	66.16%	60.67%	68.00%	81.95%	79.53%	100.00%	69.66%	78.24%	81.30%	55.00%	78.05%	64.79%	77.59%					
22	. Хакамада Ирина Муцуовна	368	29	48	7	9	2	12	3	10	7	14	3	14	21	29	1	57	2	2	4	8	31	5	3	2	2	5	2	0	7	3	0	14	2	5	3	1	1	0					
		2.88%	2.45%	3.39%	1.99%	2.23%	0.89%	2.40%	1.28%	4.31%	1.03%	2.66%	2.75%	3.68%	5.17%	4.79%	1.08%	7.51%	0.80%	1.49%	2.05%	4.10%	6.10%	2.15%	2.94%	1.25%	2.30%	0.84%	1.33%	0.00%	3.41%	2.36%	0.00%	1.88%	0.93%	1.09%	7.50%	2.44%	1.41%	0.00%					
23	. Харитонов Николай Михайлович	1605	165	157	26	26	17	61	34	36	58	57	10	44	85	77	18	140	43	31	29	21	52	74	29	32	3	93	19	1	15	8	0	72	19	43	1	0	2	7					
		12.57%	13.95%	11.07%	7.41%	6.45%	7.59%	12.18%	14.47%	15.52%	8.52%	10.84%	9.17%	11.58%	20.94%	12.71%	19.35%	18.45%	17.13%	23.13%	14.87%	10.77%	10.24%	31.76%	28.43%	20.00%	3.45%	15.58%	12.67%	2.00%	7.32%	6.30%	0.00%	9.66%	8.80%	9.35%	2.50%	0.00%	2.82%	12.07%					
																																													
24	Против всех	463	66	64	14	8	2	6	7	4	10	18	1	8	19	32	5	42	6	1	1	3	16	12	4	4	2	14	5	7	3	8	0	23	14	7	7	6	14	0					
		3.63%	5.58%	4.51%	3.99%	1.99%	0.89%	1.20%	2.98%	1.72%	1.47%	3.42%	0.92%	2.11%	4.68%	5.28%	5.38%	5.53%	2.39%	0.75%	0.51%	1.54%	3.15%	5.15%	3.92%	2.50%	2.30%	2.35%	3.33%	14.00%	1.46%	6.30%	0.00%	3.09%	6.48%	1.52%	17.50%	14.63%	19.72%	0.00%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
