Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Красноборская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485					
12	Число выданных открепительных удостоверений	43	10	3	1	1	3	0	0	3	2	1	1	0	1	1	6	4	1	0	2	2	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	10	1	3	1	0	1	0	0	4	3	0	1	1	2	4	2	1	2	1	4	0	3	3	0					
14	Число неиспользованных открепительных удостоверений	151	10	17	9	6	7	2	2	7	2	4	4	5	4	14	14	11	4	5	3	13	2	2	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	211	40	31	12	3	2	0	1	12	8	11	12	4	2	6	28	10	1	1	3	15	2	6	1	0					
		2.48%	2.82%	2.84%	3.87%	3.30%	0.66%	0.00%	1.14%	3.20%	3.96%	2.98%	2.63%	1.27%	1.03%	2.26%	4.23%	3.40%	0.65%	0.51%	1.46%	1.67%	1.74%	6.59%	0.47%	0.00%					
19	. Малышкин Олег Александрович	189	26	26	7	4	10	2	1	8	6	19	7	8	5	2	14	7	3	5	6	12	2	2	3	4					
		2.22%	1.83%	2.39%	2.26%	4.40%	3.30%	2.02%	1.14%	2.13%	2.97%	5.15%	1.53%	2.53%	2.58%	0.75%	2.11%	2.38%	1.95%	2.54%	2.91%	1.34%	1.74%	2.20%	1.40%	3.70%					
20	. Миронов Сергей Михайлович	84	12	13	2	0	0	0	0	3	1	8	1	4	1	3	6	8	3	1	2	10	2	0	3	1					
		0.99%	0.85%	1.19%	0.65%	0.00%	0.00%	0.00%	0.00%	0.80%	0.50%	2.17%	0.22%	1.27%	0.52%	1.13%	0.91%	2.72%	1.95%	0.51%	0.97%	1.12%	1.74%	0.00%	1.40%	0.93%					
21	. Путин Владимир Владимирович	6718	1094	823	236	71	211	77	77	304	160	261	377	281	145	227	523	237	125	171	176	710	92	74	177	89					
		78.87%	77.04%	75.50%	76.13%	78.02%	69.64%	77.78%	87.50%	81.07%	79.21%	70.73%	82.49%	88.92%	74.74%	85.34%	79.00%	80.61%	81.17%	86.80%	85.44%	79.24%	80.00%	81.32%	82.33%	82.41%					
22	. Хакамада Ирина Муцуовна	217	52	35	14	9	3	1	6	10	7	4	8	3	7	7	14	5	3	1	4	16	4	0	1	3					
		2.55%	3.66%	3.21%	4.52%	9.89%	0.99%	1.01%	6.82%	2.67%	3.47%	1.08%	1.75%	0.95%	3.61%	2.63%	2.11%	1.70%	1.95%	0.51%	1.94%	1.79%	3.48%	0.00%	0.47%	2.78%					
23	. Харитонов Николай Михайлович	931	161	137	32	2	69	13	3	31	17	64	42	11	31	18	65	20	13	16	10	119	12	8	28	9					
		10.93%	11.34%	12.57%	10.32%	2.20%	22.77%	13.13%	3.41%	8.27%	8.42%	17.34%	9.19%	3.48%	15.98%	6.77%	9.82%	6.80%	8.44%	8.12%	4.85%	13.28%	10.43%	8.79%	13.02%	8.33%					
																															
24	Против всех	118	25	17	4	2	8	4	0	4	2	2	4	3	1	0	10	3	4	1	4	14	1	1	2	2					
		1.39%	1.76%	1.56%	1.29%	2.20%	2.64%	4.04%	0.00%	1.07%	0.99%	0.54%	0.88%	0.95%	0.52%	0.00%	1.51%	1.02%	2.60%	0.51%	1.94%	1.56%	0.87%	1.10%	0.93%	1.85%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
