Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Дебесская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625					
18	. Глазьев Сергей Юрьевич	148	1	4	14	29	24	12	16	4	1	1	2	2	0	2	5	1	0	0	10	1	4	5	2	8	0					
		1.79%	0.35%	1.83%	1.85%	3.64%	4.36%	2.05%	3.04%	2.90%	0.60%	0.83%	1.49%	0.47%	0.00%	1.28%	1.81%	0.35%	0.00%	0.00%	1.66%	0.33%	1.73%	0.82%	1.03%	1.90%	0.00%					
19	. Малышкин Олег Александрович	191	5	1	17	17	16	13	14	7	10	4	1	9	3	9	1	5	6	1	17	8	5	10	4	7	1					
		2.31%	1.74%	0.46%	2.25%	2.14%	2.90%	2.22%	2.66%	5.07%	6.02%	3.31%	0.75%	2.09%	1.67%	5.77%	0.36%	1.75%	3.64%	1.00%	2.83%	2.67%	2.16%	1.64%	2.05%	1.67%	2.86%					
20	. Миронов Сергей Михайлович	58	1	4	6	2	2	2	10	2	1	0	4	3	0	1	2	2	1	1	3	2	1	5	0	3	0					
		0.70%	0.35%	1.83%	0.79%	0.25%	0.36%	0.34%	1.90%	1.45%	0.60%	0.00%	2.99%	0.70%	0.00%	0.64%	0.72%	0.70%	0.61%	1.00%	0.50%	0.67%	0.43%	0.82%	0.00%	0.71%	0.00%					
21	. Путин Владимир Владимирович	6816	238	176	603	619	451	471	413	110	133	99	110	377	159	133	256	253	133	81	504	244	200	494	155	371	33					
		82.48%	82.93%	80.73%	79.87%	77.76%	81.85%	80.51%	78.37%	79.71%	80.12%	81.82%	82.09%	87.67%	88.33%	85.26%	92.42%	88.46%	80.61%	81.00%	83.86%	81.33%	86.58%	80.98%	79.49%	88.33%	94.29%					
22	. Хакамада Ирина Муцуовна	127	0	2	11	22	8	19	7	1	10	1	4	4	3	0	1	2	2	2	10	3	1	5	3	6	0					
		1.54%	0.00%	0.92%	1.46%	2.76%	1.45%	3.25%	1.33%	0.72%	6.02%	0.83%	2.99%	0.93%	1.67%	0.00%	0.36%	0.70%	1.21%	2.00%	1.66%	1.00%	0.43%	0.82%	1.54%	1.43%	0.00%					
23	. Харитонов Николай Михайлович	753	36	23	88	88	42	59	49	12	8	14	10	31	11	8	8	17	19	12	49	35	15	80	20	18	1					
		9.11%	12.54%	10.55%	11.66%	11.06%	7.62%	10.09%	9.30%	8.70%	4.82%	11.57%	7.46%	7.21%	6.11%	5.13%	2.89%	5.94%	11.52%	12.00%	8.15%	11.67%	6.49%	13.11%	10.26%	4.29%	2.86%					
																																
24	Против всех	99	5	3	7	8	5	9	14	1	3	2	2	1	3	1	1	4	3	0	6	4	1	3	7	6	0					
		1.20%	1.74%	1.38%	0.93%	1.01%	0.91%	1.54%	2.66%	0.72%	1.81%	1.65%	1.49%	0.23%	1.67%	0.64%	0.36%	1.40%	1.82%	0.00%	1.00%	1.33%	0.43%	0.49%	3.59%	1.43%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
