Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Ермекеевская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	11	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0					
		0.09%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.34%	0.00%	0.00%	0.35%	0.37%	0.00%	0.00%	0.47%	0.00%	0.00%	0.28%	0.00%	0.44%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	14	0	0	0	0	0	1	1	0	1	0	1	0	0	2	0	0	0	1	0	2	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0					
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.32%	0.00%	0.09%	0.00%	0.25%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.37%	0.00%	0.88%	0.00%	0.00%	0.00%	0.28%	0.34%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0					
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.15%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11964	346	194	98	409	118	562	303	1555	1066	123	387	57	250	279	65	62	282	267	57	218	209	180	126	352	574	224	605	242	133	267	456	283	648	595	372					
		98.32%	98.30%	99.49%	100.00%	99.03%	97.52%	98.08%	98.06%	98.73%	98.25%	97.62%	98.22%	98.28%	98.04%	95.55%	100.00%	100.00%	98.95%	97.80%	98.28%	96.04%	97.21%	98.90%	98.44%	98.32%	97.95%	97.82%	97.74%	97.98%	99.25%	100.00%	98.28%	100.00%	98.18%	98.18%	99.20%					
22	. Хакамада Ирина Муцуовна	29	0	0	0	0	1	5	1	1	3	2	1	0	1	2	0	0	0	1	0	0	0	1	1	0	3	1	1	0	0	0	1	0	0	3	0					
		0.24%	0.00%	0.00%	0.00%	0.00%	0.83%	0.87%	0.32%	0.06%	0.28%	1.59%	0.25%	0.00%	0.39%	0.68%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.55%	0.78%	0.00%	0.51%	0.44%	0.16%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.50%	0.00%					
23	. Харитонов Николай Михайлович	112	5	1	0	2	2	0	3	15	9	1	4	1	4	6	0	0	2	2	1	5	4	1	1	3	6	2	10	2	1	0	6	0	7	6	0					
		0.92%	1.42%	0.51%	0.00%	0.48%	1.65%	0.00%	0.97%	0.95%	0.83%	0.79%	1.02%	1.72%	1.57%	2.05%	0.00%	0.00%	0.70%	0.73%	1.72%	2.20%	1.86%	0.55%	0.78%	0.84%	1.02%	0.87%	1.62%	0.81%	0.75%	0.00%	1.29%	0.00%	1.06%	0.99%	0.00%					
																																										
24	Против всех	15	1	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	0	0	0	2	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0					
		0.12%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.06%	0.18%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.47%	0.00%	0.00%	0.28%	0.17%	0.44%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
