Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Шилкинская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899					
		2.69%	2.75%	3.55%	2.00%	2.12%	2.00%	2.57%	4.42%	3.95%	3.99%	2.56%	2.09%	2.19%	2.71%	2.68%	3.90%	1.74%	1.82%	3.91%	2.64%	8.16%	0.38%	3.23%	0.00%	6.42%	3.23%	1.14%	1.39%	4.24%	2.70%	3.27%	4.47%	1.34%	4.65%	1.57%	2.83%	2.50%	0.38%	2.94%	1.32%	1.80%	2.04%	1.10%	0.62%	2.44%	2.90%	0.93%					
20	. Миронов Сергей Михайлович	146	5	1	6	6	5	9	0	10	2	8	5	10	10	12	3	0	2	4	3	0	4	5	1	1	0	4	0	5	1	2	1	0	5	2	2	1	1	0	1	1	1	0	1	5	1	0					
		0.82%	0.60%	0.11%	0.86%	0.91%	0.83%	1.22%	0.00%	1.10%	0.66%	0.71%	0.45%	1.04%	1.04%	1.40%	1.46%	0.00%	1.82%	0.46%	0.99%	0.00%	1.50%	5.38%	0.49%	0.53%	0.00%	1.14%	0.00%	1.25%	0.68%	0.54%	0.21%	0.00%	5.81%	0.78%	1.89%	0.83%	0.38%	0.00%	1.32%	0.90%	0.23%	0.00%	0.62%	1.02%	0.72%	0.00%					
21	. Путин Владимир Владимирович	12195	581	647	470	474	424	575	95	604	181	682	701	592	594	521	137	100	82	596	221	66	209	73	162	134	45	225	58	267	108	283	356	105	67	207	77	95	192	86	40	52	320	71	127	315	94	84					
		68.53%	69.41%	71.73%	67.05%	71.71%	70.55%	77.81%	84.07%	66.30%	60.13%	60.19%	63.55%	61.73%	61.81%	60.65%	66.83%	86.96%	74.55%	68.51%	72.94%	67.35%	78.57%	78.49%	79.80%	71.66%	72.58%	64.29%	80.56%	66.58%	72.97%	77.11%	75.74%	70.47%	77.91%	81.18%	72.64%	79.17%	73.85%	84.31%	52.63%	46.85%	72.56%	78.02%	79.38%	64.15%	68.12%	78.50%					
22	. Хакамада Ирина Муцуовна	322	15	20	27	21	16	16	3	17	1	21	19	19	17	16	3	1	0	12	5	0	3	3	5	6	1	3	1	1	6	6	7	0	1	1	1	3	1	3	0	0	2	1	1	12	2	3					
		1.81%	1.79%	2.22%	3.85%	3.18%	2.66%	2.17%	2.65%	1.87%	0.33%	1.85%	1.72%	1.98%	1.77%	1.86%	1.46%	0.87%	0.00%	1.38%	1.65%	0.00%	1.13%	3.23%	2.46%	3.21%	1.61%	0.86%	1.39%	0.25%	4.05%	1.63%	1.49%	0.00%	1.16%	0.39%	0.94%	2.50%	0.38%	2.94%	0.00%	0.00%	0.45%	1.10%	0.62%	2.44%	1.45%	2.80%					
23	. Харитонов Николай Михайлович	3507	140	152	148	120	105	77	8	178	89	286	249	222	225	200	36	9	22	182	50	17	39	6	27	27	10	105	12	90	24	53	61	39	8	31	20	14	55	6	26	51	93	16	28	112	28	11					
		19.71%	16.73%	16.85%	21.11%	18.15%	17.47%	10.42%	7.08%	19.54%	29.57%	25.24%	22.57%	23.15%	23.41%	23.28%	17.56%	7.83%	20.00%	20.92%	16.50%	17.35%	14.66%	6.45%	13.30%	14.44%	16.13%	30.00%	16.67%	22.44%	16.22%	14.44%	12.98%	26.17%	9.30%	12.16%	18.87%	11.67%	21.15%	5.88%	34.21%	45.95%	21.09%	17.58%	17.50%	22.81%	20.29%	10.28%					
																																																					
24	Против всех	337	23	14	11	7	12	14	0	24	3	36	27	30	38	19	3	1	2	18	5	1	5	2	2	4	1	2	0	3	1	0	1	0	1	4	1	2	1	1	0	1	8	1	0	4	2	2					
		1.89%	2.75%	1.55%	1.57%	1.06%	2.00%	1.89%	0.00%	2.63%	1.00%	3.18%	2.45%	3.13%	3.95%	2.21%	1.46%	0.87%	1.82%	2.07%	1.65%	1.02%	1.88%	2.15%	0.99%	2.14%	1.61%	0.57%	0.00%	0.75%	0.68%	0.00%	0.21%	0.00%	1.16%	1.57%	0.94%	1.67%	0.38%	0.98%	0.00%	0.90%	1.81%	1.10%	0.00%	0.81%	1.45%	1.87%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
