Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Каратузская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	1115	114	239	91	284	36	11	43	3	27	58	8	11	20	28	15	21	36	11	18	1	2	7	1	12	18					
		14.29%	18.07%	26.50%	16.79%	25.11%	9.89%	31.43%	7.11%	7.50%	7.94%	10.27%	12.70%	12.50%	7.84%	9.52%	5.24%	13.38%	12.12%	5.39%	5.26%	1.22%	3.33%	5.74%	1.56%	9.30%	8.87%					
19	. Малышкин Олег Александрович	260	9	13	15	35	16	7	17	1	9	19	3	10	9	10	7	7	11	11	10	3	1	10	8	7	12					
		3.33%	1.43%	1.44%	2.77%	3.09%	4.40%	20.00%	2.81%	2.50%	2.65%	3.36%	4.76%	11.36%	3.53%	3.40%	2.45%	4.46%	3.70%	5.39%	2.92%	3.66%	1.67%	8.20%	12.50%	5.43%	5.91%					
20	. Миронов Сергей Михайлович	66	6	1	10	10	3	3	2	0	3	9	1	0	1	3	3	0	4	2	1	2	1	0	0	0	1					
		0.85%	0.95%	0.11%	1.85%	0.88%	0.82%	8.57%	0.33%	0.00%	0.88%	1.59%	1.59%	0.00%	0.39%	1.02%	1.05%	0.00%	1.35%	0.98%	0.29%	2.44%	1.67%	0.00%	0.00%	0.00%	0.49%					
21	. Путин Владимир Владимирович	3735	301	418	276	446	144	14	228	15	160	269	44	31	137	178	201	86	151	141	126	54	42	78	20	65	110					
		47.88%	47.70%	46.34%	50.92%	39.43%	39.56%	40.00%	37.69%	37.50%	47.06%	47.61%	69.84%	35.23%	53.73%	60.54%	70.28%	54.78%	50.84%	69.12%	36.84%	65.85%	70.00%	63.93%	31.25%	50.39%	54.19%					
22	. Хакамада Ирина Муцуовна	199	15	25	13	34	9	0	12	2	12	5	4	0	7	4	4	4	12	11	11	0	1	3	3	4	4					
		2.55%	2.38%	2.77%	2.40%	3.01%	2.47%	0.00%	1.98%	5.00%	3.53%	0.88%	6.35%	0.00%	2.75%	1.36%	1.40%	2.55%	4.04%	5.39%	3.22%	0.00%	1.67%	2.46%	4.69%	3.10%	1.97%					
23	. Харитонов Николай Михайлович	2101	160	174	116	278	141	0	267	14	112	185	2	33	73	56	45	34	70	11	167	22	9	18	31	31	52					
		26.93%	25.36%	19.29%	21.40%	24.58%	38.74%	0.00%	44.13%	35.00%	32.94%	32.74%	3.17%	37.50%	28.63%	19.05%	15.73%	21.66%	23.57%	5.39%	48.83%	26.83%	15.00%	14.75%	48.44%	24.03%	25.62%					
																																
24	Против всех	237	19	27	14	40	11	0	19	4	14	11	1	0	4	13	6	4	8	12	7	0	4	6	1	8	4					
		3.04%	3.01%	2.99%	2.58%	3.54%	3.02%	0.00%	3.14%	10.00%	4.12%	1.95%	1.59%	0.00%	1.57%	4.42%	2.10%	2.55%	2.69%	5.88%	2.05%	0.00%	6.67%	4.92%	1.56%	6.20%	1.97%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
