Выборы Президента Российской Федерации																																																																	
																																																																	
"Наименование Избирательной комиссии:    Тверь, Московская"																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096	УИК  1097	УИК  1098	УИК  1099	УИК  1100	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116	УИК  1117	УИК  1118	УИК  1119	УИК  1120	УИК  1121	УИК  1122	УИК  1123	УИК  1124	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149					
		0.56%	0.15%	0.26%	0.00%	0.10%	0.89%	0.64%	0.71%	0.35%	0.36%	0.66%	0.77%	0.49%	0.77%	0.19%	0.44%	0.29%	0.69%	0.47%	0.56%	0.47%	0.56%	0.97%	0.84%	0.89%	0.64%	1.02%	0.61%	0.47%	0.70%	0.68%	0.35%	0.50%	0.08%	0.42%	0.34%	0.79%	0.59%	0.71%	0.49%	0.33%	0.73%	1.31%	0.87%	0.20%	0.56%	0.36%	0.97%	0.86%	0.38%	0.72%	0.19%	0.34%	0.00%	0.00%	1.95%	0.00%	1.02%	0.22%					
21	. Путин Владимир Владимирович	33829	831	517	255	730	936	875	844	403	601	645	684	402	375	372	484	667	861	432	468	429	768	377	323	604	481	458	887	715	465	906	756	675	787	635	401	508	669	823	680	804	744	693	745	671	819	931	724	750	743	545	349	577	12	76	114	14	71	718					
		67.02%	63.00%	66.11%	81.47%	71.85%	63.80%	62.14%	66.51%	70.45%	71.21%	70.96%	65.52%	65.90%	72.39%	70.86%	70.76%	65.59%	66.33%	67.61%	65.64%	67.56%	71.11%	60.71%	67.57%	66.89%	61.83%	66.96%	67.56%	67.84%	65.22%	68.48%	67.02%	67.16%	64.19%	65.94%	67.97%	67.02%	65.91%	65.37%	66.47%	65.42%	68.13%	64.89%	64.84%	66.57%	65.73%	66.55%	70.43%	64.32%	69.96%	65.58%	65.97%	66.17%	54.55%	74.51%	74.03%	87.50%	72.45%	78.73%					
22	. Хакамада Ирина Муцуовна	3160	123	66	7	43	135	117	91	36	45	60	75	40	22	19	36	64	100	36	42	36	58	42	24	43	55	45	72	73	33	70	57	83	71	40	36	42	65	73	59	92	60	70	65	68	72	76	62	65	58	76	48	70	1	1	3	1	4	34					
		6.26%	9.33%	8.44%	2.24%	4.23%	9.20%	8.31%	7.17%	6.29%	5.33%	6.60%	7.18%	6.56%	4.25%	3.62%	5.26%	6.29%	7.70%	5.63%	5.89%	5.67%	5.37%	6.76%	5.02%	4.76%	7.07%	6.58%	5.48%	6.93%	4.63%	5.29%	5.05%	8.26%	5.79%	4.15%	6.10%	5.54%	6.40%	5.80%	5.77%	7.49%	5.49%	6.55%	5.66%	6.75%	5.78%	5.43%	6.03%	5.57%	5.46%	9.15%	9.07%	8.03%	4.55%	0.98%	1.95%	6.25%	4.08%	3.73%					
23	. Харитонов Николай Михайлович	6875	165	82	24	107	185	209	172	53	96	98	142	68	75	89	86	136	182	94	126	97	124	122	66	138	136	89	175	142	134	206	153	153	194	158	84	121	128	198	135	191	155	150	192	137	185	213	103	172	119	102	64	96	4	16	20	0	6	8					
		13.62%	12.51%	10.49%	7.67%	10.53%	12.61%	14.84%	13.55%	9.27%	11.37%	10.78%	13.60%	11.15%	14.48%	16.95%	12.57%	13.37%	14.02%	14.71%	17.67%	15.28%	11.48%	19.65%	13.81%	15.28%	17.48%	13.01%	13.33%	13.47%	18.79%	15.57%	13.56%	15.22%	15.82%	16.41%	14.24%	15.96%	12.61%	15.73%	13.20%	15.54%	14.19%	14.04%	16.71%	13.59%	14.85%	15.23%	10.02%	14.75%	11.21%	12.27%	12.10%	11.01%	18.18%	15.69%	12.99%	0.00%	6.12%	0.88%					
																																																																	
24	Против всех	2379	74	46	8	60	71	79	52	38	43	44	40	36	13	19	19	57	50	31	27	21	55	21	22	42	36	31	71	43	36	28	55	25	68	44	21	33	50	56	42	49	48	37	55	49	57	66	50	73	53	33	23	48	1	4	5	0	7	114					
		4.71%	5.61%	5.88%	2.56%	5.91%	4.84%	5.61%	4.10%	6.64%	5.09%	4.84%	3.83%	5.90%	2.51%	3.62%	2.78%	5.60%	3.85%	4.85%	3.79%	3.31%	5.09%	3.38%	4.60%	4.65%	4.63%	4.53%	5.41%	4.08%	5.05%	2.12%	4.88%	2.49%	5.55%	4.57%	3.56%	4.35%	4.93%	4.45%	4.11%	3.99%	4.40%	3.46%	4.79%	4.86%	4.57%	4.72%	4.86%	6.26%	4.99%	3.97%	4.35%	5.50%	4.55%	3.92%	3.25%	0.00%	7.14%	12.50%					
