Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    район Орехово-Борисово Северное																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №3155					
		0.65%	0.63%	0.37%	0.69%	3.42%	0.63%	1.99%	0.82%	0.99%	0.48%	0.31%	0.34%	0.75%	0.82%	0.59%	0.33%	0.36%	0.45%	0.53%	0.72%	0.29%	0.91%	0.52%	0.86%	0.55%	0.38%	0.41%	0.25%	0.46%	0.53%	0.24%	0.00%	0.46%	0.44%	0.00%					
21	. Путин Владимир Владимирович	39891	1492	903	921	913	1022	1009	1242	973	1614	1520	1548	1298	1636	1713	1243	1069	1141	822	1023	915	1437	1594	1276	1273	939	1066	1028	956	1123	1071	1207	1407	1352	145					
		68.69%	67.45%	56.05%	57.53%	54.83%	64.64%	69.39%	67.83%	69.11%	77.15%	79.58%	75.66%	75.20%	70.49%	77.58%	69.33%	64.91%	64.32%	61.80%	66.51%	66.02%	68.76%	75.94%	68.42%	70.18%	71.30%	62.27%	65.44%	73.14%	66.45%	64.13%	73.82%	72.01%	65.69%	91.77%					
22	. Хакамада Ирина Муцуовна	3489	64	178	167	121	79	86	99	125	112	82	131	81	96	138	85	110	122	63	131	79	89	122	101	69	94	132	93	83	190	75	84	87	117	4					
		6.01%	2.89%	11.05%	10.43%	7.27%	5.00%	5.91%	5.41%	8.88%	5.35%	4.29%	6.40%	4.69%	4.14%	6.25%	4.74%	6.68%	6.88%	4.74%	8.52%	5.70%	4.26%	5.81%	5.42%	3.80%	7.14%	7.71%	5.92%	6.35%	11.24%	4.49%	5.14%	4.45%	5.69%	2.53%					
23	. Харитонов Николай Михайлович	3421	264	119	103	136	110	95	92	72	98	101	112	86	106	90	86	89	106	72	101	67	107	95	87	83	49	83	79	92	148	120	91	135	140	7					
		5.89%	11.93%	7.39%	6.43%	8.17%	6.96%	6.53%	5.02%	5.11%	4.68%	5.29%	5.47%	4.98%	4.57%	4.08%	4.80%	5.40%	5.98%	5.41%	6.57%	4.83%	5.12%	4.53%	4.66%	4.58%	3.72%	4.85%	5.03%	7.04%	8.76%	7.19%	5.57%	6.91%	6.80%	4.43%					
																																									
24	Против всех	6914	120	251	276	248	284	80	271	121	97	87	124	155	224	131	289	280	283	280	159	261	313	150	275	268	156	298	290	85	116	286	162	191	302	1					
		11.91%	5.42%	15.58%	17.24%	14.89%	17.96%	5.50%	14.80%	8.59%	4.64%	4.55%	6.06%	8.98%	9.65%	5.93%	16.12%	17.00%	15.95%	21.05%	10.34%	18.83%	14.98%	7.15%	14.75%	14.77%	11.85%	17.41%	18.46%	6.50%	6.86%	17.13%	9.91%	9.77%	14.67%	0.63%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
