Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Красноармейская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495					
		20.63%	11.99%	12.96%	10.55%	11.32%	17.78%	41.51%	24.40%	19.13%	0.00%	27.45%	27.61%	27.01%	21.00%	21.67%	18.00%	25.58%	15.74%	23.04%	22.83%	30.23%	6.51%	17.61%	5.71%	9.30%					
																															
24	Против всех	707	23	6	30	4	1	2	10	10	0	10	177	3	8	3	27	125	15	8	38	2	44	151	3	7					
		6.41%	4.93%	3.70%	10.91%	3.77%	2.22%	3.77%	4.00%	5.46%	0.00%	4.90%	8.81%	2.19%	3.65%	5.00%	5.28%	6.19%	3.81%	3.48%	4.71%	4.65%	7.96%	7.82%	2.86%	3.26%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
