Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Ярославская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310					
12	Число выданных открепительных удостоверений	142	4	0	13	0	7	1	1	1	0	8	3	7	0	0	5	6	0	0	1	8	3	3	16	3	16	0	0	8	0	5	7	2	3	6	2	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	145	4	4	13	4	2	3	2	1	11	7	11	2	0	1	4	2	6	3	1	1	8	5	8	3	8	1	6	2	1	1	6	1	2	9	0	1	1					
14	Число неиспользованных открепительных удостоверений	1158	46	50	37	30	43	29	19	19	20	42	47	43	20	20	25	24	20	20	29	22	27	27	34	17	34	50	20	42	20	45	43	28	47	44	28	19	28					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	834	34	45	126	13	19	28	7	0	6	17	22	18	12	4	12	26	16	0	10	17	10	11	66	11	58	23	5	37	11	25	58	23	26	18	4	1	15					
		3.63%	3.53%	4.88%	7.86%	2.36%	2.86%	3.72%	2.44%	0.00%	1.84%	2.23%	3.17%	2.70%	5.24%	3.45%	2.26%	3.38%	4.28%	0.00%	2.44%	3.35%	1.74%	2.61%	4.34%	3.16%	4.11%	3.08%	4.39%	3.26%	5.61%	3.29%	4.39%	3.27%	3.89%	2.36%	1.38%	0.50%	3.46%					
19	. Малышкин Олег Александрович	504	25	17	35	21	13	9	3	0	3	14	15	27	10	0	15	23	6	2	7	11	10	8	34	2	35	21	4	22	4	20	26	19	8	17	6	4	8					
		2.20%	2.60%	1.84%	2.18%	3.82%	1.95%	1.20%	1.05%	0.00%	0.92%	1.83%	2.16%	4.05%	4.37%	0.00%	2.82%	2.99%	1.60%	1.30%	1.71%	2.17%	1.74%	1.90%	2.23%	0.57%	2.48%	2.81%	3.51%	1.94%	2.04%	2.63%	1.97%	2.70%	1.20%	2.23%	2.07%	1.98%	1.84%					
20	. Миронов Сергей Михайлович	180	4	10	16	2	2	4	3	1	4	8	7	7	5	2	3	4	4	0	1	10	6	1	9	1	10	3	1	10	4	12	3	3	2	10	1	2	5					
		0.78%	0.42%	1.08%	1.00%	0.36%	0.30%	0.53%	1.05%	1.52%	1.23%	1.05%	1.01%	1.05%	2.18%	1.72%	0.56%	0.52%	1.07%	0.00%	0.24%	1.97%	1.05%	0.24%	0.59%	0.29%	0.71%	0.40%	0.88%	0.88%	2.04%	1.58%	0.23%	0.43%	0.30%	1.31%	0.34%	0.99%	1.15%					
21	. Путин Владимир Владимирович	17304	753	717	1172	421	521	611	230	57	242	567	497	508	179	98	436	544	280	131	341	367	454	343	1084	236	942	595	84	855	144	563	1038	534	520	561	225	144	310					
		75.37%	78.19%	77.68%	73.11%	76.55%	78.35%	81.25%	80.14%	86.36%	74.23%	74.31%	71.61%	76.28%	78.17%	84.48%	82.11%	70.74%	74.87%	85.06%	83.37%	72.24%	79.09%	81.28%	71.22%	67.82%	66.76%	79.65%	73.68%	75.40%	73.47%	74.08%	78.58%	75.85%	77.73%	73.43%	77.59%	71.29%	71.43%					
22	. Хакамада Ирина Муцуовна	734	28	23	62	21	21	17	8	1	15	26	17	24	3	2	11	45	12	2	8	11	12	8	62	5	86	19	4	30	1	21	40	32	16	15	10	8	8					
		3.20%	2.91%	2.49%	3.87%	3.82%	3.16%	2.26%	2.79%	1.52%	4.60%	3.41%	2.45%	3.60%	1.31%	1.72%	2.07%	5.85%	3.21%	1.30%	1.96%	2.17%	2.09%	1.90%	4.07%	1.44%	6.09%	2.54%	3.51%	2.65%	0.51%	2.76%	3.03%	4.55%	2.39%	1.96%	3.45%	3.96%	1.84%					
23	. Харитонов Николай Михайлович	2335	76	80	132	54	47	50	21	2	33	95	104	40	16	7	29	77	29	13	25	50	59	42	196	77	194	64	10	148	18	71	92	56	69	115	34	37	73					
		10.17%	7.89%	8.67%	8.23%	9.82%	7.07%	6.65%	7.32%	3.03%	10.12%	12.45%	14.99%	6.01%	6.99%	6.03%	5.46%	10.01%	7.75%	8.44%	6.11%	9.84%	10.28%	9.95%	12.88%	22.13%	13.75%	8.57%	8.77%	13.05%	9.18%	9.34%	6.96%	7.95%	10.31%	15.05%	11.72%	18.32%	16.82%					
																																												
24	Против всех	691	24	23	47	16	22	28	12	5	12	26	23	35	2	2	10	39	13	3	9	18	11	7	47	11	60	14	4	25	1	25	49	21	15	18	4	3	7					
		3.01%	2.49%	2.49%	2.93%	2.91%	3.31%	3.72%	4.18%	7.58%	3.68%	3.41%	3.31%	5.26%	0.87%	1.72%	1.88%	5.07%	3.48%	1.95%	2.20%	3.54%	1.92%	1.66%	3.09%	3.16%	4.25%	1.87%	3.51%	2.20%	0.51%	3.29%	3.71%	2.98%	2.24%	2.36%	1.38%	1.49%	1.61%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
