Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    район Отрадное																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750					
11	Число полученных открепительных  удостоверений	3020	100	100	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60					
12	Число выданных открепительных удостоверений	1651	82	86	36	27	22	47	30	32	37	29	24	36	32	36	20	21	34	33	29	24	28	33	31	38	33	34	35	33	21	34	36	41	34	37	38	52	22	42	27	22	24	32	25	33	28	27	27	37	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1184	43	4	45	22	16	23	20	42	21	3	21	32	25	37	24	15	22	33	14	33	26	22	18	25	27	16	18	17	13	25	17	24	22	35	23	23	31	18	22	44	12	30	31	30	20	22	25	32	21					
14	Число неиспользованных открепительных удостоверений	1369	18	14	24	33	38	13	30	28	23	31	36	24	28	24	40	39	26	27	31	36	32	27	29	22	27	26	25	27	39	26	24	19	26	23	22	8	38	18	33	38	36	28	35	27	32	33	33	23	30					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	4001	44	36	110	96	86	115	142	94	69	74	90	120	72	103	73	77	108	85	102	70	77	69	127	85	66	78	79	73	83	50	70	74	63	86	41	99	65	76	85	70	91	79	96	79	79	60	77	84	74					
		6.08%	5.00%	3.99%	7.15%	7.40%	6.06%	6.76%	10.35%	6.64%	4.73%	5.18%	6.52%	8.21%	5.31%	6.33%	5.72%	6.05%	7.14%	6.08%	7.32%	5.58%	5.31%	4.85%	8.46%	5.16%	5.28%	5.49%	5.82%	5.78%	6.97%	4.37%	5.08%	5.88%	5.57%	6.79%	2.97%	7.40%	5.46%	5.38%	6.70%	5.26%	6.40%	6.18%	6.97%	5.60%	5.86%	4.83%	5.88%	6.40%	6.12%					
19	. Малышкин Олег Александрович	841	20	12	24	14	20	20	18	22	26	22	20	14	22	22	10	26	22	22	21	13	17	13	14	13	20	11	17	18	15	13	19	17	12	10	25	16	19	16	20	14	26	11	18	20	8	9	9	17	14					
		1.28%	2.27%	1.33%	1.56%	1.08%	1.41%	1.18%	1.31%	1.55%	1.78%	1.54%	1.45%	0.96%	1.62%	1.35%	0.78%	2.04%	1.46%	1.57%	1.51%	1.04%	1.17%	0.91%	0.93%	0.79%	1.60%	0.77%	1.25%	1.43%	1.26%	1.14%	1.38%	1.35%	1.06%	0.79%	1.81%	1.20%	1.60%	1.13%	1.58%	1.05%	1.83%	0.86%	1.31%	1.42%	0.59%	0.72%	0.69%	1.30%	1.16%					
20	. Миронов Сергей Михайлович	445	4	4	12	5	9	8	6	12	7	11	13	12	8	11	7	8	13	9	2	6	7	12	15	12	9	7	9	6	7	9	9	8	6	9	4	13	6	13	8	10	12	9	15	15	11	8	14	9	6					
		0.68%	0.45%	0.44%	0.78%	0.39%	0.63%	0.47%	0.44%	0.85%	0.48%	0.77%	0.94%	0.82%	0.59%	0.68%	0.55%	0.63%	0.86%	0.64%	0.14%	0.48%	0.48%	0.84%	1.00%	0.73%	0.72%	0.49%	0.66%	0.48%	0.59%	0.79%	0.65%	0.64%	0.53%	0.71%	0.29%	0.97%	0.50%	0.92%	0.63%	0.75%	0.84%	0.70%	1.09%	1.06%	0.82%	0.64%	1.07%	0.69%	0.50%					
21	. Путин Владимир Владимирович	45475	625	666	1042	823	1011	1110	817	923	1005	926	956	895	965	1093	870	877	994	958	946	921	1028	1078	979	1196	910	1040	901	844	788	792	985	907	766	883	1098	901	876	980	893	889	1000	865	912	980	936	930	957	922	816					
		69.06%	71.02%	73.75%	67.75%	63.45%	71.25%	65.29%	59.55%	65.23%	68.88%	64.85%	69.28%	61.26%	71.22%	67.22%	68.13%	68.95%	65.74%	68.53%	67.91%	73.39%	70.90%	75.81%	65.18%	72.66%	72.80%	73.19%	66.40%	66.88%	66.16%	69.29%	71.43%	72.04%	67.73%	69.69%	79.57%	67.34%	73.61%	69.36%	70.37%	66.79%	70.32%	67.63%	66.23%	69.45%	69.44%	74.88%	73.05%	70.27%	67.49%					
22	. Хакамада Ирина Муцуовна	5229	49	35	127	117	75	168	177	150	113	172	107	100	92	156	117	99	149	109	94	81	108	94	132	104	79	73	122	108	104	87	91	86	103	84	59	111	73	108	99	154	108	121	137	113	90	101	114	76	103					
		7.94%	5.57%	3.88%	8.26%	9.02%	5.29%	9.88%	12.90%	10.60%	7.75%	12.04%	7.75%	6.84%	6.79%	9.59%	9.16%	7.78%	9.85%	7.80%	6.75%	6.45%	7.45%	6.61%	8.79%	6.32%	6.32%	5.14%	8.99%	8.56%	8.73%	7.61%	6.60%	6.83%	9.11%	6.63%	4.28%	8.30%	6.13%	7.64%	7.80%	11.57%	7.59%	9.46%	9.95%	8.01%	6.68%	8.13%	8.70%	5.79%	8.52%					
23	. Харитонов Николай Михайлович	4558	44	36	115	91	101	140	74	86	135	91	81	162	88	90	102	81	106	106	101	78	107	65	117	121	86	115	103	106	90	93	99	90	62	100	66	110	80	95	83	82	79	86	87	97	114	61	64	101	91					
		6.92%	5.00%	3.99%	7.48%	7.02%	7.12%	8.24%	5.39%	6.08%	9.25%	6.37%	5.87%	11.09%	6.49%	5.54%	7.99%	6.37%	7.01%	7.58%	7.25%	6.22%	7.38%	4.57%	7.79%	7.35%	6.88%	8.09%	7.59%	8.40%	7.56%	8.14%	7.18%	7.15%	5.48%	7.89%	4.78%	8.22%	6.72%	6.72%	6.54%	6.16%	5.56%	6.72%	6.32%	6.87%	8.46%	4.91%	4.89%	7.70%	7.53%					
																																																								
24	Против всех	4637	85	95	100	74	95	134	131	116	101	123	93	136	101	135	85	91	113	100	118	80	106	86	105	108	62	86	114	89	86	89	96	64	104	80	10	79	61	112	72	105	106	101	106	95	100	70	71	90	78					
		7.04%	9.66%	10.52%	6.50%	5.71%	6.69%	7.88%	9.55%	8.20%	6.92%	8.61%	6.74%	9.31%	7.45%	8.30%	6.66%	7.15%	7.47%	7.15%	8.47%	6.37%	7.31%	6.05%	6.99%	6.56%	4.96%	6.05%	8.40%	7.05%	7.22%	7.79%	6.96%	5.08%	9.20%	6.31%	0.72%	5.90%	5.13%	7.93%	5.67%	7.89%	7.45%	7.90%	7.70%	6.73%	7.42%	5.64%	5.42%	6.86%	6.45%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
