Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Илишевская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514					
11	Число полученных открепительных  удостоверений	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	30	30	30	15	20					
12	Число выданных открепительных удостоверений	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7	21	18	15	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	1	0	2	0	1	0	0	0	1	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	3	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	3	0	1	9	3	3	1					
14	Число неиспользованных открепительных удостоверений	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	23	9	12	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																												
18	. Глазьев Сергей Юрьевич	26	0	0	0	0	0	0	1	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	2	5	0	4	3					
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.51%	0.80%	0.35%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.35%	0.00%	0.19%	0.48%	0.00%	0.34%	0.27%					
19	. Малышкин Олег Александрович	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1					
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.09%					
20	. Миронов Сергей Михайлович	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	23323	393	115	227	558	236	149	505	194	366	282	79	309	183	244	390	581	92	101	243	215	496	175	113	131	430	277	85	382	203	153	457	270	150	46	539	295	448	232	394	369	250	90	216	380	145	109	170	601	317	146	435	109	78	358	362	481	377	270	515	568	85	260	281	179	1038	1011	1125	1155	1105					
		98.74%	100.00%	100.00%	100.00%	99.47%	99.16%	99.33%	99.02%	98.98%	97.86%	98.26%	98.75%	98.72%	98.39%	98.79%	97.99%	99.15%	98.92%	99.02%	99.59%	100.00%	99.00%	100.00%	100.00%	99.24%	98.40%	98.58%	98.84%	99.48%	99.51%	99.35%	99.56%	98.90%	100.00%	100.00%	98.36%	98.01%	99.33%	100.00%	100.00%	99.19%	98.81%	98.90%	99.54%	98.96%	99.32%	100.00%	99.42%	99.83%	99.37%	99.32%	98.19%	100.00%	100.00%	98.90%	99.18%	99.59%	98.43%	99.26%	98.47%	99.65%	100.00%	99.24%	98.25%	98.90%	98.02%	96.93%	95.66%	98.80%	98.22%					
22	. Хакамада Ирина Муцуовна	46	0	0	0	1	0	0	0	0	0	2	0	0	0	1	3	3	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	2	0	3	0	0	0	1	0	3	3	4	5	0					
		0.19%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.40%	0.75%	0.51%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.36%	0.00%	0.00%	0.00%	0.00%	0.22%	0.73%	0.00%	0.00%	0.36%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.28%	0.55%	0.00%	0.52%	0.00%	0.57%	0.00%	0.00%	0.00%	0.35%	0.00%	0.28%	0.29%	0.34%	0.43%	0.00%					
23	. Харитонов Николай Михайлович	170	0	0	0	1	1	1	1	1	5	2	1	4	3	2	0	1	0	1	1	0	5	0	0	1	2	2	0	2	1	1	1	1	0	0	3	5	1	0	0	3	2	1	1	2	1	0	1	0	1	0	3	0	0	3	1	0	2	0	3	2	0	0	2	0	6	24	45	5	12					
		0.72%	0.00%	0.00%	0.00%	0.18%	0.42%	0.67%	0.20%	0.51%	1.34%	0.70%	1.25%	1.28%	1.61%	0.81%	0.00%	0.17%	0.00%	0.98%	0.41%	0.00%	1.00%	0.00%	0.00%	0.76%	0.46%	0.71%	0.00%	0.52%	0.49%	0.65%	0.22%	0.37%	0.00%	0.00%	0.55%	1.66%	0.22%	0.00%	0.00%	0.81%	0.79%	1.10%	0.46%	0.52%	0.68%	0.00%	0.58%	0.00%	0.31%	0.00%	0.68%	0.00%	0.00%	0.83%	0.27%	0.00%	0.52%	0.00%	0.57%	0.35%	0.00%	0.00%	0.70%	0.00%	0.57%	2.30%	3.83%	0.43%	1.07%					
																																																																												
24	Против всех	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	6	0	2	0	4					
		0.11%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.22%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.31%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.26%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.17%	0.00%	0.36%					
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
