Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Елизовская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	1496	75	13	43	3	85	79	59	20	17	61	65	100	63	72	90	53	86	55	17	73	38	17	28	43	43	30	59	11	16	2	15	10	6	18	6	25					
		5.22%	4.99%	2.82%	4.99%	2.56%	4.54%	5.38%	5.93%	3.82%	5.80%	5.86%	5.37%	7.22%	7.18%	5.68%	5.40%	5.68%	6.30%	5.78%	5.59%	4.89%	5.14%	3.54%	7.51%	8.70%	6.98%	5.32%	4.44%	3.01%	1.78%	2.74%	3.69%	3.66%	2.86%	3.55%	4.41%	3.99%					
19	. Малышкин Олег Александрович	805	37	16	23	5	48	60	26	18	13	20	26	27	27	20	36	27	22	26	7	51	11	19	7	12	21	14	35	17	43	3	20	10	10	26	3	19					
		2.81%	2.46%	3.47%	2.67%	4.27%	2.56%	4.09%	2.61%	3.44%	4.44%	1.92%	2.15%	1.95%	3.08%	1.58%	2.16%	2.89%	1.61%	2.73%	2.30%	3.41%	1.49%	3.96%	1.88%	2.43%	3.41%	2.48%	2.63%	4.66%	4.78%	4.11%	4.93%	3.66%	4.76%	5.13%	2.21%	3.04%					
20	. Миронов Сергей Михайлович	271	16	2	5	1	16	10	7	6	3	12	9	9	10	11	24	7	19	6	5	13	5	8	5	6	5	11	14	7	6	1	1	4	1	4	2	0					
		0.94%	1.06%	0.43%	0.58%	0.85%	0.85%	0.68%	0.70%	1.15%	1.02%	1.15%	0.74%	0.65%	1.14%	0.87%	1.44%	0.75%	1.39%	0.63%	1.64%	0.87%	0.68%	1.67%	1.34%	1.21%	0.81%	1.95%	1.05%	1.92%	0.67%	1.37%	0.25%	1.47%	0.48%	0.79%	1.47%	0.00%					
21	. Путин Владимир Владимирович	20794	1084	360	614	91	1405	1092	730	382	193	723	830	935	599	912	1274	667	961	696	217	1091	580	319	272	330	447	424	1003	250	651	55	262	204	156	386	104	495					
		72.49%	72.07%	78.09%	71.23%	77.78%	75.01%	74.39%	73.37%	72.90%	65.87%	69.45%	68.60%	67.46%	68.30%	71.92%	76.42%	71.49%	70.45%	73.11%	71.38%	73.03%	78.38%	66.46%	72.92%	66.80%	72.56%	75.18%	75.41%	68.49%	72.33%	75.34%	64.53%	74.73%	74.29%	76.13%	76.47%	79.07%					
22	. Хакамада Ирина Муцуовна	1134	63	12	54	2	82	49	38	20	16	49	69	53	55	53	67	45	63	40	12	55	17	14	17	20	15	18	38	8	25	1	5	19	6	20	1	13					
		3.95%	4.19%	2.60%	6.26%	1.71%	4.38%	3.34%	3.82%	3.82%	5.46%	4.71%	5.70%	3.82%	6.27%	4.18%	4.02%	4.82%	4.62%	4.20%	3.95%	3.68%	2.30%	2.92%	4.56%	4.05%	2.44%	3.19%	2.86%	2.19%	2.78%	1.37%	1.23%	6.96%	2.86%	3.94%	0.74%	2.08%					
23	. Харитонов Николай Михайлович	2927	166	47	93	14	125	101	93	58	40	125	138	181	77	151	112	91	144	86	40	139	65	85	27	74	53	39	134	57	136	10	87	17	23	35	18	46					
		10.20%	11.04%	10.20%	10.79%	11.97%	6.67%	6.88%	9.35%	11.07%	13.65%	12.01%	11.40%	13.06%	8.78%	11.91%	6.72%	9.75%	10.56%	9.03%	13.16%	9.30%	8.78%	17.71%	7.24%	14.98%	8.60%	6.91%	10.08%	15.62%	15.11%	13.70%	21.43%	6.23%	10.95%	6.90%	13.24%	7.35%					
																																											
24	Против всех	1075	57	10	26	1	99	66	35	16	10	49	60	73	39	37	58	42	62	30	4	56	20	18	15	9	27	26	41	12	20	1	11	9	5	8	1	22					
		3.75%	3.79%	2.17%	3.02%	0.85%	5.29%	4.50%	3.52%	3.05%	3.41%	4.71%	4.96%	5.27%	4.45%	2.92%	3.48%	4.50%	4.55%	3.15%	1.32%	3.75%	2.70%	3.75%	4.02%	1.82%	4.38%	4.61%	3.08%	3.29%	2.22%	1.37%	2.71%	3.30%	2.38%	1.58%	0.74%	3.51%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
