Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Высокогорская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345					
20	. Миронов Сергей Михайлович	154	1	0	0	1	0	5	0	0	0	1	0	1	2	0	3	20	9	7	12	0	6	0	0	0	18	7	0	0	3	14	9	3	0	0	0	0	1	1	4	0	0	0	1	0	0	0	1	2	1	10	1	10	0					
		0.51%	0.32%	0.00%	0.00%	0.21%	0.00%	1.56%	0.00%	0.00%	0.00%	0.40%	0.00%	0.78%	0.32%	0.00%	0.17%	1.75%	0.77%	0.62%	0.92%	0.00%	0.50%	0.00%	0.00%	0.00%	1.11%	0.88%	0.00%	0.00%	0.56%	1.06%	2.01%	1.32%	0.00%	0.00%	0.00%	0.00%	0.54%	0.31%	0.88%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.08%	0.33%	0.52%	0.80%	0.29%	1.11%	0.00%					
21	. Путин Владимир Владимирович	27769	311	141	143	481	269	281	122	295	419	249	391	126	620	242	1718	882	1066	972	1059	366	1097	172	340	149	1187	724	492	222	464	1245	406	209	344	287	820	467	146	268	388	283	190	202	273	121	1390	723	1235	581	185	1130	332	736	808					
		91.93%	98.42%	100.00%	98.62%	99.18%	99.26%	87.54%	96.83%	100.00%	98.13%	99.20%	99.49%	98.44%	97.95%	95.65%	97.17%	77.37%	91.03%	86.71%	81.46%	93.61%	90.59%	97.18%	95.24%	86.13%	73.36%	91.18%	95.91%	98.23%	87.22%	94.39%	90.62%	91.67%	99.42%	98.97%	100.00%	87.13%	79.35%	83.23%	84.90%	99.65%	98.45%	95.73%	99.27%	100.00%	98.16%	99.59%	98.80%	96.67%	95.85%	90.33%	95.13%	81.60%	100.00%					
22	. Хакамада Ирина Муцуовна	418	2	0	0	0	0	6	0	0	1	0	0	0	2	0	15	48	26	32	27	3	27	0	2	3	67	10	3	0	8	28	3	3	0	0	0	15	5	20	6	0	0	0	1	0	6	0	3	0	2	25	3	16	0					
		1.38%	0.63%	0.00%	0.00%	0.00%	0.00%	1.87%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.32%	0.00%	0.85%	4.21%	2.22%	2.85%	2.08%	0.77%	2.23%	0.00%	0.56%	1.73%	4.14%	1.26%	0.58%	0.00%	1.50%	2.12%	0.67%	1.32%	0.00%	0.00%	0.00%	2.80%	2.72%	6.21%	1.31%	0.00%	0.00%	0.00%	0.36%	0.00%	0.42%	0.00%	0.24%	0.00%	1.04%	2.00%	0.86%	1.77%	0.00%					
23	. Харитонов Николай Михайлович	985	1	0	2	3	2	19	2	0	5	1	1	1	0	2	12	112	38	52	99	9	33	2	15	13	191	34	10	3	31	7	7	13	0	1	0	30	18	14	40	1	1	8	0	0	14	1	9	13	3	51	6	55	0					
		3.26%	0.32%	0.00%	1.38%	0.62%	0.74%	5.92%	1.59%	0.00%	1.17%	0.40%	0.25%	0.78%	0.00%	0.79%	0.68%	9.82%	3.25%	4.64%	7.62%	2.30%	2.73%	1.13%	4.20%	7.51%	11.80%	4.28%	1.95%	1.33%	5.83%	0.53%	1.56%	5.70%	0.00%	0.34%	0.00%	5.60%	9.78%	4.35%	8.75%	0.35%	0.52%	3.79%	0.00%	0.00%	0.99%	0.14%	0.72%	2.16%	1.55%	4.08%	1.72%	6.10%	0.00%					
																																																												
24	Против всех	336	0	0	0	0	0	3	0	0	0	0	1	0	7	5	2	16	8	11	49	5	28	0	0	1	77	0	0	1	4	8	4	0	2	2	0	8	6	6	5	0	1	1	0	0	3	0	1	0	1	20	2	48	0					
		1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	1.11%	1.98%	0.11%	1.40%	0.68%	0.98%	3.77%	1.28%	2.31%	0.00%	0.00%	0.58%	4.76%	0.00%	0.00%	0.44%	0.75%	0.61%	0.89%	0.00%	0.58%	0.69%	0.00%	1.49%	3.26%	1.86%	1.09%	0.00%	0.52%	0.47%	0.00%	0.00%	0.21%	0.00%	0.08%	0.00%	0.52%	1.60%	0.57%	5.32%	0.00%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
