Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Вытегорская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	252	33	7	21	29	13	3	1	6	0	3	3	0	2	3	4	2	3	0	3	0	10	2	0	7	3	5	7	3	0	0	8	14	7	3	3	1	7	1	9	11	6	4	4	1	0					
		1.76%	3.26%	0.99%	2.22%	2.91%	1.26%	1.62%	0.75%	0.97%	0.00%	1.69%	0.90%	0.00%	2.86%	3.57%	3.77%	2.20%	1.69%	0.00%	2.24%	0.00%	1.57%	1.96%	0.00%	1.99%	1.69%	2.55%	1.61%	1.44%	0.00%	0.00%	1.60%	2.03%	1.38%	1.03%	1.00%	0.74%	10.77%	1.06%	2.04%	1.75%	4.11%	1.67%	0.93%	0.75%	0.00%					
19	. Малышкин Олег Александрович	259	22	18	29	13	23	4	0	7	2	5	1	4	0	1	1	0	6	4	3	4	7	1	1	5	3	3	8	3	1	1	11	10	10	6	5	1	0	3	2	9	5	6	9	1	1					
		1.81%	2.17%	2.54%	3.07%	1.31%	2.23%	2.16%	0.00%	1.13%	1.68%	2.82%	0.30%	2.26%	0.00%	1.19%	0.94%	0.00%	3.39%	8.33%	2.24%	1.67%	1.10%	0.98%	1.19%	1.42%	1.69%	1.53%	1.83%	1.44%	2.38%	1.18%	2.20%	1.45%	1.97%	2.06%	1.66%	0.74%	0.00%	3.19%	0.45%	1.43%	3.42%	2.50%	2.10%	0.75%	3.12%					
20	. Миронов Сергей Михайлович	128	11	7	6	13	12	1	0	7	0	2	1	1	0	2	1	1	0	0	1	2	9	1	0	0	0	0	7	1	3	1	5	5	1	3	2	1	1	1	5	8	1	3	2	0	0					
		0.89%	1.09%	0.99%	0.64%	1.31%	1.17%	0.54%	0.00%	1.13%	0.00%	1.13%	0.30%	0.56%	0.00%	2.38%	0.94%	1.10%	0.00%	0.00%	0.75%	0.84%	1.42%	0.98%	0.00%	0.00%	0.00%	0.00%	1.61%	0.48%	7.14%	1.18%	1.00%	0.73%	0.20%	1.03%	0.66%	0.74%	1.54%	1.06%	1.13%	1.27%	0.68%	1.25%	0.47%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11176	708	555	657	766	772	140	114	457	101	147	295	163	62	64	83	80	144	37	106	199	496	83	66	292	155	161	322	163	25	66	394	561	410	260	258	117	46	73	353	467	119	191	321	104	23					
		77.96%	69.96%	78.39%	69.60%	76.91%	74.95%	75.68%	85.71%	73.59%	84.87%	83.05%	88.86%	92.09%	88.57%	76.19%	78.30%	87.91%	81.36%	77.08%	79.10%	83.26%	78.11%	81.37%	78.57%	83.19%	87.08%	82.14%	73.85%	77.99%	59.52%	77.65%	78.64%	81.42%	80.71%	89.35%	85.71%	86.67%	70.77%	77.66%	79.86%	74.36%	81.51%	79.58%	75.00%	77.61%	71.88%					
22	. Хакамада Ирина Муцуовна	231	26	13	22	25	20	3	2	14	0	3	2	2	0	0	2	5	2	1	2	4	8	0	0	3	3	5	3	1	1	1	7	14	7	0	5	0	0	0	7	9	1	5	3	0	0					
		1.61%	2.57%	1.84%	2.33%	2.51%	1.94%	1.62%	1.50%	2.25%	0.00%	1.69%	0.60%	1.13%	0.00%	0.00%	1.89%	5.49%	1.13%	2.08%	1.49%	1.67%	1.26%	0.00%	0.00%	0.85%	1.69%	2.55%	0.69%	0.48%	2.38%	1.18%	1.40%	2.03%	1.38%	0.00%	1.66%	0.00%	0.00%	0.00%	1.58%	1.43%	0.68%	2.08%	0.70%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1961	186	99	178	120	167	31	14	105	15	16	24	7	5	13	12	3	16	5	19	29	93	13	15	42	12	19	71	33	10	10	67	67	59	16	23	11	8	14	54	109	13	28	75	27	8					
		13.68%	18.38%	13.98%	18.86%	12.05%	16.21%	16.76%	10.53%	16.91%	12.61%	9.04%	7.23%	3.95%	7.14%	15.48%	11.32%	3.30%	9.04%	10.42%	14.18%	12.13%	14.65%	12.75%	17.86%	11.97%	6.74%	9.69%	16.28%	15.79%	23.81%	11.76%	13.37%	9.72%	11.61%	5.50%	7.64%	8.15%	12.31%	14.89%	12.22%	17.36%	8.90%	11.67%	17.52%	20.15%	25.00%					
																																																				
24	Против всех	179	18	6	22	19	18	2	0	12	0	0	1	0	1	0	2	0	4	0	0	1	8	0	0	1	1	2	7	4	2	5	4	6	6	1	4	1	1	2	7	6	0	0	5	0	0					
		1.25%	1.78%	0.85%	2.33%	1.91%	1.75%	1.08%	0.00%	1.93%	0.00%	0.00%	0.30%	0.00%	1.43%	0.00%	1.89%	0.00%	2.26%	0.00%	0.00%	0.42%	1.26%	0.00%	0.00%	0.28%	0.56%	1.02%	1.61%	1.91%	4.76%	5.88%	0.80%	0.87%	1.18%	0.34%	1.33%	0.74%	1.54%	2.13%	1.58%	0.96%	0.00%	0.00%	1.17%	0.00%	0.00%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
