Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Рязанский район																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515					
12	Число выданных открепительных удостоверений	1149	49	68	57	72	22	50	38	76	28	27	32	47	39	18	63	53	38	45	40	39	40	65	38	63	42					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	828	24	42	37	40	25	18	39	50	37	26	25	33	33	25	31	80	37	23	27	27	25	47	26	26	25					
14	Число неиспользованных открепительных удостоверений	321	11	12	13	8	28	0	12	4	22	23	18	13	11	32	7	7	12	5	10	11	10	5	12	17	18					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	2	1	2	1	2	0	1	0	3	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	2104	102	99	71	99	38	62	104	100	58	71	75	92	99	40	84	72	119	64	92	103	117	100	69	87	87					
		6.54%	6.01%	5.90%	5.04%	6.67%	6.03%	5.43%	9.70%	6.05%	6.07%	7.75%	6.24%	8.57%	9.66%	5.24%	5.68%	6.06%	6.67%	5.61%	6.22%	6.72%	7.79%	7.24%	6.44%	5.52%	6.41%					
19	. Малышкин Олег Александрович	382	16	23	16	23	10	15	10	14	8	15	11	6	13	6	15	15	9	18	21	13	16	25	10	26	28					
		1.19%	0.94%	1.37%	1.13%	1.55%	1.59%	1.31%	0.93%	0.85%	0.84%	1.64%	0.92%	0.56%	1.27%	0.79%	1.01%	1.26%	0.50%	1.58%	1.42%	0.85%	1.07%	1.81%	0.93%	1.65%	2.06%					
20	. Миронов Сергей Михайлович	142	9	8	9	7	6	4	7	8	5	6	3	4	1	3	7	6	8	5	5	5	10	6	2	4	4					
		0.44%	0.53%	0.48%	0.64%	0.47%	0.95%	0.35%	0.65%	0.48%	0.52%	0.66%	0.25%	0.37%	0.10%	0.39%	0.47%	0.51%	0.45%	0.44%	0.34%	0.33%	0.67%	0.43%	0.19%	0.25%	0.29%					
21	. Путин Владимир Владимирович	22188	1226	1193	965	1030	419	815	690	1139	647	610	858	723	685	526	1052	746	1277	776	1052	1036	1019	951	738	1089	926					
		68.92%	72.20%	71.10%	68.44%	69.36%	66.51%	71.43%	64.37%	68.91%	67.68%	66.59%	71.44%	67.32%	66.83%	68.94%	71.08%	62.79%	71.58%	68.01%	71.18%	67.62%	67.84%	68.81%	68.91%	69.06%	68.19%					
22	. Хакамада Ирина Муцуовна	2348	97	98	119	110	66	70	88	143	69	58	68	91	80	58	105	84	125	78	93	128	108	100	91	123	98					
		7.29%	5.71%	5.84%	8.44%	7.41%	10.48%	6.13%	8.21%	8.65%	7.22%	6.33%	5.66%	8.47%	7.80%	7.60%	7.09%	7.07%	7.01%	6.84%	6.29%	8.36%	7.19%	7.24%	8.50%	7.80%	7.22%					
23	. Харитонов Николай Михайлович	2614	142	135	134	117	33	97	112	139	91	74	102	94	84	70	128	91	125	94	108	109	128	85	83	130	109					
		8.12%	8.36%	8.05%	9.50%	7.88%	5.24%	8.50%	10.45%	8.41%	9.52%	8.08%	8.49%	8.75%	8.20%	9.17%	8.65%	7.66%	7.01%	8.24%	7.31%	7.11%	8.52%	6.15%	7.75%	8.24%	8.03%					
																																
24	Против всех	1983	90	96	74	87	51	74	56	100	70	71	69	60	51	48	75	85	108	85	91	108	93	91	63	99	88					
		6.16%	5.30%	5.72%	5.25%	5.86%	8.10%	6.49%	5.22%	6.05%	7.32%	7.75%	5.75%	5.59%	4.98%	6.29%	5.07%	7.15%	6.05%	7.45%	6.16%	7.05%	6.19%	6.58%	5.88%	6.28%	6.48%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
